run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
380,348,358,202,385,905,115,393,609,840,111,203,689,780,804,677,359,163,371,849,905,680,41,782,306
229,701,92,651,643,604,547,150,420,636,634,381,749,883,84,701,625,682,112,569,92,273,226,207,651
551,245,401,575,245,405,401,552,437,551,189,635,241,294,552,210,210,552,575,551,783,189,47,253,47
58,910,160,160,392,174,259,106,527,829,259,282,898,280,159,850,64,887,116,452,398,679,467,829,392
304,737,86,1,219,49,584,825,723,251,293,66,709,523,562,703,664,86,302,904,737,615,562,127,785
72,439,439,665,314,80,517,255,820,667,548,443,72,655,334,255,80,80,303,614,655,746,667,463,548
107,40,91,188,800,844,844,763,99,873,374,446,890,301,374,690,415,521,286,727,248,473,99,521,4
567,478,10,295,762,759,666,438,567,585,666,103,360,360,295,768,55,568,10,295,103,762,802,688,55
123,836,773,499,483,510,15,130,487,778,693,391,772,807,878,93,234,761,646,697,721,453,654,674,542
757,642,471,456,554,642,471,400,642,400,644,554,644,200,400,554,7,240,221,101,7,644,570,758,607
570,189,472,45,189,200,200,200,200,570,245,833,200,400,200,570,200,56,7,16,488,245,200,624,200
76,200,624,189,405,400,400,833,400,833,405,298,400,7,833,200,400,570,471,570,437,405,400,472,400
472,405,253,245,200,833,833,757,833,200,200,476,833,437,240,400,833,471,45,76,16,200,833,635,833
635,400,16,405,400,570,757,758,456,437,400,551,757,833,16,833,757,221,220,45,402,400,7,298,758
103,644,635,200,833,7,437,806,570,624,833,76,456,607,570,757,230,200,607,298,342,833,437,476,437
400,554,298,400,437,607,758,230,644,472,456,56,230,230,832,758,806,400,230,476,644,757,757,76,230
833,757,476,644,644,757,806,607,230,635,230,553,554,757,56,437,607,7,642,624,220,570,758,551,757
200,607,76,758,758,230,472,45,7,298,7,472,221,758,757,240,45,757,644,253,806,7,806,553,806
189,758,553,230,757,554,624,642,757,476,757,624,220,189,230,56,758,554,101,472,554,806,240,103,644
245,833,103,832,45,758,253,644,220,76,45,253,7,245,221,221,642,230,832,635,758,437,56,554,642
405,230,551,437,230,221,554,554,607,553,554,400,240,405,471,471,221,220,16,200,456,554,221,570,554
624,806,570,833,607,644,103,220,554,554,806,200,56,642,806,220,644,833,758,833,230,230,230,478,221
298,221,554,757,642,220,832,456,758,253,437,240,471,644,758,607,16,806,456,400,832,456,471,240,220
476,220,404,607,220,240,635,7,101,757,607,437,832,220,456,642,554,758,477,456,477,642,607,56,240
553,45,56,642,806,56,298,221,45,806,642,230,806,45,220,477,220,644,570,832,570,607,642,401,56
253,437,832,806,456,471,476,477,832,8,758,757,570,806,644,806,101,456,554,103,200,220,220,200,570
554,471,240,221,7,806,551,471,16,401,221,832,642,221,7,45,832,832,240,553,400,45,644,400,7
437,456,221,220,101,456,553,570,221,404,220,570,607,456,554,832,471,477,56,554,833,758,45,437,471
45,477,806,570,832,832,76,240,806,230,477,806,758,471,437,644,456,437,488,230,189,221,456,833,477
401,7,101,554,221,477,240,56,471,607,570,45,477,570,477,7,477,607,806,437,245,471,101,757,45
240,240,45,7,471,16,56,101,240,45,240,607,16,554,642,230,570,642,244,757,405,832,832,806,832
56,56,456,471,477,45,230,832,56,642,56,642,45,240,607,456,240,101,189,806,757,240,477,230,456
832,570,230,240,570,437,570,437,477,758,471,471,101,56,45,101,56,16,245,642,607,56,554,404,101
230,832,7,56,240,101,404,189,189,456,832,221,437,101,101,16,437,45,405,607,642,477,488,607,488
806,101,477,101,56,189,607,245,245,7,101,758,189,16,688,189,189,189,200,758,221,101,16,45,16
607,16,642,16,488,245,45,405,405,477,16,101,245,832,472,245,245,245,400,477,471,488,402,642,402
642,488,607,477,16,488,642,488,488,220,488,16,405,477,103,405,405,405,437,189,240,402,189,7,189
101,402,220,472,402,402,221,402,402,189,402,456,488,488,624,488,488,488,833,245,56,16,245,471,245
471,575,758,624,575,575,477,575,575,245,575,477,402,402,551,402,402,402,757,405,45,575,405,221,405
221,470,400,635,470,244,189,470,472,405,470,7,470,575,553,575,575,575,402,471,575,470,575,220,575
456,53,833,553,53,470,245,244,624,832,53,220,575,244,253,470,470,470,470,221,470,244,470,477,244
220,244,200,103,244,577,405,210,253,471,577,189,53,470,635,577,472,244,53,240,101,53,244,189,470
7,783,437,551,577,10,220,53,635,240,244,245,577,783,298,10,624,577,577,56,210,577,53,245,783
477,342,757,76,210,210,7,577,103,56,210,405,244,342,476,244,253,210,210,7,53,783,577,405,342
16,210,8,298,10,53,456,10,551,221,10,401,783,53,76,783,635,53,783,220,577,342,210,456,210
404,577,342,476,783,783,101,47,553,101,783,404,210,210,401,342,76,47,342,401,244,210,783,832,53
758,47,644,253,342,342,644,294,76,342,342,8,294,577,404,53,553,783,294,404,294,47,342,101,577
644,294,488,401,294,294,488,783,298,103,294,644,47,47,189,294,103,342,47,644,47,294,294,342,294
8,10,402,342,47,47,402,342,476,644,47,488,552,10,245,47,551,294,472,575,472,472,10,644,472
575,552,774,404,472,472,16,16,401,488,472,402,10,552,405,472,298,472,635,241,624,635,552,8,624
241,472,470,8,635,635,575,472,404,402,635,575,342,472,488,635,476,635,8,8,253,103,472,488,253
488,635,189,488,103,103,241,635,241,16,103,342,472,635,402,103,401,103,553,488,551,624,635,402,635
