targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,8.62554346113913,32.0,1.0,6.133603238866397
7.1,10.08,8.587991616204572,32.0,1.0,6.586956521739131
7.2,10.68,8.302866974726259,32.0,1.0,6.9495412844036695
7.3,12.44,10.245311122655085,44.0,1.0,7.9319371727748695
7.4,12.44,10.245311122655085,44.0,1.0,8.46368715083799
7.5,14.96,12.63164280685612,63.0,1.0,9.351851851851851
7.6,16.56,13.95730633037765,63.0,1.0,10.167785234899329
7.7,19.56,17.10924896072297,64.0,1.0,11.653846153846153
7.8,19.84,17.17132493432001,64.0,1.0,12.21774193548387
7.9,20.52,16.984981601403046,64.0,1.0,12.948717948717949
8.0,22.6,20.202970078679026,90.0,1.0,13.772727272727273
8.1,23.0,20.529003872570144,90.0,1.0,14.852941176470589
8.2,26.76,25.21948453081466,91.0,1.0,16.833333333333332
8.3,27.24,25.774840445674926,91.0,1.0,17.823529411764707
8.4,27.24,25.774840445674926,91.0,1.0,18.9375
8.5,33.88,29.135984623829,104.0,1.0,21.956521739130434
8.6,34.12,29.09476928934134,104.0,1.0,23.671875
8.7,34.12,29.09476928934134,104.0,1.0,23.671875
8.8,34.12,29.09476928934134,104.0,1.0,26.57894736842105
8.9,34.92,30.86865076416525,111.0,1.0,29.705882352941178
9.0,35.04,30.777238342645365,111.0,1.0,32.234042553191486
9.1,35.32,30.549265130277686,111.0,1.0,34.43181818181818
9.2,36.6,31.06380530456628,111.0,1.0,40.945945945945944
9.3,36.8,31.166648841349627,111.0,1.0,43.285714285714285
9.4,41.16,32.77276918418705,111.0,1.0,47.34375
9.5,60.36,55.993485335349504,201.0,1.0,50.5
9.6,61.32,56.315340716362535,201.0,1.0,54.107142857142854
9.7,62.08,56.17538250871106,201.0,1.0,58.26923076923077
9.8,62.08,56.17538250871106,201.0,1.0,60.6
9.9,63.04,55.715333616518876,201.0,1.0,65.8695652173913
10.0,64.76,58.24244500362257,201.0,1.0,72.14285714285714
10.1,66.04,58.13947368182825,201.0,1.0,79.73684210526316
10.2,66.04,58.13947368182825,201.0,1.0,79.73684210526316
10.3,66.04,58.13947368182825,201.0,1.0,79.73684210526316
10.4,66.04,58.13947368182825,201.0,1.0,79.73684210526316
10.5,66.04,58.13947368182825,201.0,1.0,89.11764705882354
10.6,67.48,56.94426749023996,201.0,1.0,94.6875
10.7,67.92,56.469404105232066,201.0,12.0,108.21428571428571
10.8,67.92,56.469404105232066,201.0,12.0,108.21428571428571
10.9,67.92,56.469404105232066,201.0,12.0,126.25
11.0,87.8,54.84815402545468,209.0,12.0,151.5
11.100000000000001,88.28,54.94544203116397,209.0,12.0,189.375
11.2,88.28,54.94544203116397,209.0,12.0,189.375
11.3,89.04,54.21843229013543,209.0,15.0,378.75
11.4,125.2,64.57182047921523,245.0,53.0,757.5
11.5,125.2,64.57182047921523,245.0,53.0,757.5
11.600000000000001,125.2,64.57182047921523,245.0,53.0,757.5
11.7,125.2,64.57182047921523,245.0,53.0,757.5
11.769551078621726,125.2,64.57182047921523,245.0,53.0,757.5
