targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.04,2.645448922205834,14.0,2.0,6.133603238866397
7.1,3.12,2.790268804255246,14.0,2.0,6.586956521739131
7.2,3.8,3.3823069050575536,14.0,2.0,6.9495412844036695
7.3,3.88,3.5700980378695495,14.0,2.0,7.9319371727748695
7.4,3.88,3.5700980378695495,14.0,2.0,8.46368715083799
7.5,4.44,3.699513481526996,14.0,2.0,9.351851851851851
7.6,4.56,4.010785459233642,16.0,2.0,10.167785234899329
7.7,4.88,4.1696042977721515,16.0,2.0,11.653846153846153
7.8,5.68,5.704173910392285,27.0,2.0,12.21774193548387
7.9,6.08,5.782179519869649,27.0,2.0,12.948717948717949
8.0,8.08,6.5964839119033725,27.0,2.0,13.772727272727273
8.1,8.24,6.616827034160708,27.0,2.0,14.852941176470589
8.2,8.96,6.6662133179189516,27.0,2.0,16.833333333333332
8.3,9.08,6.692802103752956,27.0,2.0,17.823529411764707
8.4,9.6,6.752777206453653,27.0,2.0,18.9375
8.5,9.76,6.783981132049234,27.0,2.0,21.956521739130434
8.6,11.28,8.879279250029251,35.0,2.0,23.671875
8.7,11.28,8.879279250029251,35.0,2.0,23.671875
8.8,11.6,9.103845341392832,35.0,2.0,26.57894736842105
8.9,12.32,9.30255878777447,35.0,2.0,29.705882352941178
9.0,12.68,9.102615008886183,35.0,2.0,32.234042553191486
9.1,12.72,9.202260591832857,36.0,2.0,34.43181818181818
9.2,14.08,9.524368745486495,36.0,2.0,40.945945945945944
9.3,14.48,9.2135552312883,36.0,2.0,43.285714285714285
9.4,14.68,9.146452864362228,36.0,2.0,47.34375
9.5,16.96,14.31217663390163,75.0,2.0,50.5
9.6,16.96,14.31217663390163,75.0,2.0,54.107142857142854
9.7,17.76,14.547247162264064,75.0,2.0,58.26923076923077
9.8,17.76,14.547247162264064,75.0,2.0,60.6
9.9,20.68,15.537618865192952,81.0,2.0,65.8695652173913
10.0,20.96,15.608920526416936,81.0,2.0,72.14285714285714
10.1,22.16,15.946610925209153,81.0,2.0,79.73684210526316
10.2,22.16,15.946610925209153,81.0,2.0,79.73684210526316
10.3,22.16,15.946610925209153,81.0,2.0,79.73684210526316
10.4,22.16,15.946610925209153,81.0,2.0,79.73684210526316
10.5,22.16,15.946610925209153,81.0,2.0,89.11764705882354
10.6,22.16,15.946610925209153,81.0,2.0,94.6875
10.7,22.2,15.937377450509226,81.0,2.0,108.21428571428571
10.8,22.2,15.937377450509226,81.0,2.0,108.21428571428571
10.9,22.28,15.94370095053216,81.0,2.0,126.25
11.0,41.6,23.954957733212552,81.0,2.0,151.5
11.100000000000001,43.2,22.3338308402298,81.0,4.0,189.375
11.2,43.2,22.3338308402298,81.0,4.0,189.375
11.3,43.48,21.879890310511158,81.0,11.0,378.75
11.4,48.28,26.830609385550677,131.0,12.0,757.5
11.5,48.28,26.830609385550677,131.0,12.0,757.5
11.600000000000001,48.28,26.830609385550677,131.0,12.0,757.5
11.7,48.28,26.830609385550677,131.0,12.0,757.5
11.769551078621726,48.28,26.830609385550677,131.0,12.0,757.5
