run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1050.0,572.0,688.0,1201.0,336.0,665.0,1135.0,1392.0,789.0,590.0,131.0,1268.0,412.0,1001.0,292.0,194.0,1152.0,1124.0,69.0,1418.0,884.0,932.0,470.0,1063.0,736.0
1441.0,984.0,665.0,16.0,1011.0,1086.0,826.0,185.0,337.0,1155.0,822.0,794.0,331.0,440.0,568.0,1037.0,1292.0,878.0,933.0,763.0,883.0,815.0,114.0,1500.0,143.0
1159.0,1013.0,1429.0,1091.0,1255.0,334.0,1146.0,43.0,640.0,160.0,1055.0,164.0,59.0,1117.0,1258.0,405.0,790.0,341.0,74.0,828.0,833.0,689.0,225.0,535.0,939.0
828.0,536.0,663.0,783.0,139.0,253.0,706.0,1038.0,103.0,663.0,332.0,246.0,1478.0,5.0,119.0,1482.0,1319.0,590.0,1316.0,762.0,1104.0,846.0,57.0,859.0,292.0
279.0,1145.0,651.0,1144.0,1109.0,1484.0,1353.0,60.0,982.0,335.0,153.0,816.0,562.0,596.0,3.0,146.0,568.0,657.0,1026.0,1465.0,1498.0,554.0,40.0,1112.0,1473.0
1433.0,309.0,263.0,1053.0,1285.0,636.0,1133.0,1508.0,261.0,1332.0,799.0,1021.0,75.0,939.0,1160.0,661.0,1479.0,150.0,54.0,299.0,344.0,893.0,398.0,1436.0,953.0
303.0,1369.0,1153.0,402.0,637.0,599.0,245.0,531.0,860.0,478.0,827.0,127.0,27.0,1313.0,199.0,1381.0,832.0,1211.0,2.0,572.0,1100.0,237.0,863.0,790.0,1140.0
9.0,248.0,465.0,637.0,468.0,947.0,1336.0,409.0,966.0,255.0,589.0,961.0,10.0,441.0,1497.0,920.0,427.0,383.0,1004.0,1207.0,173.0,894.0,122.0,1332.0,1404.0
53.0,181.0,845.0,893.0,1344.0,871.0,1155.0,1167.0,122.0,910.0,1449.0,736.0,1390.0,1055.0,451.0,1497.0,1177.0,1110.0,1496.0,466.0,1283.0,816.0,802.0,260.0,1117.0
34.0,91.0,268.0,1374.0,841.0,544.0,1473.0,363.0,1273.0,1081.0,1219.0,968.0,1213.0,603.0,1280.0,788.0,1324.0,167.0,1513.0,1254.0,348.0,1008.0,1465.0,461.0,830.0
1015.0,1201.0,801.0,1170.0,1015.0,1015.0,1015.0,1015.0,1170.0,1015.0,1277.0,1100.0,1341.0,1170.0,1015.0,1015.0,1015.0,801.0,801.0,1015.0,801.0,801.0,801.0,1015.0,1215.0
1261.0,868.0,154.0,1126.0,154.0,1261.0,154.0,154.0,662.0,801.0,1279.0,528.0,1322.0,524.0,801.0,154.0,801.0,1015.0,1277.0,801.0,478.0,184.0,1015.0,154.0,687.0
154.0,599.0,1015.0,1287.0,923.0,698.0,1261.0,142.0,835.0,1231.0,308.0,1160.0,1015.0,370.0,184.0,142.0,1506.0,184.0,414.0,154.0,846.0,1098.0,56.0,142.0,1426.0
195.0,340.0,195.0,907.0,204.0,923.0,204.0,943.0,224.0,1261.0,1053.0,913.0,1196.0,760.0,84.0,204.0,1205.0,1264.0,820.0,923.0,749.0,1170.0,184.0,191.0,1355.0
684.0,1457.0,1261.0,1083.0,195.0,154.0,195.0,1231.0,790.0,154.0,295.0,296.0,801.0,1357.0,154.0,801.0,397.0,563.0,111.0,204.0,811.0,1015.0,942.0,923.0,1228.0
1231.0,1324.0,976.0,136.0,1170.0,342.0,202.0,204.0,812.0,698.0,746.0,203.0,756.0,332.0,142.0,1261.0,1486.0,204.0,1100.0,195.0,346.0,169.0,204.0,1344.0,1356.0
1170.0,865.0,684.0,260.0,1261.0,533.0,684.0,195.0,734.0,195.0,939.0,801.0,154.0,600.0,923.0,195.0,1465.0,195.0,1260.0,202.0,1070.0,241.0,202.0,204.0,1424.0
941.0,866.0,202.0,607.0,202.0,1344.0,114.0,941.0,733.0,923.0,414.0,1015.0,713.0,93.0,1344.0,202.0,26.0,684.0,975.0,976.0,345.0,662.0,1231.0,342.0,1425.0
977.0,853.0,698.0,559.0,976.0,195.0,1344.0,977.0,534.0,342.0,627.0,154.0,204.0,1354.0,1231.0,976.0,340.0,202.0,692.0,684.0,857.0,855.0,943.0,202.0,1015.0
507.0,674.0,114.0,1123.0,1231.0,684.0,923.0,507.0,223.0,204.0,57.0,142.0,1231.0,309.0,943.0,923.0,599.0,1231.0,885.0,342.0,225.0,1035.0,303.0,942.0,801.0
81.0,396.0,923.0,1360.0,941.0,204.0,371.0,475.0,1351.0,943.0,301.0,56.0,322.0,746.0,507.0,1201.0,868.0,941.0,203.0,1231.0,735.0,162.0,1170.0,507.0,1344.0
475.0,616.0,1344.0,1052.0,977.0,202.0,941.0,81.0,781.0,202.0,1021.0,923.0,1261.0,769.0,941.0,1344.0,248.0,1261.0,1248.0,1170.0,864.0,959.0,1344.0,977.0,923.0
376.0,1479.0,342.0,676.0,507.0,868.0,507.0,342.0,345.0,1170.0,160.0,342.0,195.0,562.0,977.0,342.0,1457.0,977.0,923.0,941.0,349.0,20.0,1261.0,941.0,154.0
685.0,543.0,371.0,930.0,81.0,475.0,977.0,685.0,478.0,941.0,228.0,1344.0,943.0,228.0,204.0,684.0,95.0,81.0,1261.0,977.0,785.0,185.0,195.0,685.0,204.0
923.0,359.0,1229.0,503.0,475.0,81.0,81.0,1344.0,348.0,684.0,309.0,204.0,376.0,1119.0,342.0,941.0,1098.0,475.0,204.0,507.0,750.0,1168.0,684.0,81.0,342.0
1344.0,884.0,1304.0,0.0,376.0,941.0,475.0,923.0,346.0,977.0,1225.0,202.0,976.0,1219.0,322.0,977.0,569.0,342.0,1015.0,81.0,759.0,740.0,976.0,475.0,195.0
899.0,1447.0,219.0,1416.0,685.0,977.0,1231.0,202.0,250.0,507.0,307.0,507.0,202.0,414.0,685.0,475.0,157.0,507.0,371.0,475.0,226.0,621.0,923.0,206.0,202.0
322.0,1442.0,1214.0,1073.0,943.0,507.0,376.0,942.0,1070.0,81.0,277.0,941.0,303.0,214.0,81.0,81.0,142.0,685.0,1347.0,1344.0,1015.0,1013.0,941.0,1201.0,976.0
943.0,1446.0,220.0,952.0,899.0,685.0,673.0,563.0,749.0,475.0,625.0,977.0,114.0,1385.0,475.0,507.0,591.0,943.0,154.0,685.0,1454.0,372.0,507.0,1261.0,684.0
204.0,820.0,,1279.0,114.0,836.0,685.0,1261.0,811.0,685.0,273.0,685.0,684.0,277.0,899.0,685.0,47.0,376.0,202.0,1261.0,1170.0,1172.0,977.0,195.0,941.0
83.0,488.0,,414.0,322.0,1231.0,943.0,255.0,479.0,1344.0,1385.0,81.0,977.0,273.0,195.0,376.0,621.0,303.0,698.0,942.0,191.0,1311.0,81.0,943.0,977.0
202.0,1511.0,,295.0,684.0,1170.0,899.0,376.0,1201.0,942.0,214.0,475.0,941.0,1021.0,1261.0,1231.0,1498.0,976.0,1344.0,376.0,190.0,920.0,475.0,1434.0,507.0
976.0,341.0,,939.0,206.0,943.0,303.0,976.0,1451.0,95.0,85.0,1231.0,923.0,160.0,202.0,943.0,1488.0,154.0,1350.0,1317.0,698.0,1034.0,342.0,1036.0,81.0
206.0,1427.0,,1361.0,942.0,303.0,942.0,684.0,972.0,569.0,760.0,943.0,81.0,116.0,976.0,205.0,1489.0,923.0,976.0,303.0,1261.0,1143.0,376.0,1231.0,475.0
760.0,289.0,,1135.0,342.0,976.0,206.0,322.0,148.0,1465.0,512.0,1261.0,475.0,307.0,684.0,942.0,1233.0,1344.0,342.0,863.0,154.0,393.0,685.0,303.0,685.0
1434.0,1460.0,,1301.0,303.0,863.0,976.0,1317.0,480.0,322.0,31.0,195.0,507.0,512.0,942.0,147.0,398.0,205.0,684.0,1201.0,56.0,1364.0,206.0,976.0,1261.0
942.0,1504.0,,362.0,26.0,248.0,698.0,1434.0,798.0,1458.0,1354.0,206.0,1344.0,327.0,376.0,698.0,792.0,698.0,1170.0,943.0,542.0,285.0,154.0,899.0,1231.0
205.0,398.0,,525.0,56.0,340.0,1163.0,206.0,597.0,1433.0,600.0,976.0,685.0,424.0,303.0,542.0,1435.0,901.0,195.0,565.0,195.0,524.0,1434.0,684.0,376.0
1277.0,792.0,,352.0,1434.0,1457.0,1330.0,190.0,732.0,376.0,524.0,322.0,342.0,57.0,698.0,190.0,1323.0,190.0,942.0,205.0,204.0,769.0,205.0,190.0,943.0
342.0,201.0,,1004.0,1317.0,1324.0,680.0,205.0,864.0,371.0,178.0,684.0,205.0,1225.0,206.0,114.0,201.0,942.0,541.0,206.0,684.0,562.0,698.0,84.0,190.0
901.0,249.0,,1025.0,698.0,376.0,1434.0,1277.0,785.0,205.0,1389.0,1434.0,942.0,627.0,1330.0,56.0,249.0,1434.0,943.0,1434.0,202.0,370.0,1304.0,871.0,322.0
1329.0,1435.0,,1178.0,190.0,553.0,342.0,1329.0,750.0,976.0,93.0,942.0,190.0,301.0,371.0,1434.0,1413.0,206.0,565.0,722.0,976.0,56.0,219.0,111.0,942.0
56.0,1323.0,,1362.0,1329.0,206.0,322.0,303.0,759.0,724.0,562.0,1330.0,698.0,1042.0,56.0,1304.0,1504.0,114.0,56.0,899.0,923.0,154.0,220.0,376.0,303.0
1458.0,1413.0,,757.0,205.0,1317.0,1329.0,56.0,349.0,1434.0,769.0,1201.0,1434.0,585.0,1433.0,219.0,1460.0,899.0,1231.0,1330.0,1344.0,923.0,,205.0,206.0
1511.0,1066.0,,171.0,1458.0,371.0,304.0,901.0,791.0,1317.0,1345.0,303.0,219.0,1345.0,190.0,1214.0,1500.0,147.0,303.0,720.0,941.0,204.0,,722.0,84.0
698.0,319.0,,823.0,84.0,942.0,190.0,147.0,226.0,190.0,424.0,698.0,1304.0,625.0,1170.0,220.0,676.0,1458.0,507.0,391.0,977.0,202.0,,901.0,899.0
1271.0,397.0,,1002.0,1433.0,69.0,1458.0,1229.0,784.0,563.0,327.0,722.0,220.0,873.0,205.0,,1446.0,542.0,941.0,56.0,342.0,1261.0,,147.0,205.0
542.0,1486.0,,1108.0,1509.0,885.0,1433.0,1304.0,481.0,206.0,116.0,899.0,,917.0,1229.0,,884.0,1229.0,977.0,1329.0,475.0,1344.0,,56.0,1434.0
114.0,667.0,,592.0,142.0,1347.0,205.0,219.0,857.0,142.0,1398.0,376.0,,428.0,1304.0,,359.0,1304.0,81.0,29.0,81.0,977.0,,1304.0,1229.0
1317.0,558.0,,336.0,985.0,54.0,83.0,1214.0,15.0,900.0,1186.0,1214.0,,378.0,219.0,,1442.0,219.0,475.0,698.0,507.0,941.0,,219.0,1304.0
219.0,1205.0,,561.0,901.0,1357.0,565.0,220.0,845.0,303.0,818.0,219.0,,613.0,220.0,,1447.0,1214.0,685.0,142.0,685.0,81.0,,220.0,219.0
1214.0,1233.0,,636.0,255.0,1350.0,1350.0,,735.0,1163.0,1208.0,220.0,,1134.0,,,865.0,220.0,376.0,985.0,376.0,507.0,,,220.0
220.0,1206.0,,1010.0,355.0,142.0,1347.0,,782.0,220.0,440.0,,,1096.0,,,866.0,,206.0,901.0,1231.0,475.0,,,
,1489.0,,268.0,1229.0,56.0,722.0,,344.0,,457.0,,,903.0,,,396.0,,1458.0,147.0,205.0,376.0,,,
,1506.0,,1085.0,1304.0,899.0,1317.0,,225.0,,502.0,,,847.0,,,853.0,,1433.0,1229.0,943.0,685.0,,,
,1488.0,,1210.0,219.0,675.0,774.0,,742.0,,430.0,,,1302.0,,,674.0,,1434.0,1304.0,901.0,1231.0,,,
,1498.0,,166.0,1214.0,901.0,142.0,,743.0,,167.0,,,291.0,,,601.0,,899.0,219.0,114.0,943.0,,,
,639.0,,278.0,220.0,255.0,1201.0,,751.0,,1119.0,,,1389.0,,,395.0,,1511.0,1214.0,942.0,195.0,,,
