targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.76,3.9525181846514004,14.0,1.0,4.563139931740614
7.1,4.92,3.9791456369426843,14.0,1.0,4.809352517985611
7.2,5.08,4.232446101251615,15.0,1.0,4.9888059701492535
7.3,5.08,4.232446101251615,15.0,1.0,5.202334630350195
7.4,5.08,4.232446101251615,15.0,1.0,5.412955465587045
7.5,5.68,6.103900392372077,29.0,1.0,5.68936170212766
7.6,5.92,6.254086663934232,29.0,1.0,6.049773755656108
7.7,6.04,6.396749174385377,29.0,1.0,6.553921568627451
7.8,6.32,6.454269904489585,29.0,1.0,7.074074074074074
7.9,6.32,6.454269904489585,29.0,1.0,7.683908045977011
8.0,6.76,6.451542451228233,29.0,1.0,8.152439024390244
8.1,7.44,6.770996972381542,29.0,1.0,9.34965034965035
8.2,7.84,7.297561236467975,30.0,1.0,10.4453125
8.3,8.24,8.12049259589589,30.0,1.0,11.235294117647058
8.4,9.96,10.727460090813668,45.0,1.0,12.154545454545454
8.5,10.0,10.721940122944167,45.0,1.0,13.927083333333334
8.6,10.0,10.721940122944167,45.0,1.0,15.367816091954023
8.7,10.04,10.734914997334633,45.0,1.0,16.304878048780488
8.8,10.24,10.629317946133703,45.0,1.0,17.592105263157894
8.9,10.44,10.792886546239611,45.0,1.0,18.830985915492956
9.0,10.44,10.792886546239611,45.0,1.0,20.257575757575758
9.1,11.84,12.610091197132554,45.0,1.0,23.051724137931036
9.2,12.04,12.55859864793839,45.0,1.0,24.30909090909091
9.3,12.84,13.006705962694781,45.0,1.0,26.74
9.4,16.48,14.65638427443822,45.0,1.0,31.093023255813954
9.5,17.76,15.74110542496937,46.0,1.0,33.425
9.6,32.68,27.521220903150354,84.0,1.0,39.3235294117647
9.7,34.52,29.54876647171587,95.0,1.0,47.75
9.8,35.72,28.9655243349745,95.0,1.0,60.77272727272727
9.9,37.36,28.159374993064034,95.0,1.0,66.85
10.0,37.36,28.159374993064034,95.0,1.0,66.85
10.1,38.08,27.50988186088773,95.0,1.0,83.5625
10.2,38.08,27.50988186088773,95.0,1.0,89.13333333333334
10.3,38.08,27.50988186088773,95.0,1.0,102.84615384615384
10.4,38.08,27.50988186088773,95.0,1.0,102.84615384615384
10.5,38.32,27.4703039662833,95.0,1.0,121.54545454545455
10.6,58.04,50.33923320830384,206.0,1.0,267.4
10.7,58.04,50.33923320830384,206.0,1.0,267.4
10.8,62.08,51.07321803058821,212.0,1.0,445.6666666666667
10.9,65.2,48.96692761446239,212.0,16.0,668.5
11.0,65.2,48.96692761446239,212.0,16.0,668.5
11.100000000000001,65.2,48.96692761446239,212.0,16.0,668.5
11.2,65.2,48.96692761446239,212.0,16.0,668.5
11.3,65.2,48.96692761446239,212.0,16.0,668.5
11.4,65.2,48.96692761446239,212.0,16.0,668.5
11.4000078224159,65.2,48.96692761446239,212.0,16.0,668.5
