targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.4,0.8485281374238571,4.0,1.0,1.7793522267206479
7.1,1.56,0.9414881836751855,4.0,1.0,1.8782051282051282
7.2,1.8,1.1661903789690602,5.0,1.0,2.002277904328018
7.3,1.8,1.1661903789690602,5.0,1.0,2.133495145631068
7.4,1.8,1.1661903789690602,5.0,1.0,2.2890625
7.5,1.84,1.1551623262554922,5.0,1.0,2.46218487394958
7.6,1.96,1.28,5.0,1.0,2.6636363636363636
7.7,1.96,1.28,5.0,1.0,2.95959595959596
7.8,2.56,1.8564482217395668,8.0,1.0,3.292134831460674
7.9,2.56,1.8564482217395668,8.0,1.0,3.5443548387096775
8.0,3.04,2.734666341621953,13.0,1.0,3.9066666666666667
8.1,3.88,2.997599039231231,13.0,1.0,5.051724137931035
8.2,5.24,3.5808378907736103,13.0,1.0,5.634615384615385
8.3,5.88,3.755742270177761,13.0,1.0,6.511111111111111
8.4,6.08,3.8566306538220636,13.0,1.0,7.918918918918919
8.5,6.08,3.8566306538220636,13.0,1.0,8.702970297029703
8.6,6.96,4.321851455105786,17.0,1.0,11.26923076923077
8.7,9.36,5.864332869133539,26.0,1.0,14.898305084745763
8.8,11.24,10.420287903892099,52.0,1.0,17.58
8.9,15.4,21.192451486319367,105.0,1.0,21.975
9.0,15.4,21.192451486319367,105.0,1.0,25.114285714285714
9.1,17.8,21.551798068838714,105.0,3.0,35.16
9.2,17.8,21.551798068838714,105.0,3.0,43.95
9.3,21.4,24.311314238436392,112.0,3.0,48.833333333333336
9.4,45.16,35.956284568903946,124.0,3.0,97.66666666666667
9.5,45.16,35.956284568903946,124.0,3.0,97.66666666666667
9.6,46.84,36.988300853107596,124.0,3.0,175.8
9.7,81.92,65.8968405919434,185.0,3.0,439.5
9.8,81.92,65.8968405919434,185.0,3.0,439.5
9.9,81.92,65.8968405919434,185.0,3.0,439.5
10.0,81.92,65.8968405919434,185.0,3.0,439.5
10.1,81.92,65.8968405919434,185.0,3.0,439.5
10.2,81.92,65.8968405919434,185.0,3.0,439.5
10.3,81.92,65.8968405919434,185.0,3.0,439.5
10.4,81.92,65.8968405919434,185.0,3.0,439.5
10.5,81.92,65.8968405919434,185.0,3.0,439.5
10.6,81.92,65.8968405919434,185.0,3.0,439.5
10.7,81.92,65.8968405919434,185.0,3.0,439.5
10.8,81.92,65.8968405919434,185.0,3.0,439.5
10.9,81.92,65.8968405919434,185.0,3.0,439.5
11.0,81.92,65.8968405919434,185.0,3.0,439.5
11.0,81.92,65.8968405919434,185.0,3.0,439.5
