run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
785.0,111.0,540.0,232.0,127.0,684.0,201.0,46.0,244.0,44.0,179.0,857.0,235.0,287.0,748.0,100.0,523.0,554.0,835.0,496.0,871.0,496.0,762.0,474.0,543.0
144.0,496.0,164.0,351.0,157.0,440.0,504.0,296.0,662.0,877.0,513.0,528.0,487.0,346.0,797.0,460.0,608.0,431.0,632.0,341.0,62.0,306.0,56.0,578.0,202.0
522.0,339.0,656.0,706.0,601.0,514.0,22.0,783.0,443.0,45.0,43.0,387.0,393.0,781.0,117.0,79.0,561.0,113.0,487.0,550.0,557.0,533.0,817.0,616.0,713.0
702.0,464.0,65.0,373.0,286.0,244.0,429.0,147.0,608.0,512.0,411.0,46.0,251.0,108.0,542.0,484.0,781.0,310.0,473.0,331.0,753.0,734.0,709.0,790.0,352.0
252.0,439.0,152.0,593.0,220.0,309.0,401.0,454.0,641.0,666.0,808.0,247.0,691.0,381.0,348.0,436.0,298.0,217.0,629.0,238.0,283.0,584.0,804.0,228.0,71.0
681.0,34.0,182.0,532.0,287.0,59.0,517.0,805.0,698.0,738.0,248.0,179.0,835.0,817.0,591.0,840.0,325.0,48.0,736.0,377.0,558.0,381.0,5.0,457.0,179.0
759.0,73.0,637.0,243.0,765.0,456.0,169.0,300.0,701.0,692.0,489.0,66.0,201.0,847.0,537.0,489.0,103.0,380.0,9.0,383.0,206.0,617.0,352.0,733.0,862.0
55.0,59.0,20.0,211.0,523.0,567.0,79.0,127.0,165.0,548.0,851.0,503.0,216.0,374.0,558.0,522.0,525.0,369.0,539.0,577.0,507.0,614.0,350.0,138.0,752.0
399.0,201.0,636.0,856.0,152.0,580.0,706.0,261.0,333.0,804.0,875.0,737.0,774.0,717.0,409.0,116.0,654.0,692.0,422.0,848.0,143.0,554.0,870.0,806.0,740.0
77.0,2.0,691.0,48.0,221.0,133.0,728.0,53.0,145.0,251.0,237.0,803.0,218.0,46.0,814.0,350.0,627.0,204.0,198.0,512.0,267.0,422.0,631.0,811.0,846.0
358.0,219.0,449.0,172.0,172.0,211.0,219.0,172.0,465.0,551.0,203.0,225.0,556.0,271.0,857.0,80.0,776.0,219.0,857.0,394.0,346.0,857.0,749.0,381.0,645.0
25.0,590.0,492.0,32.0,373.0,225.0,194.0,294.0,480.0,451.0,195.0,326.0,460.0,80.0,844.0,384.0,384.0,203.0,180.0,546.0,873.0,213.0,742.0,812.0,857.0
583.0,358.0,568.0,28.0,219.0,326.0,217.0,86.0,219.0,549.0,476.0,844.0,717.0,564.0,212.0,564.0,23.0,699.0,421.0,640.0,52.0,844.0,23.0,180.0,736.0
768.0,463.0,569.0,127.0,299.0,46.0,386.0,634.0,194.0,190.0,861.0,82.0,316.0,873.0,14.0,873.0,24.0,853.0,825.0,190.0,618.0,511.0,24.0,422.0,241.0
493.0,252.0,384.0,755.0,857.0,87.0,218.0,328.0,91.0,640.0,853.0,116.0,219.0,98.0,674.0,57.0,352.0,716.0,511.0,549.0,375.0,245.0,776.0,421.0,384.0
56.0,768.0,450.0,830.0,844.0,82.0,625.0,158.0,100.0,546.0,716.0,31.0,715.0,424.0,384.0,286.0,777.0,808.0,858.0,15.0,104.0,859.0,384.0,214.0,825.0
551.0,769.0,16.0,529.0,866.0,476.0,602.0,80.0,106.0,637.0,852.0,59.0,139.0,224.0,858.0,56.0,261.0,865.0,503.0,636.0,48.0,832.0,777.0,540.0,776.0
253.0,584.0,15.0,594.0,594.0,195.0,427.0,564.0,674.0,448.0,225.0,115.0,54.0,99.0,503.0,749.0,69.0,852.0,844.0,69.0,703.0,307.0,261.0,706.0,366.0
744.0,116.0,448.0,128.0,28.0,861.0,687.0,873.0,217.0,636.0,326.0,327.0,499.0,100.0,536.0,742.0,25.0,80.0,536.0,551.0,695.0,493.0,69.0,371.0,737.0
76.0,31.0,69.0,829.0,129.0,808.0,45.0,669.0,386.0,15.0,865.0,808.0,737.0,45.0,540.0,30.0,493.0,873.0,537.0,547.0,699.0,253.0,16.0,755.0,550.0
546.0,430.0,172.0,182.0,830.0,853.0,674.0,207.0,224.0,449.0,116.0,476.0,392.0,27.0,200.0,31.0,583.0,564.0,833.0,448.0,654.0,358.0,569.0,47.0,394.0
640.0,388.0,639.0,129.0,32.0,203.0,642.0,553.0,45.0,521.0,31.0,566.0,671.0,563.0,421.0,224.0,253.0,809.0,446.0,637.0,117.0,25.0,450.0,682.0,547.0
190.0,102.0,550.0,288.0,529.0,791.0,188.0,321.0,427.0,492.0,745.0,28.0,712.0,671.0,833.0,45.0,77.0,171.0,816.0,134.0,126.0,583.0,839.0,559.0,134.0
549.0,391.0,394.0,482.0,128.0,716.0,284.0,226.0,188.0,568.0,59.0,203.0,239.0,337.0,265.0,115.0,357.0,476.0,212.0,492.0,620.0,357.0,141.0,200.0,551.0
16.0,284.0,547.0,384.0,829.0,224.0,88.0,552.0,810.0,16.0,318.0,861.0,240.0,140.0,214.0,87.0,768.0,195.0,801.0,568.0,524.0,77.0,156.0,558.0,451.0
545.0,357.0,134.0,526.0,182.0,56.0,89.0,648.0,15.0,873.0,212.0,195.0,825.0,,422.0,27.0,338.0,861.0,200.0,449.0,439.0,252.0,403.0,170.0,548.0
590.0,25.0,551.0,212.0,482.0,749.0,430.0,154.0,636.0,69.0,742.0,852.0,554.0,,180.0,337.0,76.0,857.0,203.0,450.0,670.0,769.0,133.0,857.0,545.0
357.0,253.0,331.0,502.0,288.0,852.0,388.0,371.0,325.0,569.0,809.0,853.0,241.0,,682.0,563.0,769.0,212.0,540.0,569.0,79.0,546.0,15.0,211.0,493.0
