targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.52,0.6400000000000001,3.0,1.0,1.7793522267206479
7.1,1.52,0.6400000000000001,3.0,1.0,1.8782051282051282
7.2,1.6,0.8,4.0,1.0,2.002277904328018
7.3,1.76,1.1757550765359255,6.0,1.0,2.133495145631068
7.4,1.8,1.2328828005937953,6.0,1.0,2.2890625
7.5,1.84,1.22245654319489,6.0,1.0,2.46218487394958
7.6,2.08,1.6951696080333674,8.0,1.0,2.6636363636363636
7.7,2.68,2.3103246525109844,9.0,1.0,2.95959595959596
7.8,2.92,2.726462910072315,12.0,1.0,3.292134831460674
7.9,3.72,3.435345688573422,13.0,1.0,3.5443548387096775
8.0,4.4,3.5213633723318014,13.0,1.0,3.9066666666666667
8.1,4.48,3.4884953776664234,13.0,1.0,5.051724137931035
8.2,4.92,3.8044184838158905,13.0,1.0,5.634615384615385
8.3,5.2,3.9597979746446663,14.0,1.0,6.511111111111111
8.4,6.12,5.171614834846075,22.0,1.0,7.918918918918919
8.5,6.96,6.814572620494994,24.0,1.0,8.702970297029703
8.6,9.6,8.148619514985345,31.0,1.0,11.26923076923077
8.7,13.4,10.895870777500988,43.0,1.0,14.898305084745763
8.8,15.08,11.113667261529832,43.0,1.0,17.58
8.9,20.52,16.766919812535633,85.0,1.0,21.975
9.0,21.72,17.698632715551785,85.0,1.0,25.114285714285714
9.1,25.6,18.714700104463336,85.0,1.0,35.16
9.2,30.68,20.807152616348063,85.0,1.0,43.95
9.3,33.32,25.220182394265112,106.0,1.0,48.833333333333336
9.4,55.56,29.98810430820861,112.0,7.0,97.66666666666667
9.5,55.56,29.98810430820861,112.0,7.0,97.66666666666667
9.6,57.88,29.331648436458533,112.0,18.0,175.8
9.7,126.28,55.247457860068096,246.0,18.0,439.5
9.8,126.28,55.247457860068096,246.0,18.0,439.5
9.9,126.28,55.247457860068096,246.0,18.0,439.5
10.0,126.28,55.247457860068096,246.0,18.0,439.5
10.1,126.28,55.247457860068096,246.0,18.0,439.5
10.2,126.28,55.247457860068096,246.0,18.0,439.5
10.3,126.28,55.247457860068096,246.0,18.0,439.5
10.4,126.28,55.247457860068096,246.0,18.0,439.5
10.5,126.28,55.247457860068096,246.0,18.0,439.5
10.6,126.28,55.247457860068096,246.0,18.0,439.5
10.7,126.28,55.247457860068096,246.0,18.0,439.5
10.8,126.28,55.247457860068096,246.0,18.0,439.5
10.9,126.28,55.247457860068096,246.0,18.0,439.5
11.0,126.28,55.247457860068096,246.0,18.0,439.5
11.0,126.28,55.247457860068096,246.0,18.0,439.5
