targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.4,0.8485281374238571,4.0,1.0,1.7793522267206479
7.1,1.56,0.9414881836751855,4.0,1.0,1.8782051282051282
7.2,1.8,1.1661903789690602,5.0,1.0,2.002277904328018
7.3,1.8,1.1661903789690602,5.0,1.0,2.133495145631068
7.4,1.8,1.1661903789690602,5.0,1.0,2.2890625
7.5,1.84,1.1551623262554922,5.0,1.0,2.46218487394958
7.6,1.96,1.28,5.0,1.0,2.6636363636363636
7.7,1.96,1.28,5.0,1.0,2.95959595959596
7.8,2.56,1.8564482217395668,8.0,1.0,3.292134831460674
7.9,2.56,1.8564482217395668,8.0,1.0,3.5443548387096775
8.0,3.0,2.592296279363144,12.0,1.0,3.9066666666666667
8.1,4.12,3.839999999999999,19.0,1.0,5.051724137931035
8.2,5.48,4.234335839302309,19.0,1.0,5.634615384615385
8.3,6.12,4.348057037344381,19.0,1.0,6.511111111111111
8.4,6.36,4.4889196918635115,19.0,1.0,7.918918918918919
8.5,6.36,4.4889196918635115,19.0,1.0,8.702970297029703
8.6,7.12,4.615798955760529,19.0,1.0,11.26923076923077
8.7,9.6,6.209669878504009,25.0,1.0,14.898305084745763
8.8,11.64,10.605206268621087,46.0,1.0,17.58
8.9,17.92,23.91471513524675,107.0,1.0,21.975
9.0,17.96,23.935713902033505,107.0,1.0,25.114285714285714
9.1,21.56,27.889897812648936,133.0,3.0,35.16
9.2,23.12,30.396473479665367,133.0,3.0,43.95
9.3,25.68,29.680592985990017,133.0,3.0,48.833333333333336
9.4,51.52,44.109971661745604,179.0,3.0,97.66666666666667
9.5,51.52,44.109971661745604,179.0,3.0,97.66666666666667
9.6,53.24,46.129626055280355,179.0,3.0,175.8
9.7,74.84,59.02181291692081,224.0,3.0,439.5
9.8,74.84,59.02181291692081,224.0,3.0,439.5
9.9,74.84,59.02181291692081,224.0,3.0,439.5
10.0,74.84,59.02181291692081,224.0,3.0,439.5
10.1,74.84,59.02181291692081,224.0,3.0,439.5
10.2,74.84,59.02181291692081,224.0,3.0,439.5
10.3,74.84,59.02181291692081,224.0,3.0,439.5
10.4,74.84,59.02181291692081,224.0,3.0,439.5
10.5,74.84,59.02181291692081,224.0,3.0,439.5
10.6,74.84,59.02181291692081,224.0,3.0,439.5
10.7,74.84,59.02181291692081,224.0,3.0,439.5
10.8,74.84,59.02181291692081,224.0,3.0,439.5
10.9,74.84,59.02181291692081,224.0,3.0,439.5
11.0,74.84,59.02181291692081,224.0,3.0,439.5
11.0,74.84,59.02181291692081,224.0,3.0,439.5
