targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.28,2.2719154913860686,10.0,1.0,9.081967213114755
7.1,3.44,2.546841180757057,11.0,1.0,9.834319526627219
7.2,3.64,2.696367927416435,11.0,1.0,10.862745098039216
7.3,3.68,2.810266891240047,12.0,1.0,11.956834532374101
7.4,3.68,2.810266891240047,12.0,1.0,12.687022900763358
7.5,3.76,2.8039971469315015,12.0,1.0,14.084745762711865
7.6,3.88,2.746925554142303,12.0,1.0,15.98076923076923
7.7,4.08,2.9922566734824074,12.0,1.0,16.959183673469386
7.8,4.8,3.5099857549568485,12.0,1.0,21.037974683544302
7.9,4.8,3.5099857549568485,12.0,1.0,22.767123287671232
8.0,4.8,3.5099857549568485,12.0,1.0,23.742857142857144
8.1,5.12,3.7769829229161203,12.0,1.0,28.16949152542373
8.2,5.12,3.7769829229161203,12.0,1.0,30.21818181818182
8.3,5.28,4.132989232988636,16.0,1.0,31.96153846153846
8.4,5.28,4.132989232988636,16.0,1.0,35.361702127659576
8.5,5.28,4.132989232988636,16.0,1.0,37.77272727272727
8.6,6.76,6.087889617921797,28.0,1.0,47.48571428571429
8.7,13.16,14.307145068111948,52.0,1.0,63.92307692307692
8.8,13.84,14.013365049123639,52.0,1.0,75.54545454545455
8.9,16.32,14.390886004690609,52.0,1.0,87.47368421052632
9.0,18.8,15.046594299043223,52.0,2.0,118.71428571428571
9.1,18.8,15.046594299043223,52.0,2.0,118.71428571428571
9.2,19.36,15.006345324561876,52.0,2.0,138.5
9.3,23.48,14.653654834204335,52.0,2.0,151.0909090909091
9.4,24.0,14.209855734665288,52.0,2.0,166.2
9.5,54.88,35.95365906274353,150.0,3.0,237.42857142857142
9.6,54.88,35.95365906274353,150.0,3.0,237.42857142857142
9.7,54.88,35.95365906274353,150.0,3.0,237.42857142857142
9.8,54.88,35.95365906274353,150.0,3.0,237.42857142857142
9.9,55.92,35.57855533885545,150.0,11.0,277.0
10.0,60.56,33.23140683149,150.0,16.0,332.4
10.1,60.88,33.17748634239791,150.0,16.0,554.0
10.2,60.88,33.17748634239791,150.0,16.0,554.0
10.3,60.88,33.17748634239791,150.0,16.0,554.0
10.4,60.88,33.17748634239791,150.0,16.0,554.0
10.5,60.88,33.17748634239791,150.0,16.0,554.0
10.6,64.8,36.67478697961312,182.0,16.0,831.0
10.7,64.8,36.67478697961312,182.0,16.0,831.0
10.8,64.8,36.67478697961312,182.0,16.0,831.0
10.9,64.8,36.67478697961312,182.0,16.0,831.0
11.0,64.8,36.67478697961312,182.0,16.0,831.0
11.100000000000001,64.8,36.67478697961312,182.0,16.0,831.0
11.2,64.8,36.67478697961312,182.0,16.0,831.0
11.221848749616356,64.8,36.67478697961312,182.0,16.0,831.0
