targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.44,2.8855502074994295,12.0,2.0,9.081967213114755
7.1,4.76,2.818226392609366,12.0,2.0,9.834319526627219
7.2,5.16,3.2824381182285824,12.0,2.0,10.862745098039216
7.3,5.8,3.4176014981270124,12.0,2.0,11.956834532374101
7.4,6.04,3.6274508956014824,12.0,2.0,12.687022900763358
7.5,6.44,3.5786030794152066,14.0,2.0,14.084745762711865
7.6,7.64,4.74872614497825,16.0,2.0,15.98076923076923
7.7,8.04,4.999839997439919,17.0,2.0,16.959183673469386
7.8,9.24,5.687037893314937,18.0,2.0,21.037974683544302
7.9,9.4,5.871967302361279,18.0,2.0,22.767123287671232
8.0,10.12,7.117977240761592,27.0,2.0,23.742857142857144
8.1,12.84,9.000799964447605,42.0,2.0,28.16949152542373
8.2,13.32,8.698137731721658,42.0,2.0,30.21818181818182
8.3,13.48,8.777790154702949,42.0,2.0,31.96153846153846
8.4,13.52,8.764108625524903,42.0,2.0,35.361702127659576
8.5,13.68,8.766846639470774,42.0,2.0,37.77272727272727
8.6,15.08,9.620478158594821,46.0,2.0,47.48571428571429
8.7,18.28,11.860927451089141,49.0,2.0,63.92307692307692
8.8,19.24,11.497060493882774,49.0,2.0,75.54545454545455
8.9,19.8,12.29634091915152,56.0,2.0,87.47368421052632
9.0,32.88,18.753815611762853,69.0,2.0,118.71428571428571
9.1,32.88,18.753815611762853,69.0,2.0,118.71428571428571
9.2,35.08,18.121633480456442,70.0,12.0,138.5
9.3,35.72,19.105015048410714,72.0,12.0,151.0909090909091
9.4,35.72,19.105015048410714,72.0,12.0,166.2
9.5,106.56,27.154491341212783,152.0,49.0,237.42857142857142
9.6,106.56,27.154491341212783,152.0,49.0,237.42857142857142
9.7,106.56,27.154491341212783,152.0,49.0,237.42857142857142
9.8,106.56,27.154491341212783,152.0,49.0,237.42857142857142
9.9,108.32,27.309661294128126,156.0,49.0,277.0
10.0,113.84,29.367573954959237,167.0,53.0,332.4
10.1,114.24,29.37792368429056,167.0,53.0,554.0
10.2,114.24,29.37792368429056,167.0,53.0,554.0
10.3,114.24,29.37792368429056,167.0,53.0,554.0
10.4,114.24,29.37792368429056,167.0,53.0,554.0
10.5,114.24,29.37792368429056,167.0,53.0,554.0
10.6,121.24,28.929265459046828,167.0,53.0,831.0
10.7,121.24,28.929265459046828,167.0,53.0,831.0
10.8,121.24,28.929265459046828,167.0,53.0,831.0
10.9,121.24,28.929265459046828,167.0,53.0,831.0
11.0,121.24,28.929265459046828,167.0,53.0,831.0
11.100000000000001,121.24,28.929265459046828,167.0,53.0,831.0
11.2,121.24,28.929265459046828,167.0,53.0,831.0
11.221848749616356,121.24,28.929265459046828,167.0,53.0,831.0
