targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.44,2.8855502074994295,12.0,2.0,9.081967213114755
7.1,4.76,2.818226392609366,12.0,2.0,9.834319526627219
7.2,5.16,3.2824381182285824,12.0,2.0,10.862745098039216
7.3,5.8,3.4176014981270124,12.0,2.0,11.956834532374101
7.4,6.12,3.7769829229161207,14.0,2.0,12.687022900763358
7.5,6.44,3.5786030794152066,14.0,2.0,14.084745762711865
7.6,7.64,4.74872614497825,16.0,2.0,15.98076923076923
7.7,8.28,5.318044753478481,17.0,2.0,16.959183673469386
7.8,9.64,6.208896842435054,22.0,2.0,21.037974683544302
7.9,9.84,6.484936391361136,22.0,2.0,22.767123287671232
8.0,10.6,7.615773105863909,27.0,2.0,23.742857142857144
8.1,12.28,7.345855974629505,27.0,2.0,28.16949152542373
8.2,12.76,7.010164049435647,27.0,2.0,30.21818181818182
8.3,12.92,7.110105484449581,27.0,2.0,31.96153846153846
8.4,13.2,7.293833011524188,27.0,2.0,35.361702127659576
8.5,13.36,7.304135814728529,27.0,2.0,37.77272727272727
8.6,15.08,8.583332686084118,34.0,2.0,47.48571428571429
8.7,17.68,10.002879585399395,38.0,2.0,63.92307692307692
8.8,18.44,9.708058508270332,38.0,2.0,75.54545454545455
8.9,19.52,11.943600797079583,58.0,2.0,87.47368421052632
9.0,32.04,17.66913693421385,73.0,2.0,118.71428571428571
9.1,32.04,17.66913693421385,73.0,2.0,118.71428571428571
9.2,34.72,16.919858155433808,73.0,12.0,138.5
9.3,34.72,16.919858155433808,73.0,12.0,151.0909090909091
9.4,34.76,17.011243340802576,74.0,12.0,166.2
9.5,103.56,31.598835421578436,179.0,52.0,237.42857142857142
9.6,103.56,31.598835421578436,179.0,52.0,237.42857142857142
9.7,103.56,31.598835421578436,179.0,52.0,237.42857142857142
9.8,103.56,31.598835421578436,179.0,52.0,237.42857142857142
9.9,106.64,31.187022942243136,179.0,54.0,277.0
10.0,114.96,34.654269578220806,180.0,59.0,332.4
10.1,115.4,34.790803382503256,181.0,60.0,554.0
10.2,115.4,34.790803382503256,181.0,60.0,554.0
10.3,115.4,34.790803382503256,181.0,60.0,554.0
10.4,115.4,34.790803382503256,181.0,60.0,554.0
10.5,115.4,34.790803382503256,181.0,60.0,554.0
10.6,126.4,38.281065815883444,208.0,61.0,831.0
10.7,126.4,38.281065815883444,208.0,61.0,831.0
10.8,126.4,38.281065815883444,208.0,61.0,831.0
10.9,126.4,38.281065815883444,208.0,61.0,831.0
11.0,126.4,38.281065815883444,208.0,61.0,831.0
11.100000000000001,126.4,38.281065815883444,208.0,61.0,831.0
11.2,126.4,38.281065815883444,208.0,61.0,831.0
11.221848749616356,126.4,38.281065815883444,208.0,61.0,831.0
