targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.32,2.4774180107523236,9.0,1.0,9.403409090909092
7.1,3.88,3.076621523684706,13.0,1.0,10.216049382716049
7.2,3.92,3.0452586097078846,13.0,1.0,11.335616438356164
7.3,3.92,3.0452586097078846,13.0,1.0,12.443609022556391
7.4,3.92,3.0452586097078846,13.0,1.0,13.24
7.5,4.56,3.9706926347930787,17.0,1.0,14.776785714285714
7.6,4.84,4.360550423971726,17.0,1.0,16.717171717171716
7.7,5.32,4.797666099261181,17.0,1.0,17.795698924731184
7.8,5.68,4.961612641067418,17.0,1.0,21.776315789473685
7.9,5.68,4.961612641067418,17.0,1.0,23.642857142857142
8.0,5.68,4.961612641067418,17.0,1.0,24.70149253731343
8.1,7.44,5.521449085158714,17.0,1.0,29.553571428571427
8.2,7.88,6.345518103354523,25.0,1.0,31.826923076923077
8.3,8.16,6.2204822964140005,25.0,1.0,33.775510204081634
8.4,8.16,6.2204822964140005,25.0,1.0,37.61363636363637
8.5,8.92,6.517177303096794,25.0,1.0,40.36585365853659
8.6,9.84,7.556083641675759,29.0,1.0,48.6764705882353
8.7,11.44,7.558200844116277,29.0,1.0,66.2
8.8,16.68,13.947673641148906,63.0,1.0,78.80952380952381
8.9,22.16,16.31607796009813,63.0,1.0,91.94444444444444
9.0,24.64,15.154880402035511,63.0,3.0,127.3076923076923
9.1,24.64,15.154880402035511,63.0,3.0,127.3076923076923
9.2,25.76,14.937951666811617,64.0,3.0,150.45454545454547
9.3,30.56,13.431544959534625,64.0,4.0,165.5
9.4,30.56,13.431544959534625,64.0,4.0,165.5
9.5,64.4,30.18211390873741,141.0,26.0,236.42857142857142
9.6,64.4,30.18211390873741,141.0,26.0,236.42857142857142
9.7,64.4,30.18211390873741,141.0,26.0,236.42857142857142
9.8,64.4,30.18211390873741,141.0,26.0,236.42857142857142
9.9,65.68,30.843761119552198,143.0,28.0,275.8333333333333
10.0,78.96,32.78838818850356,144.0,33.0,331.0
10.1,79.52,32.64980244963206,144.0,34.0,551.6666666666666
10.2,79.52,32.64980244963206,144.0,34.0,551.6666666666666
10.3,79.52,32.64980244963206,144.0,34.0,551.6666666666666
10.4,79.52,32.64980244963206,144.0,34.0,551.6666666666666
10.5,79.52,32.64980244963206,144.0,34.0,551.6666666666666
10.6,123.56,50.85751075308347,212.0,36.0,827.5
10.7,123.56,50.85751075308347,212.0,36.0,827.5
10.8,123.56,50.85751075308347,212.0,36.0,827.5
10.9,123.56,50.85751075308347,212.0,36.0,827.5
11.0,123.56,50.85751075308347,212.0,36.0,827.5
11.100000000000001,123.56,50.85751075308347,212.0,36.0,827.5
11.2,123.56,50.85751075308347,212.0,36.0,827.5
11.221848749616356,123.56,50.85751075308347,212.0,36.0,827.5
