targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,11.24,10.726714315203887,40.0,1.0,9.081967213114755
7.1,16.88,20.89463088929785,78.0,1.0,9.834319526627219
7.2,16.96,21.12908895338368,79.0,1.0,10.862745098039216
7.3,17.48,21.185126858246566,80.0,1.0,11.956834532374101
7.4,18.0,20.978083801910984,80.0,1.0,12.687022900763358
7.5,18.52,20.75402611543119,80.0,1.0,14.084745762711865
7.6,18.68,20.933647556028077,80.0,1.0,15.98076923076923
7.7,19.64,20.52097463572333,80.0,1.0,16.959183673469386
7.8,19.64,20.52097463572333,80.0,1.0,21.037974683544302
7.9,19.64,20.52097463572333,80.0,1.0,22.767123287671232
8.0,19.76,20.628679065805454,80.0,1.0,23.742857142857144
8.1,20.0,20.583488528429772,80.0,1.0,28.16949152542373
8.2,20.36,20.325117465835223,80.0,2.0,30.21818181818182
8.3,20.36,20.325117465835223,80.0,2.0,31.96153846153846
8.4,20.6,20.276094298458958,80.0,2.0,35.361702127659576
8.5,20.96,20.038922126701326,80.0,2.0,37.77272727272727
8.6,25.12,20.3535156668326,80.0,2.0,47.48571428571429
8.7,27.8,20.287927444665215,80.0,2.0,63.92307692307692
8.8,35.64,24.35057288853796,103.0,2.0,75.54545454545455
8.9,36.48,24.77437385687073,107.0,2.0,87.47368421052632
9.0,46.52,24.36246292967934,107.0,12.0,118.71428571428571
9.1,46.52,24.36246292967934,107.0,12.0,118.71428571428571
9.2,47.6,23.88304838164509,107.0,12.0,138.5
9.3,49.12,24.315131091565185,107.0,12.0,151.0909090909091
9.4,49.28,24.21985961974181,107.0,12.0,166.2
9.5,83.72,39.77086370699032,178.0,28.0,237.42857142857142
9.6,83.72,39.77086370699032,178.0,28.0,237.42857142857142
9.7,83.72,39.77086370699032,178.0,28.0,237.42857142857142
9.8,83.72,39.77086370699032,178.0,28.0,237.42857142857142
9.9,84.12,40.13409523086325,180.0,28.0,277.0
10.0,86.44,40.336663223424914,183.0,31.0,332.4
10.1,86.72,40.143263444817244,183.0,31.0,554.0
10.2,86.72,40.143263444817244,183.0,31.0,554.0
10.3,86.72,40.143263444817244,183.0,31.0,554.0
10.4,86.72,40.143263444817244,183.0,31.0,554.0
10.5,86.72,40.143263444817244,183.0,31.0,554.0
10.6,91.24,42.794653871716264,197.0,31.0,831.0
10.7,91.24,42.794653871716264,197.0,31.0,831.0
10.8,91.24,42.794653871716264,197.0,31.0,831.0
10.9,91.24,42.794653871716264,197.0,31.0,831.0
11.0,91.24,42.794653871716264,197.0,31.0,831.0
11.100000000000001,91.24,42.794653871716264,197.0,31.0,831.0
11.2,91.24,42.794653871716264,197.0,31.0,831.0
11.221848749616356,91.24,42.794653871716264,197.0,31.0,831.0
