run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1026.0,788.0,481.0,274.0,56.0,719.0,1004.0,728.0,1282.0,131.0,699.0,242.0,1290.0,747.0,597.0,298.0,1303.0,824.0,762.0,1301.0,763.0,1291.0,1299.0,131.0,582.0
1319.0,327.0,591.0,1299.0,327.0,699.0,381.0,602.0,866.0,34.0,464.0,853.0,762.0,1306.0,233.0,61.0,904.0,853.0,1295.0,31.0,1218.0,74.0,1131.0,233.0,146.0
275.0,568.0,1258.0,1290.0,845.0,600.0,866.0,373.0,1131.0,748.0,393.0,591.0,719.0,1052.0,397.0,274.0,761.0,1299.0,669.0,1293.0,728.0,381.0,876.0,34.0,310.0
86.0,56.0,56.0,61.0,1147.0,131.0,591.0,1098.0,1298.0,747.0,1231.0,96.0,1052.0,597.0,748.0,581.0,145.0,904.0,824.0,1294.0,845.0,866.0,800.0,189.0,224.0
310.0,328.0,1231.0,1305.0,234.0,1258.0,298.0,1161.0,748.0,600.0,1297.0,1026.0,1306.0,1157.0,1295.0,1162.0,1288.0,5.0,382.0,394.0,5.0,448.0,1314.0,1290.0,1292.0
971.0,1297.0,34.0,1098.0,396.0,236.0,568.0,1298.0,1306.0,672.0,1147.0,866.0,7.0,1162.0,448.0,1290.0,1156.0,1219.0,799.0,866.0,481.0,251.0,310.0,875.0,799.0
1258.0,591.0,854.0,314.0,31.0,1098.0,5.0,416.0,1162.0,86.0,601.0,5.0,1147.0,146.0,764.0,597.0,1161.0,1314.0,310.0,1282.0,7.0,1305.0,794.0,464.0,1293.0
1147.0,224.0,328.0,737.0,274.0,251.0,1282.0,875.0,51.0,762.0,1314.0,672.0,1305.0,251.0,74.0,1291.0,794.0,1319.0,876.0,233.0,393.0,234.0,1258.0,1282.0,1098.0
397.0,1298.0,136.0,327.0,265.0,748.0,1290.0,1219.0,224.0,396.0,761.0,189.0,133.0,1293.0,394.0,1131.0,672.0,189.0,845.0,146.0,133.0,328.0,600.0,31.0,845.0
1157.0,1295.0,1162.0,86.0,747.0,327.0,251.0,383.0,309.0,763.0,382.0,1291.0,481.0,394.0,582.0,876.0,483.0,728.0,944.0,602.0,327.0,581.0,448.0,1004.0,483.0
504.0,206.0,1314.0,191.0,7.0,999.0,762.0,191.0,339.0,236.0,1291.0,1199.0,615.0,875.0,1291.0,1304.0,1306.0,1218.0,763.0,1291.0,504.0,762.0,875.0,693.0,1291.0
793.0,7.0,719.0,1052.0,298.0,417.0,875.0,1052.0,,1052.0,381.0,788.0,314.0,876.0,1290.0,875.0,383.0,327.0,219.0,1281.0,1052.0,1281.0,219.0,1052.0,1303.0
798.0,895.0,1219.0,1156.0,1225.0,1052.0,1131.0,876.0,,875.0,615.0,236.0,1297.0,1131.0,1305.0,1052.0,788.0,1199.0,1304.0,145.0,875.0,1156.0,251.0,876.0,314.0
673.0,1146.0,1199.0,251.0,895.0,875.0,876.0,1131.0,,1131.0,763.0,74.0,1304.0,86.0,1303.0,828.0,1299.0,34.0,1290.0,841.0,56.0,274.0,86.0,1131.0,219.0
799.0,485.0,661.0,1131.0,495.0,1131.0,86.0,251.0,,876.0,1304.0,206.0,763.0,504.0,763.0,251.0,314.0,672.0,314.0,85.0,1225.0,1052.0,1052.0,86.0,763.0
805.0,74.0,874.0,875.0,1282.0,876.0,1052.0,110.0,,251.0,1290.0,685.0,310.0,1095.0,602.0,86.0,1297.0,236.0,1297.0,818.0,207.0,86.0,845.0,251.0,1304.0
189.0,685.0,968.0,876.0,875.0,86.0,1095.0,86.0,,1095.0,1305.0,327.0,582.0,125.0,1304.0,1095.0,602.0,788.0,582.0,684.0,876.0,129.0,1095.0,504.0,191.0
693.0,1225.0,273.0,1095.0,876.0,110.0,219.0,298.0,,298.0,313.0,235.0,1303.0,966.0,219.0,1156.0,1304.0,74.0,769.0,274.0,1290.0,1131.0,298.0,1095.0,1290.0
1052.0,672.0,464.0,877.0,1052.0,125.0,877.0,1095.0,,504.0,1303.0,34.0,602.0,570.0,191.0,877.0,763.0,235.0,1305.0,635.0,1305.0,1095.0,877.0,966.0,1305.0
582.0,236.0,1328.0,504.0,1131.0,298.0,125.0,877.0,,125.0,602.0,383.0,313.0,877.0,274.0,125.0,1290.0,206.0,602.0,1156.0,1303.0,875.0,125.0,877.0,602.0
1303.0,1218.0,1281.0,125.0,86.0,845.0,966.0,125.0,,1304.0,582.0,1306.0,1299.0,845.0,762.0,570.0,310.0,685.0,313.0,1306.0,764.0,876.0,570.0,125.0,1297.0
763.0,34.0,1156.0,570.0,251.0,1095.0,570.0,966.0,,581.0,310.0,1299.0,311.0,693.0,313.0,504.0,582.0,615.0,1303.0,328.0,602.0,298.0,966.0,570.0,313.0
1304.0,235.0,1301.0,966.0,1095.0,581.0,110.0,845.0,,1290.0,314.0,761.0,765.0,298.0,382.0,191.0,1305.0,177.0,1288.0,765.0,840.0,125.0,581.0,845.0,1299.0
875.0,5.0,1282.0,845.0,125.0,738.0,581.0,570.0,,1305.0,504.0,381.0,1291.0,110.0,294.0,762.0,313.0,1306.0,764.0,1292.0,311.0,877.0,110.0,763.0,762.0
1131.0,615.0,274.0,762.0,504.0,191.0,763.0,581.0,,1303.0,383.0,438.0,1288.0,581.0,1297.0,845.0,311.0,383.0,1291.0,311.0,1291.0,570.0,635.0,1304.0,1288.0
251.0,383.0,564.0,564.0,966.0,877.0,1304.0,504.0,,764.0,1299.0,1288.0,382.0,416.0,310.0,1282.0,765.0,761.0,383.0,764.0,765.0,966.0,841.0,1305.0,382.0
876.0,1306.0,828.0,841.0,1156.0,570.0,1305.0,647.0,,1291.0,1288.0,1298.0,764.0,234.0,314.0,1305.0,1291.0,1298.0,381.0,1298.0,1304.0,845.0,818.0,313.0,764.0
1271.0,1288.0,569.0,818.0,6.0,966.0,1303.0,841.0,,382.0,764.0,601.0,1292.0,841.0,1288.0,1303.0,381.0,314.0,601.0,1297.0,382.0,1124.0,85.0,1303.0,311.0
1290.0,382.0,739.0,309.0,662.0,416.0,1291.0,818.0,,582.0,1306.0,382.0,381.0,309.0,381.0,763.0,504.0,1297.0,761.0,314.0,1131.0,1282.0,191.0,840.0,765.0
314.0,764.0,309.0,,207.0,448.0,582.0,85.0,,310.0,1298.0,764.0,601.0,,601.0,313.0,191.0,1304.0,765.0,763.0,251.0,110.0,597.0,1291.0,601.0
1305.0,1292.0,,,999.0,615.0,310.0,309.0,,314.0,311.0,1292.0,761.0,,765.0,602.0,601.0,763.0,311.0,1304.0,762.0,841.0,1161.0,602.0,381.0
313.0,1169.0,,,877.0,818.0,314.0,,,1288.0,765.0,762.0,1298.0,,311.0,601.0,764.0,1290.0,1292.0,1290.0,86.0,818.0,803.0,582.0,1298.0
762.0,763.0,,,570.0,841.0,313.0,,,601.0,1292.0,765.0,383.0,,495.0,381.0,498.0,310.0,1298.0,1305.0,895.0,85.0,763.0,310.0,761.0
1095.0,1290.0,,,416.0,85.0,1297.0,,,381.0,762.0,311.0,1313.0,,1156.0,177.0,1292.0,602.0,1299.0,1303.0,274.0,309.0,1304.0,314.0,504.0
602.0,6.0,,,581.0,803.0,602.0,,,615.0,840.0,1305.0,219.0,,1282.0,966.0,1298.0,582.0,1306.0,582.0,601.0,,582.0,762.0,383.0
601.0,1304.0,,,110.0,234.0,601.0,,,761.0,1313.0,1290.0,1048.0,,667.0,1314.0,762.0,1305.0,1313.0,310.0,381.0,,1303.0,1297.0,1306.0
381.0,1305.0,,,841.0,309.0,1288.0,,,313.0,788.0,763.0,327.0,,1292.0,582.0,382.0,1303.0,696.0,219.0,1095.0,,1290.0,298.0,1313.0
311.0,1303.0,,,818.0,,382.0,,,738.0,219.0,1304.0,462.0,,1298.0,310.0,1313.0,313.0,191.0,313.0,298.0,,1297.0,601.0,598.0
1291.0,311.0,,,85.0,,764.0,,,765.0,1048.0,314.0,696.0,,761.0,311.0,1048.0,762.0,737.0,1288.0,1288.0,,1305.0,381.0,788.0
761.0,765.0,,,309.0,,311.0,,,311.0,696.0,1297.0,910.0,,1306.0,764.0,219.0,381.0,871.0,382.0,1292.0,,313.0,761.0,696.0
764.0,1291.0,,,,,761.0,,,602.0,462.0,310.0,606.0,,383.0,382.0,462.0,601.0,1131.0,383.0,1298.0,,602.0,764.0,548.0
382.0,762.0,,,,,1292.0,,,1048.0,1300.0,1303.0,1300.0,,999.0,1292.0,548.0,311.0,86.0,601.0,761.0,,314.0,1288.0,1052.0
1288.0,207.0,,,,,1298.0,,,1292.0,1157.0,582.0,568.0,,1299.0,765.0,51.0,765.0,1052.0,381.0,582.0,,382.0,382.0,86.0
845.0,601.0,,,,,765.0,,,1298.0,693.0,313.0,873.0,,1313.0,1288.0,854.0,1291.0,875.0,762.0,310.0,,1288.0,383.0,1095.0
944.0,381.0,,,,,1299.0,,,1297.0,491.0,602.0,1328.0,,696.0,802.0,1282.0,764.0,251.0,761.0,313.0,,764.0,311.0,251.0
840.0,582.0,,,,,845.0,,,383.0,17.0,1313.0,56.0,,794.0,794.0,448.0,382.0,1095.0,1299.0,1297.0,,601.0,1299.0,1131.0
235.0,310.0,,,,,1306.0,,,416.0,606.0,498.0,384.0,,1314.0,731.0,814.0,1288.0,966.0,1313.0,877.0,,381.0,1292.0,876.0
1298.0,662.0,,,,,800.0,,,802.0,191.0,1048.0,944.0,,1301.0,669.0,597.0,1292.0,877.0,235.0,125.0,,1292.0,1298.0,875.0
1299.0,314.0,,,,,495.0,,,966.0,1219.0,1314.0,86.0,,1281.0,1298.0,274.0,1313.0,125.0,1048.0,1048.0,,1291.0,765.0,309.0
1297.0,602.0,,,,,383.0,,,877.0,51.0,598.0,1131.0,,1048.0,761.0,1301.0,219.0,1047.0,309.0,314.0,,762.0,110.0,
383.0,313.0,,,,,25.0,,,570.0,448.0,1260.0,875.0,,328.0,1297.0,1281.0,462.0,110.0,,966.0,,311.0,1313.0,
1306.0,761.0,,,,,871.0,,,1299.0,242.0,191.0,251.0,,814.0,314.0,328.0,1300.0,581.0,,581.0,,765.0,1306.0,
110.0,1054.0,,,,,191.0,,,110.0,495.0,854.0,876.0,,51.0,1161.0,802.0,1048.0,548.0,,495.0,,1298.0,581.0,
1292.0,1299.0,,,,,1048.0,,,1313.0,944.0,276.0,845.0,,747.0,1313.0,201.0,191.0,570.0,,570.0,,761.0,803.0,
765.0,1313.0,,,,,1313.0,,,845.0,937.0,815.0,966.0,,1328.0,1306.0,1300.0,840.0,309.0,,1306.0,,1282.0,191.0,
966.0,219.0,,,,,803.0,,,1306.0,842.0,548.0,125.0,,1188.0,110.0,1321.0,937.0,,,1299.0,,615.0,1048.0,
877.0,462.0,,,,,854.0,,,1328.0,63.0,1250.0,1095.0,,1161.0,1299.0,295.0,242.0,,,383.0,,383.0,818.0,
125.0,242.0,,,,,818.0,,,965.0,145.0,968.0,877.0,,462.0,1281.0,235.0,696.0,,,110.0,,137.0,841.0,
570.0,273.0,,,,,841.0,,,818.0,64.0,219.0,895.0,,1300.0,328.0,416.0,568.0,,,1282.0,,1306.0,85.0,
1313.0,1300.0,,,,,85.0,,,841.0,61.0,660.0,274.0,,92.0,658.0,299.0,273.0,,,1313.0,,1313.0,731.0,
