run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1287.0,453.0,948.0,359.0,1198.0,991.0,374.0,51.0,589.0,611.0,1171.0,1178.0,1083.0,287.0,1224.0,904.0,1131.0,649.0,14.0,973.0,121.0,961.0,859.0,25.0,867.0
445.0,1129.0,492.0,357.0,92.0,916.0,581.0,194.0,836.0,939.0,1140.0,548.0,727.0,511.0,1314.0,453.0,967.0,1100.0,464.0,1223.0,998.0,94.0,778.0,1149.0,589.0
458.0,1118.0,1098.0,112.0,1238.0,521.0,1097.0,748.0,557.0,411.0,299.0,189.0,713.0,49.0,1202.0,1296.0,509.0,1001.0,16.0,1324.0,1284.0,1295.0,1141.0,1300.0,1117.0
251.0,115.0,502.0,194.0,309.0,1319.0,722.0,170.0,379.0,828.0,751.0,535.0,341.0,308.0,665.0,1311.0,698.0,18.0,1027.0,60.0,1243.0,528.0,443.0,359.0,1286.0
1251.0,1153.0,962.0,1103.0,601.0,1228.0,651.0,216.0,606.0,59.0,1274.0,1245.0,783.0,110.0,452.0,427.0,58.0,819.0,371.0,722.0,1078.0,736.0,1099.0,571.0,813.0
152.0,336.0,546.0,686.0,649.0,166.0,150.0,877.0,495.0,1119.0,1046.0,761.0,541.0,83.0,199.0,211.0,1314.0,150.0,629.0,742.0,731.0,536.0,822.0,1043.0,1076.0
528.0,922.0,682.0,660.0,1173.0,1250.0,1121.0,936.0,812.0,514.0,234.0,239.0,853.0,84.0,473.0,8.0,1164.0,1299.0,129.0,18.0,506.0,607.0,516.0,422.0,1104.0
748.0,65.0,486.0,821.0,157.0,716.0,545.0,510.0,1166.0,1263.0,1050.0,1189.0,325.0,460.0,249.0,441.0,429.0,115.0,749.0,451.0,728.0,1247.0,221.0,1044.0,937.0
241.0,1221.0,776.0,669.0,102.0,425.0,794.0,275.0,818.0,259.0,278.0,654.0,1294.0,168.0,740.0,346.0,198.0,735.0,496.0,575.0,414.0,45.0,699.0,535.0,1316.0
381.0,1126.0,332.0,948.0,13.0,51.0,14.0,564.0,540.0,976.0,1008.0,123.0,98.0,285.0,1289.0,1326.0,469.0,837.0,854.0,80.0,214.0,934.0,1188.0,1297.0,607.0
1052.0,236.0,852.0,89.0,339.0,448.0,597.0,1052.0,85.0,312.0,298.0,798.0,1216.0,86.0,854.0,357.0,86.0,1297.0,1314.0,191.0,0.0,1319.0,1311.0,314.0,9.0
876.0,235.0,480.0,427.0,,794.0,1161.0,876.0,841.0,564.0,1052.0,799.0,236.0,1052.0,769.0,1236.0,1052.0,314.0,1231.0,803.0,1080.0,235.0,1309.0,763.0,568.0
1131.0,672.0,35.0,1319.0,,597.0,802.0,875.0,309.0,1048.0,86.0,673.0,74.0,251.0,1231.0,1321.0,251.0,763.0,719.0,684.0,1126.0,236.0,1325.0,1290.0,833.0
875.0,1145.0,660.0,1236.0,,1161.0,1052.0,1131.0,,568.0,876.0,275.0,1218.0,1131.0,1271.0,1032.0,876.0,1304.0,1219.0,989.0,1158.0,672.0,1293.0,1305.0,564.0
601.0,819.0,89.0,1032.0,,802.0,86.0,251.0,,9.0,875.0,793.0,5.0,875.0,191.0,354.0,875.0,1290.0,661.0,373.0,1137.0,788.0,1230.0,762.0,312.0
763.0,74.0,13.0,191.0,,814.0,1131.0,845.0,,833.0,1131.0,381.0,327.0,876.0,719.0,1320.0,298.0,1305.0,874.0,1116.0,1276.0,74.0,1308.0,1303.0,828.0
762.0,788.0,191.0,1322.0,,299.0,876.0,86.0,,1052.0,251.0,601.0,615.0,845.0,1219.0,1037.0,581.0,313.0,235.0,1052.0,504.0,34.0,1132.0,1304.0,1048.0
86.0,1101.0,146.0,429.0,,416.0,875.0,125.0,,876.0,416.0,313.0,788.0,581.0,464.0,428.0,845.0,1303.0,442.0,86.0,218.0,327.0,1307.0,765.0,274.0
1290.0,34.0,224.0,428.0,,298.0,251.0,581.0,,251.0,581.0,311.0,905.0,298.0,661.0,1036.0,416.0,602.0,910.0,251.0,987.0,206.0,191.0,311.0,1156.0
1304.0,99.0,1052.0,1321.0,,86.0,298.0,298.0,,875.0,146.0,762.0,672.0,966.0,874.0,1323.0,51.0,582.0,725.0,1131.0,909.0,685.0,1317.0,313.0,1282.0
298.0,327.0,86.0,354.0,,1052.0,416.0,966.0,,1131.0,845.0,763.0,34.0,125.0,311.0,150.0,794.0,310.0,724.0,876.0,525.0,5.0,1111.0,601.0,1301.0
1305.0,520.0,251.0,480.0,,876.0,845.0,570.0,,86.0,309.0,1304.0,748.0,877.0,761.0,356.0,597.0,762.0,145.0,875.0,783.0,922.0,1229.0,381.0,1281.0
1303.0,1048.0,1131.0,217.0,,1131.0,966.0,448.0,,845.0,,310.0,747.0,570.0,765.0,1142.0,802.0,601.0,430.0,298.0,969.0,177.0,401.0,761.0,328.0
311.0,799.0,875.0,35.0,,875.0,877.0,1095.0,,581.0,,582.0,417.0,1095.0,1299.0,1322.0,1161.0,381.0,224.0,877.0,81.0,1218.0,1228.0,382.0,1319.0
764.0,275.0,876.0,1259.0,,251.0,125.0,416.0,,298.0,,1303.0,999.0,818.0,601.0,429.0,146.0,761.0,576.0,966.0,666.0,191.0,1251.0,1299.0,1052.0
1291.0,798.0,298.0,46.0,,581.0,570.0,110.0,,416.0,,1288.0,416.0,841.0,381.0,1259.0,464.0,235.0,146.0,125.0,1273.0,963.0,1287.0,764.0,251.0
1288.0,673.0,845.0,1241.0,,110.0,110.0,373.0,,800.0,,382.0,1052.0,85.0,382.0,409.0,448.0,764.0,1095.0,570.0,379.0,409.0,392.0,1288.0,876.0
615.0,793.0,416.0,1320.0,,845.0,1095.0,818.0,,299.0,,314.0,86.0,684.0,764.0,1295.0,299.0,382.0,1052.0,1095.0,190.0,429.0,402.0,1328.0,875.0
382.0,311.0,581.0,409.0,,877.0,814.0,85.0,,309.0,,1290.0,1131.0,299.0,1288.0,1319.0,309.0,1288.0,86.0,110.0,697.0,1318.0,1326.0,602.0,1131.0
313.0,601.0,299.0,1323.0,,966.0,818.0,841.0,,,,1305.0,875.0,309.0,1298.0,1283.0,,765.0,1131.0,845.0,550.0,629.0,1142.0,310.0,845.0
765.0,381.0,309.0,972.0,,125.0,841.0,309.0,,,,1291.0,251.0,,1304.0,355.0,,311.0,875.0,581.0,293.0,203.0,403.0,582.0,86.0
761.0,761.0,,106.0,,570.0,85.0,,,,,1297.0,876.0,,763.0,1260.0,,1291.0,876.0,416.0,1256.0,1233.0,199.0,1291.0,581.0
1299.0,763.0,,21.0,,1095.0,803.0,,,,,602.0,581.0,,1305.0,693.0,,1298.0,251.0,234.0,738.0,49.0,1327.0,462.0,298.0
582.0,1304.0,,786.0,,818.0,448.0,,,,,764.0,298.0,,1303.0,1235.0,,1313.0,845.0,818.0,1210.0,1272.0,1310.0,1298.0,416.0
310.0,1303.0,,504.0,,841.0,299.0,,,,,1292.0,845.0,,1290.0,1035.0,,383.0,877.0,85.0,1054.0,1113.0,1086.0,1306.0,125.0
581.0,1305.0,,942.0,,85.0,339.0,,,,,1298.0,299.0,,313.0,1031.0,,1292.0,966.0,841.0,872.0,970.0,1231.0,1292.0,966.0
416.0,1290.0,,513.0,,309.0,309.0,,,,,1313.0,146.0,,762.0,1318.0,,1306.0,125.0,299.0,1060.0,1323.0,854.0,1313.0,877.0
1297.0,1288.0,,800.0,,,,,,,,1299.0,51.0,,582.0,970.0,,615.0,570.0,504.0,247.0,1315.0,1314.0,1282.0,818.0
314.0,382.0,,146.0,,,,,,,,383.0,448.0,,310.0,396.0,,1145.0,581.0,309.0,1094.0,150.0,719.0,328.0,1095.0
602.0,764.0,,309.0,,,,,,,,1306.0,794.0,,1291.0,273.0,,1129.0,110.0,,886.0,47.0,1219.0,1281.0,570.0
1282.0,762.0,,,,,,,,,,765.0,597.0,,1297.0,972.0,,1101.0,416.0,,1275.0,971.0,481.0,1301.0,841.0
1292.0,310.0,,,,,,,,,,1282.0,1161.0,,602.0,46.0,,1048.0,298.0,,608.0,1232.0,661.0,383.0,85.0
1313.0,582.0,,,,,,,,,,1156.0,802.0,,314.0,1233.0,,99.0,818.0,,308.0,1283.0,968.0,1156.0,110.0
1298.0,314.0,,,,,,,,,,1281.0,464.0,,1292.0,31.0,,728.0,85.0,,554.0,442.0,242.0,274.0,339.0
845.0,1297.0,,,,,,,,,,1301.0,373.0,,383.0,1272.0,,520.0,841.0,,700.0,396.0,462.0,798.0,309.0
299.0,313.0,,,,,,,,,,328.0,234.0,,1306.0,47.0,,1168.0,309.0,,501.0,48.0,1300.0,1048.0,
1306.0,602.0,,,,,,,,,,274.0,309.0,,1313.0,504.0,,462.0,,,94.0,46.0,761.0,337.0,
51.0,1291.0,,,,,,,,,,854.0,,,910.0,559.0,,1300.0,,,1015.0,1320.0,381.0,854.0,
146.0,1299.0,,,,,,,,,,1052.0,,,725.0,394.0,,815.0,,,551.0,393.0,601.0,1319.0,
802.0,383.0,,,,,,,,,,251.0,,,1301.0,48.0,,242.0,,,493.0,1312.0,313.0,799.0,
383.0,1298.0,,,,,,,,,,86.0,,,1281.0,1114.0,,1314.0,,,892.0,980.0,1305.0,1314.0,
854.0,1313.0,,,,,,,,,,1131.0,,,1156.0,971.0,,854.0,,,1117.0,31.0,763.0,1231.0,
448.0,1306.0,,,,,,,,,,875.0,,,274.0,204.0,,1231.0,,,1093.0,1259.0,602.0,275.0,
274.0,765.0,,,,,,,,,,876.0,,,1282.0,1258.0,,661.0,,,1058.0,972.0,1290.0,793.0,
1156.0,1292.0,,,,,,,,,,298.0,,,328.0,1315.0,,978.0,,,126.0,204.0,1304.0,849.0,
1281.0,960.0,,,,,,,,,,581.0,,,309.0,49.0,,1219.0,,,1240.0,1032.0,1288.0,766.0,
1301.0,1328.0,,,,,,,,,,845.0,,,,393.0,,719.0,,,460.0,354.0,1303.0,100.0,
328.0,648.0,,,,,,,,,,416.0,,,,203.0,,481.0,,,446.0,397.0,382.0,1124.0,
1048.0,1168.0,,,,,,,,,,299.0,,,,1113.0,,30.0,,,643.0,979.0,311.0,505.0,
464.0,185.0,,,,,,,,,,309.0,,,,395.0,,438.0,,,1199.0,521.0,1291.0,242.0,
724.0,849.0,,,,,,,,,,,,,,1232.0,,905.0,,,650.0,1036.0,764.0,309.0,
309.0,189.0,,,,,,,,,,,,,,392.0,,960.0,,,39.0,428.0,1297.0,,
,815.0,,,,,,,,,,,,,,1241.0,,276.0,,,977.0,1236.0,314.0,,
,1052.0,,,,,,,,,,,,,,1324.0,,874.0,,,322.0,1321.0,765.0,,
,86.0,,,,,,,,,,,,,,1234.0,,1250.0,,,1039.0,1296.0,762.0,,
,1131.0,,,,,,,,,,,,,,1312.0,,148.0,,,1202.0,357.0,310.0,,
,875.0,,,,,,,,,,,,,,1115.0,,968.0,,,703.0,1235.0,582.0,,
,876.0,,,,,,,,,,,,,,980.0,,1147.0,,,536.0,1035.0,1292.0,,
,251.0,,,,,,,,,,,,,,979.0,,995.0,,,563.0,427.0,1298.0,,
,845.0,,,,,,,,,,,,,,51.0,,189.0,,,858.0,1114.0,1299.0,,
,298.0,,,,,,,,,,,,,,397.0,,491.0,,,528.0,1322.0,1306.0,,
,416.0,,,,,,,,,,,,,,448.0,,17.0,,,59.0,1115.0,383.0,,
,581.0,,,,,,,,,,,,,,794.0,,378.0,,,1033.0,395.0,1313.0,,
,51.0,,,,,,,,,,,,,,1161.0,,878.0,,,212.0,1258.0,463.0,,
,448.0,,,,,,,,,,,,,,597.0,,1226.0,,,589.0,392.0,815.0,,
,794.0,,,,,,,,,,,,,,944.0,,96.0,,,363.0,51.0,944.0,,
,1161.0,,,,,,,,,,,,,,802.0,,928.0,,,253.0,448.0,224.0,,
,597.0,,,,,,,,,,,,,,233.0,,63.0,,,420.0,794.0,98.0,,
,802.0,,,,,,,,,,,,,,299.0,,843.0,,,315.0,597.0,1216.0,,
,373.0,,,,,,,,,,,,,,416.0,,842.0,,,583.0,1161.0,1147.0,,
,234.0,,,,,,,,,,,,,,298.0,,426.0,,,817.0,802.0,843.0,,
,146.0,,,,,,,,,,,,,,234.0,,324.0,,,827.0,944.0,842.0,,
,299.0,,,,,,,,,,,,,,1052.0,,1227.0,,,1040.0,814.0,596.0,,
,309.0,,,,,,,,,,,,,,86.0,,106.0,,,202.0,233.0,905.0,,
,,,,,,,,,,,,,,,876.0,,1107.0,,,611.0,299.0,615.0,,
,,,,,,,,,,,,,,,251.0,,61.0,,,246.0,416.0,1281.0,,
,,,,,,,,,,,,,,,182.0,,463.0,,,856.0,298.0,1301.0,,
,,,,,,,,,,,,,,,875.0,,275.0,,,1208.0,234.0,1156.0,,
,,,,,,,,,,,,,,,1131.0,,798.0,,,40.0,1052.0,1282.0,,
,,,,,,,,,,,,,,,581.0,,793.0,,,163.0,86.0,274.0,,
,,,,,,,,,,,,,,,373.0,,805.0,,,60.0,876.0,328.0,,
,,,,,,,,,,,,,,,845.0,,362.0,,,607.0,1131.0,1048.0,,
,,,,,,,,,,,,,,,189.0,,333.0,,,540.0,875.0,798.0,,
