targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.0,2.280350850198276,9.0,1.0,6.42512077294686
7.1,4.24,2.1592591322025245,9.0,1.0,6.683417085427136
7.2,4.56,2.1740285186721904,9.0,1.0,7.0
7.3,4.72,2.2542404485768595,9.0,1.0,7.6
7.4,4.72,2.2542404485768595,9.0,1.0,7.9640718562874255
7.5,5.12,2.5972292929196685,10.0,1.0,8.417721518987342
7.6,6.56,4.883277587850193,27.0,2.0,8.926174496644295
7.7,7.08,4.815973421853571,27.0,4.0,9.568345323741006
7.8,7.08,4.815973421853571,27.0,4.0,9.779411764705882
7.9,7.08,4.815973421853571,27.0,4.0,10.390625
8.0,7.68,6.961149330390783,39.0,4.0,10.8130081300813
8.1,8.2,7.127411872482188,39.0,4.0,11.666666666666666
8.2,8.2,7.127411872482188,39.0,4.0,12.429906542056075
8.3,10.12,9.39071882232665,39.0,4.0,13.168316831683168
8.4,11.12,9.92902814982413,39.0,4.0,14.0
8.5,11.16,10.038645326935303,39.0,4.0,15.113636363636363
8.6,11.2,10.15086203235962,40.0,4.0,15.647058823529411
8.7,13.92,12.755924113916638,49.0,4.0,17.733333333333334
8.8,14.4,12.84678948220138,49.0,4.0,19.0
8.9,14.6,12.721635115031402,49.0,4.0,20.151515151515152
9.0,14.8,12.592060990957753,49.0,4.0,22.93103448275862
9.1,15.12,12.580365654463307,49.0,4.0,23.75
9.2,16.04,12.153945861324218,49.0,4.0,28.29787234042553
9.3,16.76,12.332980175123932,49.0,4.0,32.4390243902439
9.4,17.56,12.126269005757706,49.0,4.0,44.333333333333336
9.5,20.36,13.57609664078744,66.0,4.0,66.5
9.6,21.4,13.96280774056565,71.0,9.0,78.23529411764706
9.7,22.76,14.063513074619728,74.0,9.0,133.0
9.8,31.72,15.0586055131277,79.0,9.0,190.0
9.9,45.0,19.227064258487307,79.0,9.0,332.5
10.0,45.0,19.227064258487307,79.0,9.0,332.5
10.1,46.24,18.653214200239056,82.0,13.0,443.3333333333333
10.2,46.24,18.653214200239056,82.0,13.0,443.3333333333333
10.3,46.24,18.653214200239056,82.0,13.0,443.3333333333333
10.4,48.44,20.68444826433618,93.0,13.0,665.0
10.5,48.44,20.68444826433618,93.0,13.0,665.0
10.522878745280336,48.44,20.68444826433618,93.0,13.0,665.0
