targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.28,0.6013318551349164,3.0,1.0,2.117424242424242
7.1,1.28,0.6013318551349164,3.0,1.0,2.198314606741573
7.2,1.28,0.6013318551349164,3.0,1.0,2.257934218118869
7.3,1.32,0.6144916598294886,3.0,1.0,2.3686440677966103
7.4,1.32,0.6144916598294886,3.0,1.0,2.4718888186986736
7.5,1.32,0.6144916598294886,3.0,1.0,2.5392602206359505
7.6,1.32,0.6144916598294886,3.0,1.0,2.6403508771929824
7.7,1.32,0.6144916598294886,3.0,1.0,2.787037037037037
7.8,1.44,0.6974238309665077,3.0,1.0,2.904974016332591
7.9,1.52,0.8541662601625047,4.0,1.0,3.0356865787432117
8.0,1.52,0.8541662601625047,4.0,1.0,3.140449438202247
8.1,1.6,1.0198039027185568,4.0,1.0,3.3530419880034277
8.2,1.64,1.0150862032359618,4.0,1.0,3.5
8.3,1.72,1.04,4.0,1.0,3.6880301602262016
8.4,1.8,1.0583005244258363,4.0,1.0,4.0215827338129495
8.5,1.8,1.0583005244258363,4.0,1.0,4.185026737967914
8.6,1.88,1.2106196760337244,5.0,1.0,4.636255924170616
8.7,1.92,1.2936769303036983,5.0,1.0,5.367626886145405
8.8,2.12,1.9661129163911213,10.0,1.0,5.797037037037037
8.9,2.12,1.9661129163911213,10.0,1.0,6.201267828843106
9.0,2.12,1.9661129163911213,10.0,1.0,6.532554257095159
9.1,2.2,2.0199009876724157,10.0,1.0,7.905050505050505
9.2,2.56,2.384617369726221,10.0,1.0,8.753914988814318
9.3,2.8,2.416609194718914,10.0,1.0,10.007672634271099
9.4,3.24,2.789695323866031,11.0,1.0,11.576923076923077
9.5,3.24,2.789695323866031,11.0,1.0,13.0
9.6,3.92,3.7833318649042673,15.0,1.0,14.992337164750959
9.7,4.76,4.207422013537506,16.0,1.0,18.370892018779344
9.8,5.72,5.287872918291438,19.0,1.0,20.594736842105263
9.9,6.28,5.392735854832869,19.0,1.0,22.75
10.0,6.6,5.5425625842204065,20.0,1.0,25.575163398692812
10.1,10.32,10.471752479886067,38.0,1.0,33.44444444444444
10.2,10.76,10.538614709723475,38.0,1.0,38.742574257425744
10.3,10.8,10.503332804400706,38.0,1.0,44.46590909090909
10.4,13.92,13.065741463843528,45.0,1.0,61.140625
10.5,16.84,18.228944017687915,80.0,1.0,69.875
10.6,19.6,21.611108254784163,80.0,1.0,83.25531914893617
10.7,37.28,42.16588194263225,146.0,1.0,134.93103448275863
10.8,40.8,42.742952635493026,146.0,1.0,144.92592592592592
10.9,45.0,52.31596314701661,228.0,1.0,177.86363636363637
11.0,46.68,54.20237633167019,228.0,1.0,205.94736842105263
11.100000000000001,49.76,54.03723160932655,236.0,1.0,355.72727272727275
11.2,53.32,53.40316095513448,238.0,1.0,434.77777777777777
11.3,53.36,53.37331168290009,238.0,1.0,489.125
11.39794001,126.92,145.83769608712282,534.0,1.0,978.25
