targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.08,0.27129319932501067,2.0,1.0,2.117424242424242
7.1,1.16,0.463033476111609,3.0,1.0,2.198314606741573
7.2,1.2,0.4898979485566357,3.0,1.0,2.257934218118869
7.3,1.2,0.4898979485566357,3.0,1.0,2.3686440677966103
7.4,1.28,0.7222188034107114,4.0,1.0,2.4718888186986736
7.5,1.28,0.7222188034107114,4.0,1.0,2.5392602206359505
7.6,1.28,0.7222188034107114,4.0,1.0,2.6403508771929824
7.7,1.28,0.7222188034107114,4.0,1.0,2.787037037037037
7.8,1.44,1.1689311356961967,6.0,1.0,2.904974016332591
7.9,1.64,1.466424222385869,6.0,1.0,3.0356865787432117
8.0,1.8,1.876166303929372,8.0,1.0,3.140449438202247
8.1,1.84,1.890608367695436,8.0,1.0,3.3530419880034277
8.2,1.84,1.890608367695436,8.0,1.0,3.5
8.3,2.64,3.4857423886454955,17.0,1.0,3.6880301602262016
8.4,3.0,3.4871191548325386,17.0,1.0,4.0215827338129495
8.5,3.0,3.4871191548325386,17.0,1.0,4.185026737967914
8.6,3.0,3.4871191548325386,17.0,1.0,4.636255924170616
8.7,3.2,3.7841775856849003,17.0,1.0,5.367626886145405
8.8,3.2,3.7841775856849003,17.0,1.0,5.797037037037037
8.9,3.32,3.823297006511526,17.0,1.0,6.201267828843106
9.0,3.4,3.794733192202055,17.0,1.0,6.532554257095159
9.1,4.8,4.436214602563767,17.0,1.0,7.905050505050505
9.2,4.8,4.436214602563767,17.0,1.0,8.753914988814318
9.3,6.2,6.829348431585549,30.0,1.0,10.007672634271099
9.4,7.56,7.909892540357296,30.0,1.0,11.576923076923077
9.5,8.6,7.730459236035075,30.0,1.0,13.0
9.6,10.64,9.107711018691798,35.0,1.0,14.992337164750959
9.7,14.44,13.449401473671607,59.0,1.0,18.370892018779344
9.8,14.88,13.665489380186862,61.0,1.0,20.594736842105263
9.9,17.28,14.118130187811701,61.0,1.0,22.75
10.0,19.52,14.201746371485445,61.0,3.0,25.575163398692812
10.1,24.48,19.624719106270028,80.0,3.0,33.44444444444444
10.2,25.56,20.282169509201918,80.0,3.0,38.742574257425744
10.3,25.56,20.282169509201918,80.0,3.0,44.46590909090909
10.4,28.84,20.3129121496648,80.0,3.0,61.140625
10.5,31.56,20.456940142650854,80.0,3.0,69.875
10.6,39.56,28.623179418087016,115.0,3.0,83.25531914893617
10.7,68.0,66.57747366790062,282.0,3.0,134.93103448275863
10.8,69.08,66.86818077381798,282.0,3.0,144.92592592592592
10.9,103.8,104.42030453891618,370.0,3.0,177.86363636363637
11.0,103.8,104.42030453891618,370.0,3.0,205.94736842105263
11.100000000000001,107.24,104.21411804549324,370.0,3.0,355.72727272727275
11.2,113.04,105.35368242259024,370.0,3.0,434.77777777777777
11.3,113.36,105.03061648871721,370.0,3.0,489.125
11.39794001,278.24,274.75185604468624,993.0,17.0,978.25
