targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.96,1.248358922746179,6.0,1.0,2.117424242424242
7.1,2.04,1.248358922746179,6.0,1.0,2.198314606741573
7.2,2.04,1.248358922746179,6.0,1.0,2.257934218118869
7.3,2.04,1.248358922746179,6.0,1.0,2.3686440677966103
7.4,2.04,1.248358922746179,6.0,1.0,2.4718888186986736
7.5,2.04,1.248358922746179,6.0,1.0,2.5392602206359505
7.6,2.04,1.248358922746179,6.0,1.0,2.6403508771929824
7.7,2.24,1.7036431551237483,8.0,1.0,2.787037037037037
7.8,2.28,1.70926884953772,8.0,1.0,2.904974016332591
7.9,2.52,1.6761861471805573,8.0,1.0,3.0356865787432117
8.0,2.64,1.6704490414256876,8.0,1.0,3.140449438202247
8.1,3.12,1.8616122045152155,8.0,1.0,3.3530419880034277
8.2,3.16,1.8693314312876679,8.0,1.0,3.5
8.3,3.16,1.8693314312876679,8.0,1.0,3.6880301602262016
8.4,3.24,1.8172506706560876,8.0,1.0,4.0215827338129495
8.5,3.52,1.8137254478007414,8.0,1.0,4.185026737967914
8.6,3.8,2.3323807579381204,11.0,1.0,4.636255924170616
8.7,4.2,2.7856776554368237,12.0,1.0,5.367626886145405
8.8,4.32,2.7816541841141933,12.0,1.0,5.797037037037037
8.9,4.32,2.7816541841141933,12.0,1.0,6.201267828843106
9.0,5.68,6.564876236457166,35.0,1.0,6.532554257095159
9.1,7.24,7.705997664157445,35.0,1.0,7.905050505050505
9.2,7.72,7.681249898291292,35.0,2.0,8.753914988814318
9.3,8.44,8.163724640138225,35.0,2.0,10.007672634271099
9.4,8.44,8.163724640138225,35.0,2.0,11.576923076923077
9.5,9.2,8.588364221433556,35.0,2.0,13.0
9.6,11.68,10.95342868694547,40.0,2.0,14.992337164750959
9.7,12.68,11.474214570069709,42.0,2.0,18.370892018779344
9.8,12.96,11.66012006799244,42.0,2.0,20.594736842105263
9.9,16.04,13.823111082531314,51.0,2.0,22.75
10.0,17.24,14.814263397145334,51.0,2.0,25.575163398692812
10.1,23.0,26.26480534860291,130.0,2.0,33.44444444444444
10.2,23.4,26.567649500849708,130.0,2.0,38.742574257425744
10.3,25.0,26.00153841602454,130.0,2.0,44.46590909090909
10.4,28.44,27.00382195171639,130.0,2.0,61.140625
10.5,30.68,28.467131924379032,130.0,2.0,69.875
10.6,48.0,39.54946270178648,147.0,4.0,83.25531914893617
10.7,103.28,85.7067185231123,259.0,4.0,134.93103448275863
10.8,105.36,85.79924475192075,261.0,4.0,144.92592592592592
10.9,144.04,110.61554321161198,374.0,9.0,177.86363636363637
11.0,144.2,110.57811718418795,374.0,9.0,205.94736842105263
11.100000000000001,148.96,114.05033274830897,407.0,14.0,355.72727272727275
11.2,151.52,112.73158208771844,407.0,14.0,434.77777777777777
11.3,151.52,112.73158208771844,407.0,14.0,489.125
11.39794001,280.0,193.3123896701916,629.0,37.0,978.25
