run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
719.0,158.0,700.0,1396.0,498.0,1376.0,1702.0,744.0,1334.0,1553.0,1109.0,786.0,1309.0,1331.0,464.0,1044.0,701.0,471.0,1218.0,407.0,1376.0,894.0,1519.0,392.0,1587.0
691.0,1646.0,270.0,421.0,690.0,1435.0,1413.0,1143.0,1668.0,1495.0,1598.0,1440.0,434.0,692.0,1483.0,232.0,1657.0,1668.0,353.0,1657.0,1486.0,970.0,91.0,1603.0,1013.0
1306.0,474.0,1165.0,1333.0,1310.0,1203.0,1035.0,824.0,1081.0,1306.0,601.0,909.0,271.0,405.0,474.0,212.0,1333.0,601.0,1328.0,1306.0,601.0,189.0,1107.0,1079.0,775.0
1063.0,347.0,347.0,722.0,1084.0,1048.0,516.0,293.0,737.0,264.0,659.0,1445.0,1353.0,49.0,1319.0,887.0,298.0,1286.0,1049.0,57.0,1228.0,240.0,441.0,118.0,789.0
1686.0,322.0,539.0,1478.0,146.0,422.0,1602.0,555.0,309.0,539.0,623.0,736.0,193.0,568.0,623.0,619.0,1684.0,1347.0,1427.0,1439.0,623.0,802.0,309.0,859.0,146.0
1606.0,1640.0,1061.0,1634.0,1634.0,1635.0,510.0,1534.0,1730.0,1583.0,595.0,1611.0,46.0,1536.0,305.0,1611.0,1608.0,479.0,1260.0,1639.0,297.0,1564.0,337.0,510.0,1671.0
88.0,964.0,522.0,1688.0,364.0,72.0,63.0,168.0,1459.0,167.0,72.0,697.0,320.0,1654.0,1515.0,1500.0,1704.0,203.0,1652.0,1146.0,505.0,597.0,95.0,69.0,67.0
674.0,614.0,1256.0,711.0,1253.0,1199.0,414.0,261.0,1381.0,1256.0,345.0,955.0,157.0,98.0,1256.0,711.0,1303.0,136.0,98.0,98.0,1113.0,398.0,1381.0,1381.0,1168.0
1403.0,872.0,1613.0,885.0,743.0,1366.0,1134.0,258.0,612.0,1520.0,1543.0,1096.0,863.0,1339.0,911.0,768.0,932.0,252.0,1615.0,148.0,768.0,747.0,652.0,84.0,1366.0
699.0,40.0,603.0,1151.0,1698.0,989.0,389.0,1535.0,987.0,1636.0,792.0,529.0,1513.0,1163.0,371.0,822.0,924.0,1451.0,370.0,603.0,792.0,990.0,791.0,833.0,1150.0
1464.0,1472.0,1706.0,1464.0,734.0,1684.0,826.0,1472.0,1465.0,1408.0,1706.0,1706.0,1460.0,1425.0,1706.0,323.0,971.0,1478.0,1655.0,1010.0,1706.0,1706.0,1464.0,1439.0,826.0
1470.0,1706.0,1010.0,1209.0,99.0,1687.0,1439.0,323.0,480.0,1622.0,1594.0,1472.0,1463.0,434.0,734.0,1010.0,539.0,312.0,1412.0,732.0,1642.0,1010.0,1616.0,732.0,732.0
1465.0,883.0,1684.0,1683.0,1706.0,1478.0,734.0,144.0,,664.0,734.0,957.0,1655.0,725.0,855.0,861.0,695.0,1683.0,1473.0,1599.0,734.0,883.0,1415.0,1600.0,323.0
1684.0,1464.0,623.0,1463.0,1464.0,1642.0,1482.0,826.0,,1409.0,1464.0,331.0,170.0,1460.0,1465.0,826.0,434.0,1464.0,1600.0,734.0,1426.0,424.0,1010.0,418.0,1482.0
539.0,64.0,424.0,67.0,732.0,1412.0,1478.0,1482.0,,1437.0,807.0,481.0,1408.0,232.0,1411.0,1482.0,725.0,313.0,566.0,826.0,424.0,623.0,1748.0,593.0,1600.0
1412.0,1678.0,1426.0,1476.0,826.0,1686.0,323.0,734.0,,1696.0,1439.0,360.0,1465.0,1622.0,322.0,229.0,691.0,1648.0,418.0,1482.0,736.0,1616.0,193.0,826.0,229.0
1687.0,1501.0,1478.0,309.0,323.0,566.0,526.0,732.0,,1410.0,732.0,1534.0,725.0,1437.0,807.0,732.0,1616.0,1439.0,826.0,323.0,1478.0,554.0,506.0,734.0,526.0
964.0,360.0,193.0,1347.0,1600.0,555.0,418.0,322.0,,193.0,975.0,323.0,312.0,664.0,99.0,1439.0,540.0,732.0,734.0,229.0,664.0,732.0,1465.0,1482.0,593.0
1706.0,1433.0,1429.0,853.0,418.0,323.0,566.0,193.0,,232.0,1481.0,826.0,1577.0,351.0,1481.0,1600.0,1524.0,826.0,323.0,1474.0,1409.0,1439.0,1718.0,193.0,418.0
