targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,9.04,6.069464556285011,28.0,1.0,10.855855855855856
7.1,9.28,5.990125207372547,28.0,1.0,12.819148936170214
7.2,9.92,6.072363625475668,28.0,1.0,16.283783783783782
7.3,10.48,6.6279408567065525,28.0,1.0,18.257575757575758
7.4,10.92,7.019515652806824,28.0,1.0,18.828125
7.5,12.64,7.10988044906523,28.0,1.0,20.775862068965516
7.6,12.92,7.243866370937553,28.0,1.0,25.638297872340427
7.7,13.28,7.01153335583594,28.0,1.0,26.195652173913043
7.8,15.36,9.142778571090957,40.0,1.0,30.897435897435898
7.9,15.88,8.733017806004979,40.0,1.0,33.47222222222222
8.0,15.88,8.733017806004979,40.0,1.0,35.44117647058823
8.1,16.04,8.567286618294032,40.0,4.0,38.87096774193548
8.2,16.8,9.19565114605812,43.0,4.0,50.208333333333336
8.3,16.8,9.19565114605812,43.0,4.0,50.208333333333336
8.4,16.8,9.19565114605812,43.0,4.0,52.391304347826086
8.5,16.88,9.188340437750444,43.0,4.0,60.25
8.6,23.04,13.892386404070397,58.0,4.0,75.3125
8.7,23.04,13.892386404070397,58.0,4.0,75.3125
8.8,30.2,23.032151440974854,96.0,4.0,120.5
8.9,30.64,23.00239987479567,96.0,4.0,150.625
9.0,30.64,23.00239987479567,96.0,4.0,150.625
9.1,101.2,49.41578695113537,207.0,11.0,301.25
9.2,120.92,62.637317950244324,220.0,11.0,401.6666666666667
9.3,124.08,59.22088820678055,220.0,29.0,602.5
9.4,124.08,59.22088820678055,220.0,29.0,602.5
9.5,124.08,59.22088820678055,220.0,29.0,602.5
9.6,124.08,59.22088820678055,220.0,29.0,602.5
9.7,124.08,59.22088820678055,220.0,29.0,602.5
9.8,124.08,59.22088820678055,220.0,29.0,602.5
9.9,124.08,59.22088820678055,220.0,29.0,602.5
10.0,124.08,59.22088820678055,220.0,29.0,602.5
10.1,124.08,59.22088820678055,220.0,29.0,602.5
10.2,124.08,59.22088820678055,220.0,29.0,602.5
10.3,124.08,59.22088820678055,220.0,29.0,602.5
10.397940008672036,124.08,59.22088820678055,220.0,29.0,602.5
