targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,5.84,5.408733678043318,27.0,1.0,4.362068965517241
7.1,6.08,5.454686058793854,27.0,1.0,4.558558558558558
7.2,6.64,5.260266152962225,27.0,1.0,5.00990099009901
7.3,6.64,5.260266152962225,27.0,1.0,5.270833333333333
7.4,6.64,5.260266152962225,27.0,1.0,5.816091954022989
7.5,7.92,5.620818445742577,27.0,1.0,6.571428571428571
7.6,9.64,8.274684284007456,34.0,1.0,7.4411764705882355
7.7,9.64,8.274684284007456,34.0,1.0,8.433333333333334
7.8,9.68,8.26423620185193,34.0,1.0,9.035714285714286
7.9,9.92,8.318269050710008,34.0,1.0,9.547169811320755
8.0,9.92,8.318269050710008,34.0,1.0,9.547169811320755
8.1,10.16,8.23009112950762,34.0,1.0,10.12
8.2,11.84,8.073066331945997,34.0,4.0,12.047619047619047
8.3,12.4,7.929691040639603,34.0,4.0,12.974358974358974
8.4,13.36,7.65704903993699,34.0,4.0,15.333333333333334
8.5,13.68,7.57215953344883,34.0,4.0,17.448275862068964
8.6,15.92,8.943914131967054,34.0,4.0,19.46153846153846
8.7,16.84,10.235936693825339,49.0,4.0,21.083333333333332
8.8,17.56,9.818676081835065,49.0,4.0,23.0
8.9,17.56,9.818676081835065,49.0,4.0,24.095238095238095
9.0,18.08,9.570454534660303,49.0,4.0,26.63157894736842
9.1,18.16,9.694039405737941,49.0,4.0,29.764705882352942
9.2,18.16,9.694039405737941,49.0,4.0,33.733333333333334
9.3,20.28,11.347316863470413,62.0,7.0,42.166666666666664
9.4,30.76,21.19297996979188,78.0,7.0,56.22222222222222
9.5,30.76,21.19297996979188,78.0,7.0,56.22222222222222
9.6,59.04,33.01936401568025,142.0,7.0,168.66666666666666
9.7,59.04,33.01936401568025,142.0,7.0,168.66666666666666
9.8,74.08,32.60664962856503,142.0,7.0,253.0
9.88941028970075,74.08,32.60664962856503,142.0,7.0,253.0
