targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,6.0,5.699122739510003,27.0,1.0,4.362068965517241
7.1,6.24,5.7360613664778715,27.0,1.0,4.558558558558558
7.2,6.8,5.535341001239219,27.0,1.0,5.00990099009901
7.3,6.8,5.535341001239219,27.0,1.0,5.270833333333333
7.4,6.8,5.535341001239219,27.0,1.0,5.816091954022989
7.5,7.88,5.609420647446579,27.0,1.0,6.571428571428571
7.6,9.48,8.01059298678943,33.0,1.0,7.4411764705882355
7.7,9.48,8.01059298678943,33.0,1.0,8.433333333333334
7.8,9.52,8.000599977501688,33.0,1.0,9.035714285714286
7.9,9.68,7.98859186590478,33.0,1.0,9.547169811320755
8.0,9.68,7.98859186590478,33.0,1.0,9.547169811320755
8.1,9.92,7.9040242914606464,33.0,1.0,10.12
8.2,11.76,8.056202579379443,33.0,4.0,12.047619047619047
8.3,12.24,7.880507597864492,33.0,4.0,12.974358974358974
8.4,13.2,7.626270385975047,33.0,4.0,15.333333333333334
8.5,13.44,7.4890853914213045,33.0,4.0,17.448275862068964
8.6,15.36,8.578484714680094,33.0,4.0,19.46153846153846
8.7,15.84,8.637962722772077,36.0,4.0,21.083333333333332
8.8,16.36,8.303637757031554,36.0,4.0,23.0
8.9,16.36,8.303637757031554,36.0,4.0,24.095238095238095
9.0,17.16,8.264042594275516,36.0,4.0,26.63157894736842
9.1,17.24,8.425105340587736,36.0,4.0,29.764705882352942
9.2,17.24,8.425105340587736,36.0,4.0,33.733333333333334
9.3,18.88,8.425295247052176,36.0,7.0,42.166666666666664
9.4,28.4,19.695684806576285,79.0,7.0,56.22222222222222
9.5,28.4,19.695684806576285,79.0,7.0,56.22222222222222
9.6,50.68,24.149070375482363,109.0,7.0,168.66666666666666
9.7,50.68,24.149070375482363,109.0,7.0,168.66666666666666
9.8,62.12,25.415459862060338,109.0,7.0,253.0
9.88941028970075,62.12,25.415459862060338,109.0,7.0,253.0
