targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.12,2.3206895526976457,8.0,1.0,3.610526315789474
7.1,5.64,3.018343916786158,11.0,1.0,4.341772151898734
7.2,5.64,3.018343916786158,11.0,1.0,5.044117647058823
7.3,6.76,3.8082016753318095,17.0,1.0,7.297872340425532
7.4,7.84,5.423504402137054,24.0,1.0,9.8
7.5,8.6,5.321653878260028,24.0,1.0,12.25
7.6,11.2,9.147677300823418,42.0,1.0,16.333333333333332
7.7,23.0,25.584370228715812,90.0,1.0,21.4375
7.8,23.0,25.584370228715812,90.0,1.0,22.866666666666667
7.9,39.76,42.29541819157247,118.0,1.0,26.384615384615383
8.0,42.64,42.16053130595012,118.0,1.0,31.181818181818183
8.1,42.68,42.12146246273982,118.0,2.0,38.111111111111114
8.2,42.68,42.12146246273982,118.0,2.0,38.111111111111114
8.3,50.96,42.121234549808726,118.0,2.0,49.0
8.4,50.96,42.121234549808726,118.0,2.0,49.0
8.5,50.96,42.121234549808726,118.0,2.0,49.0
8.6,50.96,42.121234549808726,118.0,2.0,49.0
8.7,50.96,42.121234549808726,118.0,2.0,49.0
8.8,50.96,42.121234549808726,118.0,2.0,49.0
8.9,50.96,42.121234549808726,118.0,2.0,49.0
9.0,50.96,42.121234549808726,118.0,2.0,49.0
9.1,50.96,42.121234549808726,118.0,2.0,49.0
9.2,50.96,42.121234549808726,118.0,2.0,49.0
9.3,50.96,42.121234549808726,118.0,2.0,49.0
9.4,50.96,42.121234549808726,118.0,2.0,49.0
9.5,50.96,42.121234549808726,118.0,2.0,57.166666666666664
9.6,50.96,42.121234549808726,118.0,2.0,68.6
9.7,53.2,39.97899448460404,118.0,9.0,85.75
9.8,53.2,39.97899448460404,118.0,9.0,85.75
9.9,55.4,38.98717737923585,118.0,11.0,114.33333333333333
10.0,55.4,38.98717737923585,118.0,11.0,114.33333333333333
10.070581074285707,55.4,38.98717737923585,118.0,11.0,171.5
