run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
125.0,97.0,109.0,62.0,131.0,237.0,31.0,138.0,195.0,155.0,30.0,66.0,220.0,254.0,34.0,215.0,111.0,40.0,112.0,109.0,40.0,217.0,16.0,271.0,94.0
290.0,340.0,340.0,256.0,336.0,324.0,256.0,263.0,263.0,340.0,263.0,132.0,324.0,132.0,324.0,290.0,290.0,324.0,256.0,256.0,263.0,340.0,132.0,324.0,256.0
0.0,33.0,189.0,28.0,24.0,99.0,173.0,231.0,24.0,189.0,98.0,247.0,15.0,35.0,27.0,83.0,9.0,189.0,24.0,35.0,51.0,21.0,173.0,33.0,0.0
41.0,113.0,113.0,3.0,7.0,77.0,110.0,207.0,248.0,7.0,3.0,180.0,41.0,178.0,241.0,47.0,274.0,241.0,180.0,10.0,207.0,178.0,76.0,207.0,219.0
101.0,121.0,179.0,245.0,321.0,130.0,339.0,101.0,130.0,246.0,289.0,162.0,101.0,319.0,319.0,71.0,120.0,339.0,81.0,246.0,129.0,314.0,297.0,321.0,169.0
209.0,261.0,221.0,338.0,210.0,114.0,261.0,338.0,338.0,210.0,262.0,222.0,222.0,89.0,214.0,209.0,114.0,114.0,210.0,89.0,89.0,89.0,114.0,223.0,317.0
80.0,2.0,75.0,92.0,150.0,74.0,92.0,227.0,75.0,235.0,147.0,22.0,146.0,175.0,283.0,102.0,80.0,74.0,233.0,59.0,2.0,147.0,150.0,104.0,22.0
212.0,143.0,117.0,304.0,119.0,265.0,143.0,300.0,309.0,313.0,118.0,117.0,243.0,259.0,126.0,242.0,286.0,232.0,293.0,287.0,337.0,126.0,135.0,265.0,295.0
275.0,18.0,38.0,90.0,68.0,174.0,18.0,167.0,140.0,275.0,90.0,194.0,184.0,106.0,174.0,171.0,174.0,106.0,184.0,91.0,73.0,73.0,140.0,68.0,171.0
312.0,333.0,252.0,331.0,333.0,204.0,252.0,333.0,331.0,252.0,204.0,341.0,329.0,325.0,341.0,252.0,341.0,333.0,331.0,332.0,331.0,332.0,341.0,325.0,329.0
221.0,306.0,71.0,255.0,127.0,243.0,72.0,313.0,67.0,71.0,315.0,160.0,265.0,288.0,289.0,72.0,335.0,318.0,255.0,255.0,292.0,341.0,277.0,119.0,71.0
298.0,300.0,72.0,,276.0,119.0,255.0,304.0,295.0,72.0,160.0,289.0,119.0,341.0,162.0,132.0,210.0,265.0,,,130.0,219.0,101.0,243.0,255.0
328.0,214.0,130.0,,243.0,276.0,,281.0,265.0,256.0,162.0,181.0,276.0,284.0,279.0,256.0,263.0,243.0,,,165.0,169.0,134.0,276.0,
148.0,127.0,132.0,,300.0,127.0,,282.0,243.0,255.0,279.0,246.0,127.0,320.0,288.0,173.0,329.0,293.0,,,320.0,129.0,246.0,294.0,
268.0,312.0,256.0,,265.0,67.0,,305.0,119.0,,319.0,332.0,295.0,331.0,284.0,255.0,245.0,119.0,,,121.0,277.0,81.0,67.0,
169.0,294.0,255.0,,67.0,295.0,,133.0,276.0,,256.0,161.0,67.0,289.0,332.0,,102.0,276.0,,,291.0,163.0,282.0,127.0,
322.0,284.0,,,232.0,308.0,,134.0,232.0,,255.0,142.0,244.0,130.0,121.0,,336.0,127.0,,,71.0,162.0,133.0,295.0,
323.0,310.0,,,295.0,244.0,,135.0,293.0,,,277.0,341.0,162.0,310.0,,318.0,67.0,,,72.0,142.0,163.0,232.0,
129.0,266.0,,,293.0,294.0,,280.0,127.0,,,163.0,332.0,279.0,268.0,,246.0,295.0,,,255.0,181.0,329.0,160.0,
142.0,243.0,,,309.0,306.0,,136.0,320.0,,,101.0,232.0,332.0,320.0,,164.0,308.0,,,,284.0,331.0,289.0,
277.0,321.0,,,294.0,143.0,,303.0,292.0,,,182.0,293.0,8.0,291.0,,159.0,244.0,,,,311.0,313.0,288.0,
314.0,119.0,,,179.0,186.0,,299.0,291.0,,,322.0,308.0,291.0,161.0,,160.0,294.0,,,,312.0,204.0,279.0,
81.0,276.0,,,130.0,258.0,,340.0,165.0,,,120.0,242.0,336.0,163.0,,279.0,143.0,,,,315.0,339.0,319.0,
163.0,319.0,,,318.0,259.0,,296.0,288.0,,,32.0,219.0,159.0,160.0,,319.0,306.0,,,,310.0,332.0,159.0,
161.0,279.0,,,245.0,242.0,,302.0,279.0,,,291.0,179.0,121.0,159.0,,256.0,300.0,,,,298.0,162.0,312.0,
289.0,159.0,,,143.0,326.0,,301.0,319.0,,,81.0,316.0,310.0,181.0,,255.0,186.0,,,,204.0,245.0,121.0,
162.0,288.0,,,211.0,211.0,,307.0,159.0,,,331.0,204.0,142.0,292.0,,,258.0,,,,165.0,280.0,256.0,
288.0,289.0,,,8.0,300.0,,65.0,310.0,,,290.0,294.0,169.0,315.0,,,259.0,,,,321.0,303.0,255.0,
319.0,291.0,,,212.0,212.0,,119.0,289.0,,,284.0,315.0,277.0,142.0,,,326.0,,,,122.0,312.0,,
121.0,295.0,,,121.0,8.0,,276.0,121.0,,,310.0,163.0,298.0,316.0,,,211.0,,,,81.0,299.0,,
279.0,265.0,,,279.0,232.0,,127.0,160.0,,,319.0,320.0,139.0,322.0,,,212.0,,,,289.0,190.0,,
214.0,67.0,,,319.0,126.0,,243.0,161.0,,,279.0,288.0,160.0,277.0,,,126.0,,,,313.0,304.0,,
159.0,308.0,,,159.0,338.0,,265.0,162.0,,,288.0,319.0,181.0,165.0,,,242.0,,,,319.0,281.0,,
284.0,160.0,,,308.0,282.0,,295.0,284.0,,,121.0,284.0,322.0,329.0,,,8.0,,,,279.0,136.0,,
310.0,161.0,,,244.0,304.0,,67.0,181.0,,,159.0,279.0,161.0,297.0,,,338.0,,,,161.0,305.0,,
179.0,162.0,,,306.0,313.0,,308.0,316.0,,,321.0,289.0,163.0,101.0,,,245.0,,,,288.0,13.0,,
181.0,179.0,,,186.0,305.0,,244.0,164.0,,,328.0,121.0,311.0,339.0,,,65.0,,,,159.0,298.0,,
160.0,130.0,,,288.0,281.0,,294.0,321.0,,,268.0,160.0,297.0,311.0,,,313.0,,,,160.0,337.0,,
315.0,163.0,,,284.0,134.0,,306.0,277.0,,,190.0,161.0,316.0,122.0,,,118.0,,,,322.0,296.0,,
165.0,244.0,,,134.0,133.0,,143.0,297.0,,,311.0,162.0,190.0,164.0,,,219.0,,,,121.0,302.0,,
321.0,142.0,,,282.0,280.0,,186.0,328.0,,,122.0,310.0,323.0,314.0,,,282.0,,,,190.0,307.0,,
291.0,277.0,,,133.0,135.0,,258.0,245.0,,,164.0,291.0,122.0,81.0,,,133.0,,,,291.0,300.0,,
