targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.52,2.0023985617254123,9.0,1.0,2.422222222222222
7.1,2.52,2.0023985617254123,9.0,1.0,2.5
7.2,2.52,2.0023985617254123,9.0,1.0,2.5546875
7.3,2.52,2.0023985617254123,9.0,1.0,2.6286173633440515
7.4,2.52,2.0023985617254123,9.0,1.0,2.715946843853821
7.5,2.52,2.0023985617254123,9.0,1.0,2.7948717948717947
7.6,2.52,2.0023985617254123,9.0,1.0,2.873462214411248
7.7,2.64,1.9975985582694034,9.0,1.0,2.9673321234119783
7.8,2.88,2.1414014102918677,9.0,1.0,3.1202290076335877
7.9,2.88,2.1414014102918677,9.0,1.0,3.283132530120482
8.0,3.0,2.4331050121192876,10.0,1.0,3.456659619450317
8.1,3.52,3.1764130713746916,14.0,1.0,3.856132075471698
8.2,3.64,3.462715697252664,14.0,1.0,4.170918367346939
8.3,4.04,4.529724053405461,19.0,1.0,4.5041322314049586
8.4,4.04,4.529724053405461,19.0,1.0,5.061919504643963
8.5,4.48,4.742320107289258,19.0,1.0,5.360655737704918
8.6,5.36,5.380557591922978,22.0,1.0,5.989010989010989
8.7,5.8,5.979966555090421,26.0,1.0,7.569444444444445
8.8,6.08,6.150902372823032,26.0,1.0,8.696808510638299
8.9,7.08,7.053623182450279,26.0,1.0,10.414012738853502
9.0,9.0,8.119113252073776,32.0,1.0,11.678571428571429
9.1,15.88,14.143040691449627,50.0,1.0,16.515151515151516
9.2,20.92,23.86951193468354,94.0,1.0,21.513157894736842
9.3,27.92,23.72495732346004,94.0,2.0,29.727272727272727
9.4,34.68,26.47975830705409,94.0,2.0,38.02325581395349
9.5,57.64,60.54808337181285,200.0,2.0,41.92307692307692
9.6,73.88,67.50900384393181,226.0,2.0,51.09375
9.7,136.08,119.83853136616786,417.0,5.0,77.85714285714286
9.8,136.96,119.49710624111364,417.0,5.0,109.0
9.9,142.6,116.24388155941799,417.0,14.0,272.5
10.0,143.96,115.11054860437423,417.0,15.0,327.0
10.096910013008056,162.8,132.21406884291852,486.0,24.0,817.5
