targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.52,2.0023985617254123,9.0,1.0,2.422222222222222
7.1,2.52,2.0023985617254123,9.0,1.0,2.5
7.2,2.52,2.0023985617254123,9.0,1.0,2.5546875
7.3,2.52,2.0023985617254123,9.0,1.0,2.6286173633440515
7.4,2.52,2.0023985617254123,9.0,1.0,2.715946843853821
7.5,2.52,2.0023985617254123,9.0,1.0,2.7948717948717947
7.6,2.52,2.0023985617254123,9.0,1.0,2.873462214411248
7.7,2.64,1.9975985582694034,9.0,1.0,2.9673321234119783
7.8,2.88,2.1414014102918677,9.0,1.0,3.1202290076335877
7.9,2.88,2.1414014102918677,9.0,1.0,3.283132530120482
8.0,3.0,2.4331050121192876,10.0,1.0,3.456659619450317
8.1,3.64,3.598666419661595,17.0,1.0,3.856132075471698
8.2,3.72,3.7578717380985736,17.0,1.0,4.170918367346939
8.3,3.76,3.744649516309904,17.0,1.0,4.5041322314049586
8.4,3.88,4.042969205917849,17.0,1.0,5.061919504643963
8.5,4.28,4.2286640916488025,17.0,1.0,5.360655737704918
8.6,5.76,6.457739542595382,29.0,1.0,5.989010989010989
8.7,6.0,6.4124878167525585,29.0,1.0,7.569444444444445
8.8,6.2,6.393746945258313,29.0,1.0,8.696808510638299
8.9,7.44,7.637172251560129,29.0,1.0,10.414012738853502
9.0,8.8,7.525955088890711,29.0,1.0,11.678571428571429
9.1,14.96,12.028233453005477,50.0,1.0,16.515151515151516
9.2,18.0,17.579533554676587,79.0,1.0,21.513157894736842
9.3,22.52,17.30230042508799,79.0,2.0,29.727272727272727
9.4,27.48,19.328983418690182,79.0,2.0,38.02325581395349
9.5,33.32,24.926644379057525,79.0,2.0,41.92307692307692
9.6,43.64,40.5648912238157,205.0,2.0,51.09375
9.7,75.96,69.83722789458356,297.0,5.0,77.85714285714286
9.8,76.4,69.64366446418511,297.0,5.0,109.0
9.9,82.52,67.86523115705126,297.0,16.0,272.5
10.0,84.52,67.25778467954473,297.0,22.0,327.0
10.096910013008056,102.68,78.34779894802406,320.0,22.0,817.5
