targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.36,0.7418894796396561,4.0,1.0,1.3621134020618557
7.1,1.44,0.8979977728257459,4.0,1.0,1.4283783783783783
7.2,1.6,1.0198039027185568,4.0,1.0,1.4929378531073447
7.3,1.68,1.0476640682967033,4.0,1.0,1.5799701046337817
7.4,1.72,1.04,4.0,1.0,1.7103559870550162
7.5,1.88,1.2106196760337244,5.0,1.0,1.7915254237288136
7.6,2.0,1.3564659966250536,5.0,1.0,1.8774422735346359
7.7,2.28,1.6857046004564382,7.0,1.0,2.013333333333333
7.8,2.36,1.6463292501805342,7.0,1.0,2.1224899598393576
7.9,2.36,1.6463292501805342,7.0,1.0,2.239406779661017
8.0,2.56,2.021484602958924,8.0,1.0,2.354120267260579
8.1,3.2,2.6832815729997477,11.0,1.0,2.703324808184143
8.2,3.2,2.6832815729997477,11.0,1.0,2.887978142076503
8.3,3.64,3.0183439167861574,11.0,1.0,3.2423312883435584
8.4,4.44,4.499599982220642,21.0,1.0,4.12890625
8.5,4.44,4.499599982220642,21.0,1.0,4.262096774193548
8.6,5.64,5.21444148495311,21.0,1.0,5.106280193236715
8.7,6.8,5.169139193328034,21.0,1.0,6.647798742138365
8.8,7.56,5.671542999925152,21.0,1.0,8.2578125
8.9,8.84,5.689850613153213,21.0,1.0,11.615384615384615
9.0,11.56,7.430100941440835,35.0,2.0,17.048387096774192
9.1,18.44,12.579602537441318,58.0,2.0,36.44827586206897
9.2,26.44,23.498221209274543,132.0,3.0,70.46666666666667
9.3,39.88,24.433288767581,132.0,3.0,132.125
9.4,114.4,38.85871845545089,167.0,3.0,264.25
9.5,139.96,23.48528049651526,188.0,50.0,352.3333333333333
9.6,143.36,28.20053900194108,220.0,50.0,528.5
9.7,143.36,28.20053900194108,220.0,50.0,528.5
9.8,143.36,28.20053900194108,220.0,50.0,528.5
9.9,143.36,28.20053900194108,220.0,50.0,528.5
10.0,143.36,28.20053900194108,220.0,50.0,528.5
10.0,143.36,28.20053900194108,220.0,50.0,528.5
