targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,23.12,31.210664843927947,127.0,1.0,12.666666666666666
7.1,23.12,31.210664843927947,127.0,1.0,13.028571428571428
7.2,24.28,31.54110968244459,127.0,1.0,13.611940298507463
7.3,25.56,32.26896961478628,132.0,1.0,14.25
7.4,25.56,32.26896961478628,132.0,1.0,14.25
7.5,25.76,32.33237386892586,132.0,1.0,14.476190476190476
7.6,25.76,32.33237386892586,132.0,1.0,14.476190476190476
7.7,26.16,32.40948009456493,134.0,1.0,15.2
7.8,26.16,32.40948009456493,134.0,1.0,15.457627118644067
7.9,26.16,32.40948009456493,134.0,1.0,15.457627118644067
8.0,26.16,32.40948009456493,134.0,1.0,16.0
8.1,28.04,34.25723865112307,134.0,1.0,16.88888888888889
8.2,28.04,34.25723865112307,134.0,1.0,16.88888888888889
8.3,28.04,34.25723865112307,134.0,1.0,17.20754716981132
8.4,29.2,36.48013157871007,148.0,1.0,18.612244897959183
8.5,29.2,36.48013157871007,148.0,1.0,19.82608695652174
8.6,29.32,36.421663882914515,148.0,1.0,21.209302325581394
8.7,29.8,36.13640823324864,148.0,1.0,22.8
8.8,30.32,36.40079120019234,149.0,1.0,26.057142857142857
8.9,30.32,36.40079120019234,149.0,1.0,26.823529411764707
9.0,30.48,36.31762106746531,149.0,1.0,31.448275862068964
9.1,30.48,36.31762106746531,149.0,1.0,33.77777777777778
9.2,30.52,36.29889254509013,149.0,1.0,39.65217391304348
9.3,31.16,35.97741513783335,149.0,1.0,53.64705882352941
9.4,31.76,35.60593209003241,149.0,1.0,60.8
9.5,31.76,35.60593209003241,149.0,1.0,70.15384615384616
9.6,32.16,35.47244564447171,149.0,1.0,101.33333333333333
9.7,46.24,32.868562487580746,156.0,19.0,456.0
9.8,46.24,32.868562487580746,156.0,19.0,456.0
9.82390874094432,46.24,32.868562487580746,156.0,19.0,456.0
