run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
251.0,191.0,205.0,732.0,290.0,28.0,629.0,582.0,12.0,852.0,529.0,123.0,298.0,476.0,242.0,639.0,544.0,846.0,568.0,38.0,729.0,199.0,547.0,494.0,206.0
727.0,882.0,463.0,589.0,239.0,521.0,153.0,403.0,744.0,132.0,92.0,243.0,369.0,418.0,829.0,766.0,652.0,470.0,177.0,385.0,799.0,44.0,412.0,157.0,393.0
293.0,111.0,15.0,449.0,817.0,409.0,368.0,261.0,281.0,686.0,593.0,834.0,502.0,320.0,697.0,296.0,888.0,274.0,80.0,734.0,385.0,103.0,694.0,147.0,301.0
615.0,262.0,818.0,157.0,76.0,789.0,605.0,365.0,794.0,496.0,782.0,258.0,142.0,63.0,651.0,559.0,510.0,741.0,54.0,360.0,120.0,846.0,428.0,421.0,609.0
144.0,669.0,209.0,745.0,92.0,524.0,498.0,684.0,723.0,694.0,396.0,482.0,675.0,485.0,75.0,94.0,312.0,48.0,628.0,523.0,783.0,728.0,361.0,167.0,131.0
267.0,830.0,101.0,48.0,904.0,424.0,827.0,586.0,724.0,753.0,177.0,409.0,835.0,902.0,112.0,582.0,427.0,236.0,423.0,260.0,554.0,626.0,626.0,546.0,749.0
55.0,522.0,841.0,51.0,732.0,312.0,595.0,814.0,579.0,164.0,415.0,121.0,23.0,682.0,799.0,489.0,597.0,720.0,162.0,588.0,106.0,146.0,436.0,201.0,3.0
604.0,228.0,20.0,676.0,592.0,892.0,240.0,530.0,838.0,667.0,193.0,436.0,881.0,371.0,513.0,348.0,319.0,665.0,194.0,879.0,525.0,128.0,837.0,458.0,115.0
97.0,883.0,440.0,99.0,570.0,121.0,561.0,505.0,515.0,10.0,781.0,95.0,799.0,237.0,659.0,145.0,776.0,874.0,608.0,553.0,597.0,260.0,134.0,412.0,485.0
14.0,207.0,387.0,477.0,155.0,338.0,398.0,543.0,91.0,666.0,714.0,398.0,792.0,206.0,53.0,67.0,905.0,719.0,359.0,633.0,308.0,505.0,115.0,378.0,597.0
666.0,284.0,221.0,7.0,551.0,0.0,56.0,16.0,0.0,357.0,0.0,0.0,476.0,298.0,210.0,0.0,0.0,806.0,768.0,298.0,7.0,8.0,139.0,54.0,0.0
357.0,808.0,7.0,220.0,553.0,1.0,221.0,491.0,1.0,802.0,1.0,1.0,76.0,551.0,244.0,1.0,1.0,758.0,438.0,476.0,220.0,635.0,360.0,768.0,1.0
802.0,285.0,240.0,644.0,298.0,2.0,471.0,490.0,2.0,55.0,2.0,2.0,551.0,76.0,575.0,2.0,2.0,7.0,546.0,551.0,342.0,553.0,54.0,438.0,2.0
762.0,260.0,56.0,642.0,476.0,3.0,644.0,463.0,3.0,295.0,3.0,3.0,553.0,553.0,189.0,3.0,3.0,456.0,360.0,76.0,644.0,298.0,768.0,688.0,4.0
774.0,901.0,471.0,607.0,624.0,4.0,220.0,852.0,4.0,6.0,4.0,4.0,635.0,635.0,245.0,4.0,4.0,230.0,688.0,624.0,456.0,476.0,546.0,578.0,5.0
295.0,11.0,477.0,45.0,253.0,5.0,477.0,906.0,5.0,774.0,5.0,5.0,472.0,472.0,405.0,5.0,5.0,644.0,578.0,253.0,221.0,551.0,438.0,56.0,746.0
6.0,61.0,456.0,758.0,472.0,460.0,832.0,184.0,463.0,472.0,26.0,460.0,624.0,624.0,437.0,443.0,16.0,221.0,56.0,472.0,230.0,404.0,688.0,240.0,284.0
472.0,749.0,230.0,757.0,635.0,235.0,456.0,706.0,889.0,624.0,392.0,106.0,253.0,253.0,294.0,649.0,889.0,220.0,240.0,635.0,200.0,76.0,578.0,221.0,191.0
635.0,619.0,220.0,400.0,103.0,422.0,230.0,839.0,649.0,635.0,106.0,746.0,103.0,8.0,470.0,602.0,503.0,642.0,221.0,103.0,758.0,567.0,56.0,471.0,808.0
553.0,578.0,200.0,,401.0,106.0,200.0,890.0,906.0,298.0,39.0,852.0,401.0,103.0,7.0,594.0,595.0,757.0,471.0,55.0,757.0,472.0,240.0,456.0,285.0
624.0,688.0,757.0,,554.0,727.0,757.0,124.0,20.0,476.0,284.0,889.0,404.0,401.0,200.0,106.0,193.0,200.0,456.0,401.0,400.0,624.0,221.0,220.0,130.0
298.0,54.0,400.0,,404.0,906.0,400.0,690.0,490.0,553.0,191.0,463.0,774.0,404.0,757.0,10.0,649.0,400.0,7.0,404.0,,253.0,471.0,7.0,79.0
476.0,438.0,,,478.0,852.0,,744.0,746.0,551.0,808.0,424.0,554.0,55.0,758.0,189.0,771.0,,220.0,554.0,,401.0,477.0,644.0,901.0
253.0,360.0,,,456.0,114.0,,301.0,690.0,103.0,285.0,447.0,570.0,552.0,220.0,11.0,499.0,,101.0,570.0,,552.0,456.0,230.0,619.0
551.0,546.0,,,230.0,743.0,,50.0,665.0,76.0,749.0,284.0,806.0,554.0,400.0,807.0,137.0,,477.0,56.0,,554.0,644.0,477.0,57.0
103.0,56.0,,,642.0,602.0,,35.0,80.0,404.0,211.0,191.0,221.0,570.0,,394.0,743.0,,200.0,240.0,,570.0,220.0,758.0,102.0
404.0,240.0,,,607.0,771.0,,430.0,655.0,253.0,130.0,808.0,471.0,832.0,,416.0,118.0,,400.0,221.0,,456.0,200.0,642.0,623.0
76.0,221.0,,,45.0,125.0,,408.0,694.0,401.0,79.0,285.0,56.0,471.0,,245.0,308.0,,,471.0,,230.0,757.0,607.0,478.0
401.0,471.0,,,220.0,374.0,,107.0,520.0,8.0,901.0,11.0,240.0,240.0,,405.0,490.0,,,7.0,,471.0,400.0,757.0,578.0
342.0,644.0,,,400.0,286.0,,517.0,248.0,552.0,11.0,901.0,552.0,56.0,,575.0,866.0,,,200.0,,221.0,,45.0,688.0
8.0,220.0,,,,706.0,,667.0,301.0,570.0,807.0,807.0,456.0,221.0,,294.0,718.0,,,757.0,,240.0,,832.0,546.0
570.0,456.0,,,,839.0,,493.0,799.0,554.0,394.0,260.0,230.0,757.0,,437.0,797.0,,,758.0,,56.0,,470.0,56.0
554.0,230.0,,,,124.0,,72.0,548.0,832.0,416.0,130.0,642.0,400.0,,244.0,146.0,,,806.0,,220.0,,400.0,240.0
456.0,101.0,,,,166.0,,843.0,704.0,220.0,619.0,79.0,832.0,,,783.0,374.0,,,456.0,,758.0,,,833.0
230.0,477.0,,,,27.0,,665.0,597.0,471.0,578.0,416.0,200.0,,,53.0,93.0,,,230.0,,642.0,,,400.0
832.0,757.0,,,,184.0,,882.0,828.0,56.0,688.0,394.0,400.0,,,47.0,655.0,,,477.0,,607.0,,,
221.0,200.0,,,,649.0,,255.0,350.0,240.0,54.0,683.0,,,,200.0,422.0,,,400.0,,757.0,,,
642.0,7.0,,,,193.0,,348.0,293.0,221.0,546.0,830.0,,,,220.0,117.0,,,,,806.0,,,
607.0,400.0,,,,137.0,,495.0,106.0,757.0,139.0,769.0,,,,758.0,463.0,,,,,400.0,,,
757.0,,,,,889.0,,746.0,727.0,45.0,56.0,42.0,,,,757.0,106.0,,,,,,,,
45.0,,,,,690.0,,443.0,504.0,806.0,240.0,864.0,,,,607.0,495.0,,,,,,,,
200.0,,,,,420.0,,655.0,286.0,456.0,221.0,619.0,,,,45.0,746.0,,,,,,,,
833.0,,,,,64.0,,820.0,743.0,230.0,471.0,578.0,,,,806.0,286.0,,,,,,,,
400.0,,,,,26.0,,439.0,495.0,758.0,570.0,688.0,,,,642.0,594.0,,,,,,,,
,,,,,285.0,,314.0,348.0,607.0,642.0,546.0,,,,7.0,348.0,,,,,,,,
,,,,,284.0,,704.0,144.0,642.0,644.0,56.0,,,,221.0,789.0,,,,,,,,
,,,,,808.0,,548.0,258.0,400.0,220.0,240.0,,,,644.0,457.0,,,,,,,,
,,,,,191.0,,20.0,892.0,,200.0,221.0,,,,400.0,727.0,,,,,,,,
,,,,,11.0,,80.0,306.0,,7.0,471.0,,,,,233.0,,,,,,,,
,,,,,807.0,,789.0,16.0,,757.0,570.0,,,,,26.0,,,,,,,,
,,,,,394.0,,144.0,374.0,,400.0,644.0,,,,,602.0,,,,,,,,
,,,,,416.0,,464.0,891.0,,,200.0,,,,,460.0,,,,,,,,
,,,,,42.0,,892.0,443.0,,,757.0,,,,,371.0,,,,,,,,
,,,,,683.0,,171.0,184.0,,,400.0,,,,,236.0,,,,,,,,
,,,,,749.0,,40.0,421.0,,,,,,,,224.0,,,,,,,,
,,,,,827.0,,166.0,887.0,,,,,,,,679.0,,,,,,,,
,,,,,130.0,,258.0,166.0,,,,,,,,799.0,,,,,,,,
,,,,,619.0,,727.0,706.0,,,,,,,,20.0,,,,,,,,
,,,,,578.0,,27.0,839.0,,,,,,,,438.0,,,,,,,,
,,,,,57.0,,4.0,890.0,,,,,,,,546.0,,,,,,,,
,,,,,478.0,,286.0,124.0,,,,,,,,54.0,,,,,,,,
,,,,,567.0,,743.0,27.0,,,,,,,,768.0,,,,,,,,
,,,,,102.0,,114.0,586.0,,,,,,,,528.0,,,,,,,,
,,,,,688.0,,799.0,430.0,,,,,,,,139.0,,,,,,,,
,,,,,546.0,,650.0,491.0,,,,,,,,759.0,,,,,,,,
,,,,,56.0,,238.0,408.0,,,,,,,,688.0,,,,,,,,
,,,,,240.0,,742.0,843.0,,,,,,,,361.0,,,,,,,,
