targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,156.16,237.0658440180702,572.0,1.0,12.666666666666666
7.1,156.24,237.20139628594092,572.0,1.0,13.028571428571428
7.2,157.04,236.70512964445868,572.0,1.0,13.611940298507463
7.3,158.08,236.06557055191254,572.0,1.0,14.25
7.4,158.08,236.06557055191254,572.0,1.0,14.25
7.5,158.08,236.06557055191254,572.0,1.0,14.476190476190476
7.6,158.08,236.06557055191254,572.0,1.0,14.476190476190476
7.7,158.48,235.81079194981723,572.0,1.0,15.2
7.8,158.48,235.81079194981723,572.0,1.0,15.457627118644067
7.9,158.48,235.81079194981723,572.0,1.0,15.457627118644067
8.0,158.48,235.81079194981723,572.0,1.0,16.0
8.1,158.8,235.61765638423617,572.0,1.0,16.88888888888889
8.2,158.8,235.61765638423617,572.0,1.0,16.88888888888889
8.3,158.8,235.61765638423617,572.0,1.0,17.20754716981132
8.4,168.12,251.07278944561077,636.0,1.0,18.612244897959183
8.5,168.12,251.07278944561077,636.0,1.0,19.82608695652174
8.6,168.32,250.94871507939627,636.0,1.0,21.209302325581394
8.7,168.72,250.76786396984755,636.0,1.0,22.8
8.8,169.04,250.56950812100024,636.0,1.0,26.057142857142857
8.9,169.04,250.56950812100024,636.0,1.0,26.823529411764707
9.0,169.64,250.96882356181217,637.0,1.0,31.448275862068964
9.1,169.68,250.9496714482806,637.0,1.0,33.77777777777778
9.2,169.8,250.87638390251084,637.0,1.0,39.65217391304348
9.3,170.16,250.64583459535092,637.0,1.0,53.64705882352941
9.4,170.56,250.3833988107039,637.0,1.0,60.8
9.5,170.56,250.3833988107039,637.0,1.0,70.15384615384616
9.6,171.76,251.2925434627936,638.0,1.0,101.33333333333333
9.7,177.76,248.45446745832524,638.0,11.0,456.0
9.8,177.76,248.45446745832524,638.0,11.0,456.0
9.82390874094432,177.76,248.45446745832524,638.0,11.0,456.0
