run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
377.0,345.0,355.0,201.0,382.0,902.0,114.0,390.0,606.0,837.0,110.0,202.0,686.0,777.0,801.0,674.0,356.0,162.0,368.0,846.0,902.0,677.0,41.0,779.0,303.0
228.0,698.0,91.0,648.0,640.0,601.0,544.0,149.0,417.0,633.0,631.0,378.0,746.0,880.0,83.0,698.0,622.0,679.0,111.0,566.0,91.0,271.0,225.0,206.0,648.0
548.0,243.0,398.0,572.0,243.0,402.0,398.0,549.0,434.0,548.0,188.0,632.0,239.0,292.0,549.0,209.0,209.0,549.0,572.0,548.0,780.0,188.0,47.0,251.0,47.0
58.0,907.0,159.0,159.0,389.0,173.0,257.0,105.0,524.0,826.0,257.0,280.0,895.0,278.0,158.0,847.0,63.0,884.0,115.0,449.0,395.0,676.0,464.0,826.0,389.0
323.0,742.0,87.0,1.0,221.0,49.0,586.0,828.0,723.0,260.0,299.0,69.0,714.0,523.0,573.0,706.0,669.0,87.0,322.0,81.0,742.0,615.0,573.0,130.0,793.0
71.0,436.0,436.0,662.0,311.0,79.0,514.0,253.0,817.0,664.0,545.0,440.0,71.0,652.0,331.0,253.0,79.0,79.0,300.0,652.0,652.0,743.0,664.0,460.0,545.0
106.0,40.0,90.0,187.0,797.0,841.0,841.0,760.0,98.0,870.0,371.0,443.0,887.0,298.0,371.0,687.0,412.0,518.0,284.0,412.0,246.0,470.0,98.0,518.0,4.0
565.0,525.0,10.0,354.0,765.0,759.0,685.0,475.0,565.0,616.0,685.0,102.0,358.0,358.0,354.0,771.0,55.0,575.0,10.0,10.0,102.0,765.0,55.0,756.0,55.0
122.0,833.0,770.0,496.0,480.0,507.0,15.0,129.0,484.0,775.0,690.0,388.0,769.0,804.0,875.0,92.0,232.0,758.0,643.0,792.0,718.0,450.0,651.0,671.0,539.0
754.0,639.0,468.0,453.0,551.0,639.0,468.0,397.0,639.0,397.0,641.0,551.0,641.0,199.0,397.0,551.0,7.0,238.0,220.0,100.0,7.0,641.0,567.0,755.0,604.0
75.0,402.0,16.0,402.0,188.0,199.0,199.0,199.0,199.0,199.0,199.0,830.0,16.0,397.0,830.0,199.0,199.0,56.0,45.0,75.0,485.0,243.0,199.0,621.0,641.0
199.0,199.0,199.0,45.0,402.0,397.0,397.0,,397.0,,243.0,16.0,199.0,,,397.0,397.0,199.0,453.0,16.0,16.0,402.0,397.0,469.0,755.0
830.0,397.0,397.0,229.0,199.0,,,,,,16.0,397.0,397.0,,,,,397.0,229.0,473.0,339.0,199.0,,16.0,639.0
397.0,,,641.0,397.0,,,,,,402.0,,,,,,,,7.0,296.0,399.0,397.0,,102.0,220.0
,,,220.0,,,,,,,397.0,,,,,,,,641.0,550.0,803.0,,,398.0,199.0
,,,219.0,,,,,,,,,,,,,,,219.0,45.0,641.0,,,339.0,397.0
,,,755.0,,,,,,,,,,,,,,,485.0,251.0,453.0,,,199.0,
,,,16.0,,,,,,,,,,,,,,,399.0,621.0,229.0,,,551.0,
,,,199.0,,,,,,,,,,,,,,,100.0,551.0,219.0,,,397.0,
,,,397.0,,,,,,,,,,,,,,,16.0,469.0,829.0,,,,
,,,,,,,,,,,,,,,,,,829.0,632.0,572.0,,,,
,,,,,,,,,,,,,,,,,,239.0,102.0,402.0,,,,
,,,,,,,,,,,,,,,,,,468.0,771.0,209.0,,,,
,,,,,,,,,,,,,,,,,,755.0,398.0,755.0,,,,
,,,,,,,,,,,,,,,,,,474.0,401.0,220.0,,,,
,,,,,,,,,,,,,,,,,,639.0,829.0,468.0,,,,
,,,,,,,,,,,,,,,,,,754.0,8.0,551.0,,,,
,,,,,,,,,,,,,,,,,,803.0,220.0,639.0,,,,
,,,,,,,,,,,,,,,,,,604.0,7.0,604.0,,,,
,,,,,,,,,,,,,,,,,,199.0,339.0,45.0,,,,
,,,,,,,,,,,,,,,,,,397.0,567.0,754.0,,,,
,,,,,,,,,,,,,,,,,,,453.0,397.0,,,,
,,,,,,,,,,,,,,,,,,,229.0,,,,,
,,,,,,,,,,,,,,,,,,,830.0,,,,,
,,,,,,,,,,,,,,,,,,,397.0,,,,,
