run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
679.0,562.0,642.0,665.0,718.0,526.0,236.0,734.0,96.0,479.0,235.0,437.0,237.0,328.0,673.0,231.0,663.0,734.0,665.0,487.0,526.0,235.0,103.0,338.0,519.0
243.0,671.0,71.0,719.0,628.0,583.0,518.0,111.0,405.0,619.0,618.0,386.0,724.0,367.0,430.0,671.0,601.0,681.0,87.0,537.0,71.0,284.0,233.0,211.0,635.0
741.0,106.0,590.0,775.0,532.0,197.0,590.0,757.0,634.0,741.0,468.0,353.0,56.0,197.0,139.0,52.0,52.0,56.0,769.0,741.0,397.0,49.0,10.0,113.0,10.0
84.0,656.0,540.0,327.0,536.0,656.0,84.0,327.0,656.0,470.0,84.0,175.0,175.0,470.0,470.0,536.0,175.0,470.0,372.0,318.0,656.0,84.0,355.0,470.0,536.0
503.0,567.0,151.0,413.0,554.0,61.0,464.0,633.0,29.0,413.0,186.0,399.0,12.0,743.0,547.0,1.0,525.0,417.0,464.0,249.0,143.0,230.0,637.0,204.0,119.0
505.0,694.0,221.0,4.0,262.0,780.0,142.0,768.0,701.0,767.0,578.0,94.0,26.0,774.0,500.0,785.0,647.0,133.0,333.0,121.0,394.0,492.0,701.0,467.0,752.0
215.0,426.0,553.0,693.0,215.0,466.0,11.0,122.0,597.0,11.0,174.0,320.0,46.0,320.0,260.0,122.0,50.0,50.0,174.0,648.0,713.0,476.0,50.0,122.0,11.0
571.0,457.0,504.0,148.0,420.0,196.0,504.0,622.0,676.0,161.0,497.0,208.0,520.0,420.0,192.0,504.0,275.0,257.0,169.0,501.0,491.0,501.0,629.0,614.0,660.0
330.0,223.0,599.0,178.0,582.0,223.0,218.0,220.0,684.0,732.0,38.0,109.0,684.0,549.0,178.0,330.0,510.0,315.0,543.0,480.0,543.0,140.0,276.0,383.0,222.0
611.0,14.0,70.0,758.0,765.0,70.0,423.0,344.0,765.0,702.0,746.0,317.0,332.0,423.0,302.0,529.0,302.0,761.0,303.0,23.0,555.0,773.0,256.0,65.0,44.0
62.0,590.0,659.0,687.0,62.0,236.0,416.0,589.0,86.0,772.0,738.0,631.0,718.0,245.0,582.0,18.0,532.0,654.0,653.0,444.0,739.0,738.0,774.0,436.0,232.0
221.0,760.0,62.0,655.0,736.0,416.0,237.0,350.0,118.0,243.0,237.0,614.0,416.0,647.0,495.0,759.0,425.0,737.0,112.0,543.0,237.0,260.0,564.0,534.0,401.0
75.0,62.0,672.0,120.0,742.0,237.0,718.0,372.0,463.0,771.0,718.0,700.0,236.0,532.0,678.0,25.0,100.0,760.0,713.0,164.0,416.0,718.0,479.0,49.0,490.0
764.0,737.0,505.0,428.0,32.0,718.0,260.0,561.0,677.0,636.0,416.0,778.0,260.0,313.0,25.0,423.0,310.0,747.0,238.0,620.0,236.0,237.0,95.0,719.0,237.0
772.0,654.0,522.0,487.0,772.0,260.0,235.0,742.0,627.0,350.0,739.0,425.0,235.0,310.0,479.0,324.0,188.0,789.0,661.0,270.0,718.0,416.0,297.0,469.0,62.0
109.0,681.0,764.0,670.0,387.0,742.0,738.0,169.0,273.0,422.0,260.0,240.0,738.0,11.0,502.0,148.0,377.0,533.0,250.0,348.0,260.0,739.0,8.0,724.0,718.0
367.0,747.0,243.0,613.0,237.0,235.0,739.0,68.0,62.0,746.0,236.0,651.0,141.0,188.0,557.0,202.0,364.0,207.0,598.0,311.0,62.0,236.0,694.0,196.0,416.0
172.0,789.0,275.0,430.0,416.0,738.0,742.0,441.0,148.0,240.0,742.0,558.0,739.0,713.0,265.0,42.0,597.0,736.0,784.0,372.0,235.0,742.0,138.0,12.0,236.0
189.0,260.0,583.0,403.0,236.0,329.0,526.0,400.0,356.0,189.0,399.0,142.0,526.0,446.0,140.0,21.0,693.0,467.0,166.0,170.0,738.0,526.0,378.0,548.0,235.0
379.0,736.0,613.0,514.0,235.0,601.0,105.0,523.0,362.0,482.0,713.0,37.0,105.0,775.0,667.0,734.0,46.0,641.0,767.0,235.0,601.0,601.0,552.0,576.0,601.0
483.0,207.0,709.0,549.0,738.0,1.0,184.0,76.0,322.0,488.0,266.0,515.0,742.0,318.0,526.0,165.0,713.0,,772.0,671.0,552.0,552.0,372.0,305.0,739.0
53.0,601.0,416.0,342.0,260.0,739.0,601.0,256.0,542.0,237.0,526.0,237.0,601.0,536.0,571.0,348.0,3.0,,423.0,601.0,399.0,713.0,656.0,609.0,738.0
149.0,750.0,237.0,484.0,739.0,613.0,639.0,6.0,277.0,718.0,763.0,260.0,1.0,175.0,15.0,108.0,446.0,,742.0,15.0,771.0,450.0,540.0,59.0,742.0
237.0,619.0,236.0,680.0,329.0,763.0,552.0,458.0,106.0,416.0,329.0,718.0,641.0,355.0,236.0,16.0,313.0,,672.0,237.0,639.0,329.0,175.0,415.0,266.0
718.0,641.0,718.0,262.0,773.0,184.0,329.0,45.0,360.0,236.0,184.0,416.0,,656.0,416.0,188.0,282.0,,639.0,718.0,532.0,639.0,482.0,430.0,526.0
416.0,,235.0,321.0,425.0,713.0,482.0,724.0,454.0,235.0,1.0,236.0,,52.0,237.0,2.0,113.0,,730.0,738.0,141.0,184.0,170.0,193.0,329.0
236.0,,738.0,659.0,184.0,266.0,713.0,335.0,580.0,738.0,601.0,235.0,,273.0,718.0,104.0,468.0,,601.0,416.0,184.0,641.0,398.0,572.0,184.0
235.0,,260.0,597.0,526.0,652.0,551.0,158.0,177.0,260.0,339.0,738.0,,10.0,235.0,620.0,733.0,,684.0,236.0,377.0,,84.0,569.0,713.0
739.0,,739.0,640.0,552.0,532.0,641.0,191.0,425.0,739.0,773.0,739.0,,496.0,738.0,350.0,408.0,,457.0,739.0,785.0,,771.0,601.0,763.0
141.0,,601.0,627.0,713.0,639.0,,117.0,333.0,329.0,652.0,141.0,,380.0,742.0,322.0,20.0,,265.0,742.0,431.0,,273.0,710.0,431.0
738.0,,184.0,423.0,760.0,377.0,,199.0,9.0,105.0,613.0,742.0,,377.0,739.0,471.0,11.0,,555.0,526.0,763.0,,290.0,16.0,1.0
184.0,,526.0,638.0,654.0,699.0,,303.0,772.0,184.0,756.0,526.0,,766.0,601.0,774.0,553.0,,571.0,260.0,536.0,,112.0,225.0,489.0
260.0,,519.0,155.0,681.0,279.0,,326.0,397.0,526.0,86.0,713.0,,786.0,552.0,327.0,322.0,,209.0,713.0,105.0,,775.0,108.0,773.0
601.0,,701.0,524.0,737.0,194.0,,212.0,515.0,742.0,536.0,763.0,,535.0,639.0,580.0,611.0,,425.0,184.0,489.0,,267.0,756.0,613.0
526.0,,639.0,537.0,747.0,489.0,,486.0,84.0,713.0,544.0,184.0,,56.0,713.0,441.0,22.0,,387.0,329.0,126.0,,142.0,731.0,83.0
713.0,,763.0,175.0,789.0,431.0,,577.0,498.0,763.0,83.0,601.0,,693.0,184.0,181.0,99.0,,762.0,763.0,773.0,,734.0,660.0,544.0
763.0,,713.0,566.0,398.0,552.0,,519.0,364.0,601.0,489.0,641.0,,3.0,329.0,563.0,122.0,,76.0,639.0,736.0,,685.0,561.0,279.0
376.0,,126.0,389.0,501.0,536.0,,144.0,516.0,639.0,279.0,,,21.0,763.0,114.0,117.0,,206.0,552.0,772.0,,448.0,205.0,323.0
639.0,,83.0,345.0,533.0,533.0,,509.0,604.0,552.0,431.0,,,623.0,641.0,379.0,355.0,,260.0,533.0,737.0,,162.0,670.0,23.0
552.0,,489.0,182.0,641.0,188.0,,207.0,629.0,355.0,467.0,,,290.0,,278.0,344.0,,489.0,489.0,654.0,,560.0,37.0,629.0
377.0,,641.0,21.0,,729.0,,75.0,33.0,489.0,699.0,,,703.0,,282.0,761.0,,559.0,431.0,681.0,,364.0,504.0,260.0
536.0,,,587.0,,670.0,,274.0,21.0,431.0,23.0,,,590.0,,74.0,576.0,,613.0,279.0,760.0,,20.0,61.0,552.0
641.0,,,421.0,,771.0,,744.0,725.0,279.0,188.0,,,638.0,,248.0,746.0,,341.0,377.0,747.0,,174.0,285.0,639.0
,,,397.0,,773.0,,426.0,562.0,377.0,639.0,,,153.0,,420.0,40.0,,1.0,771.0,789.0,,57.0,334.0,532.0
,,,761.0,,693.0,,399.0,754.0,699.0,519.0,,,127.0,,302.0,210.0,,709.0,355.0,672.0,,204.0,565.0,195.0
,,,525.0,,323.0,,374.0,31.0,201.0,195.0,,,203.0,,520.0,332.0,,689.0,519.0,379.0,,230.0,720.0,641.0
,,,569.0,,555.0,,644.0,781.0,19.0,751.0,,,309.0,,597.0,78.0,,292.0,773.0,641.0,,242.0,578.0,
,,,598.0,,641.0,,621.0,591.0,23.0,736.0,,,610.0,,466.0,138.0,,602.0,263.0,,,717.0,489.0,
,,,0.0,,,,297.0,417.0,544.0,737.0,,,286.0,,260.0,174.0,,414.0,450.0,,,298.0,0.0,
,,,750.0,,,,558.0,2.0,751.0,654.0,,,422.0,,391.0,786.0,,360.0,410.0,,,428.0,550.0,
,,,284.0,,,,480.0,448.0,736.0,681.0,,,550.0,,407.0,535.0,,532.0,641.0,,,52.0,35.0,
,,,387.0,,,,340.0,213.0,737.0,747.0,,,106.0,,610.0,10.0,,128.0,,,,418.0,376.0,
,,,725.0,,,,421.0,584.0,654.0,789.0,,,542.0,,35.0,397.0,,667.0,,,,334.0,585.0,
,,,193.0,,,,161.0,135.0,681.0,760.0,,,67.0,,363.0,422.0,,416.0,,,,501.0,154.0,
,,,171.0,,,,97.0,401.0,760.0,267.0,,,343.0,,98.0,550.0,,236.0,,,,96.0,586.0,
,,,737.0,,,,242.0,233.0,747.0,771.0,,,692.0,,418.0,286.0,,718.0,,,,328.0,637.0,
,,,425.0,,,,711.0,661.0,789.0,641.0,,,47.0,,365.0,638.0,,237.0,,,,648.0,499.0,
,,,260.0,,,,387.0,649.0,398.0,,,,160.0,,695.0,610.0,,235.0,,,,70.0,359.0,
