targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.0,0.0,1.0,1.0,2.2477535301668805
7.1,1.0,0.0,1.0,1.0,2.2769830949284784
7.2,1.0,0.0,1.0,1.0,2.3377837116154874
7.3,1.0,0.0,1.0,1.0,2.3986301369863012
7.4,1.0,0.0,1.0,1.0,2.4319444444444445
7.5,1.0,0.0,1.0,1.0,2.4801699716713883
7.6,1.0,0.0,1.0,1.0,2.548762736535662
7.7,1.0,0.0,1.0,1.0,2.6017830609212482
7.8,1.0,0.0,1.0,1.0,2.6732824427480915
7.9,1.0,0.0,1.0,1.0,2.7359375
8.0,1.0,0.0,1.0,1.0,2.7793650793650793
8.1,1.0,0.0,1.0,1.0,2.8517915309446256
8.2,1.0,0.0,1.0,1.0,2.894214876033058
8.3,1.0,0.0,1.0,1.0,2.9527824620573355
8.4,1.0,0.0,1.0,1.0,3.0346620450606587
8.5,1.0,0.0,1.0,1.0,3.1492805755395685
8.6,1.0,0.0,1.0,1.0,3.3037735849056604
8.7,1.0,0.0,1.0,1.0,3.5881147540983607
8.8,1.0,0.0,1.0,1.0,3.9705215419501134
8.9,1.0,0.0,1.0,1.0,4.334158415841584
9.0,1.0,0.0,1.0,1.0,4.988603988603988
9.1,6.0,0.0,6.0,6.0,6.187279151943463
9.2,6.0,0.0,6.0,6.0,8.069124423963133
9.3,8.0,0.0,8.0,8.0,10.121387283236995
9.4,14.0,0.0,14.0,14.0,12.68840579710145
9.5,15.0,0.0,15.0,15.0,15.495575221238939
9.6,15.0,0.0,15.0,15.0,19.897727272727273
9.7,15.0,0.0,15.0,15.0,29.183333333333334
9.8,15.0,0.0,15.0,15.0,44.8974358974359
9.9,19.0,0.0,19.0,19.0,67.34615384615384
10.0,19.0,0.0,19.0,19.0,76.1304347826087
10.1,19.0,0.0,19.0,19.0,145.91666666666666
10.2,19.0,0.0,19.0,19.0,218.875
10.3,78.0,0.0,78.0,78.0,350.2
10.3767507096021,78.0,0.0,78.0,78.0,875.5
