run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1184.0,307.0,1121.0,952.0,530.0,1345.0,1316.0,1227.0,593.0,570.0,1779.0,1276.0,2445.0,1228.0,482.0,1592.0,1122.0,499.0,2015.0,442.0,1801.0,1346.0,591.0,419.0,1277.0
774.0,770.0,717.0,784.0,773.0,774.0,762.0,627.0,753.0,780.0,788.0,729.0,754.0,666.0,751.0,668.0,773.0,776.0,741.0,773.0,758.0,783.0,771.0,765.0,749.0
2108.0,1672.0,2100.0,156.0,2176.0,2363.0,1910.0,1915.0,1307.0,2109.0,1982.0,1927.0,1264.0,1894.0,1672.0,1239.0,2189.0,1762.0,2177.0,2108.0,1937.0,345.0,81.0,2080.0,1897.0
1031.0,1036.0,1036.0,10.0,1269.0,1215.0,1203.0,1031.0,1059.0,908.0,166.0,1048.0,1270.0,1195.0,1661.0,1216.0,1033.0,1274.0,1033.0,1195.0,1297.0,202.0,1197.0,2131.0,1414.0
1638.0,1665.0,235.0,1791.0,2359.0,475.0,2375.0,1375.0,2359.0,1638.0,2074.0,1751.0,1679.0,1631.0,2132.0,909.0,2075.0,2050.0,1124.0,151.0,2149.0,2429.0,2357.0,325.0,622.0
1113.0,2243.0,1730.0,923.0,372.0,42.0,2034.0,2267.0,1096.0,2266.0,2209.0,2026.0,2447.0,959.0,1498.0,961.0,805.0,1467.0,2338.0,1776.0,1642.0,802.0,368.0,1454.0,2143.0
2058.0,1281.0,287.0,1280.0,1741.0,1325.0,2082.0,831.0,120.0,990.0,983.0,1141.0,1918.0,1336.0,2052.0,1256.0,2167.0,2391.0,1154.0,1905.0,226.0,2347.0,2196.0,2027.0,983.0
535.0,505.0,533.0,1978.0,535.0,2091.0,2354.0,2421.0,2414.0,2094.0,1411.0,2184.0,1989.0,1999.0,1411.0,2253.0,1577.0,1220.0,2095.0,1577.0,1616.0,2085.0,2424.0,1960.0,2321.0
644.0,709.0,726.0,1818.0,688.0,1835.0,692.0,1822.0,690.0,645.0,1837.0,712.0,645.0,1834.0,1818.0,715.0,293.0,654.0,565.0,696.0,911.0,730.0,1826.0,721.0,293.0
2261.0,1412.0,861.0,1379.0,2285.0,1134.0,3.0,279.0,1373.0,813.0,67.0,1099.0,564.0,2264.0,1719.0,1378.0,1525.0,538.0,1434.0,278.0,544.0,2215.0,142.0,1436.0,1951.0
1637.0,2293.0,542.0,754.0,545.0,2093.0,545.0,2293.0,2107.0,2075.0,1766.0,2122.0,1873.0,1337.0,545.0,2293.0,2162.0,2129.0,2091.0,1772.0,1961.0,536.0,2358.0,1114.0,748.0
31.0,542.0,1125.0,785.0,533.0,2439.0,2129.0,1048.0,1961.0,2110.0,1768.0,2293.0,1900.0,2377.0,761.0,960.0,2163.0,2206.0,1028.0,1779.0,91.0,754.0,1824.0,390.0,750.0
1004.0,1666.0,536.0,1790.0,536.0,545.0,0.0,2122.0,1215.0,2090.0,1767.0,2128.0,2244.0,1325.0,1674.0,51.0,2169.0,1048.0,2093.0,1766.0,2372.0,759.0,1828.0,118.0,744.0
931.0,1663.0,2106.0,782.0,540.0,2098.0,2206.0,545.0,1958.0,1637.0,1765.0,2130.0,1874.0,1591.0,542.0,974.0,2171.0,2390.0,2120.0,1768.0,2103.0,787.0,2356.0,276.0,1583.0
930.0,911.0,1901.0,759.0,2122.0,780.0,2431.0,1215.0,1901.0,544.0,1772.0,2131.0,1895.0,905.0,2214.0,363.0,2168.0,2130.0,1025.0,1765.0,1981.0,788.0,2121.0,283.0,2107.0
1129.0,775.0,1912.0,629.0,2121.0,775.0,1901.0,2128.0,2104.0,2078.0,1778.0,2121.0,1361.0,1318.0,2157.0,976.0,2170.0,2205.0,2119.0,1767.0,345.0,782.0,2318.0,1116.0,1916.0
1190.0,762.0,1265.0,625.0,2130.0,1181.0,1003.0,2130.0,1264.0,2105.0,1781.0,2126.0,641.0,1320.0,2121.0,980.0,1046.0,1510.0,1026.0,1781.0,2073.0,753.0,2119.0,833.0,1915.0
1882.0,754.0,1899.0,623.0,2131.0,1220.0,1211.0,2131.0,1899.0,1220.0,1761.0,1877.0,1917.0,1321.0,1319.0,972.0,2166.0,2131.0,1030.0,1761.0,2403.0,629.0,2122.0,1119.0,2108.0
1123.0,782.0,547.0,1819.0,2128.0,759.0,2130.0,2121.0,1897.0,1878.0,1783.0,2120.0,1876.0,1329.0,2419.0,978.0,2165.0,1463.0,1038.0,1760.0,1511.0,630.0,2130.0,1118.0,2075.0
1112.0,774.0,532.0,1810.0,2126.0,745.0,2131.0,2126.0,2106.0,2107.0,1776.0,2119.0,2135.0,958.0,393.0,977.0,2173.0,13.0,1970.0,1780.0,1510.0,625.0,2128.0,1117.0,1289.0
1111.0,777.0,408.0,1823.0,1877.0,744.0,2128.0,1877.0,1916.0,2076.0,1760.0,2129.0,1197.0,796.0,2119.0,973.0,2174.0,19.0,1022.0,1783.0,1627.0,789.0,2131.0,525.0,2074.0
1035.0,765.0,535.0,1831.0,2120.0,770.0,2122.0,2129.0,1583.0,1049.0,1780.0,0.0,1922.0,797.0,2415.0,981.0,2175.0,18.0,1971.0,2169.0,1749.0,2107.0,1877.0,582.0,1102.0
1639.0,759.0,540.0,1820.0,2119.0,2095.0,2121.0,2120.0,1915.0,2100.0,1764.0,2327.0,1759.0,1048.0,1615.0,979.0,1086.0,14.0,1974.0,2171.0,1463.0,2108.0,2126.0,1121.0,950.0
1109.0,767.0,2107.0,1825.0,2129.0,1628.0,1877.0,2119.0,1914.0,395.0,1763.0,2127.0,2435.0,2122.0,1684.0,2202.0,2161.0,2392.0,2121.0,1764.0,1509.0,1958.0,2120.0,1120.0,1290.0
