run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1086.0,841.0,1719.0,1285.0,95.0,731.0,1687.0,21.0,962.0,858.0,1330.0,559.0,1768.0,2168.0,352.0,1915.0,915.0,691.0,1315.0,1703.0,802.0,1846.0,1288.0,1828.0,851.0
1421.0,2441.0,839.0,1048.0,1297.0,724.0,1828.0,1025.0,1297.0,1691.0,761.0,593.0,539.0,839.0,1747.0,1631.0,1725.0,2170.0,1620.0,1995.0,724.0,2390.0,713.0,23.0,1647.0
924.0,2130.0,2167.0,1691.0,690.0,1607.0,329.0,2348.0,1721.0,1330.0,763.0,728.0,691.0,1217.0,1297.0,1309.0,537.0,1309.0,733.0,1920.0,1877.0,2116.0,1727.0,720.0,1703.0
1448.0,2184.0,1625.0,1448.0,24.0,2205.0,2205.0,1003.0,768.0,725.0,802.0,1826.0,763.0,538.0,23.0,1240.0,1985.0,549.0,1984.0,352.0,1831.0,1848.0,1942.0,1479.0,1831.0
874.0,1109.0,538.0,1687.0,1877.0,691.0,220.0,2293.0,534.0,2162.0,858.0,2219.0,2349.0,453.0,629.0,1826.0,94.0,1033.0,1448.0,1673.0,1569.0,2347.0,1915.0,2162.0,1608.0
1620.0,2174.0,1309.0,1620.0,542.0,1991.0,1692.0,364.0,21.0,684.0,1026.0,858.0,1703.0,1508.0,1920.0,2114.0,533.0,1315.0,593.0,2174.0,1845.0,1920.0,1824.0,1824.0,1768.0
1326.0,734.0,2222.0,24.0,684.0,2263.0,1984.0,1478.0,1873.0,1109.0,728.0,1836.0,1309.0,720.0,1992.0,1920.0,997.0,962.0,1109.0,1973.0,1086.0,1834.0,1607.0,165.0,2120.0
1695.0,1622.0,1086.0,916.0,851.0,761.0,1620.0,1631.0,1846.0,629.0,2166.0,1585.0,2440.0,1898.0,453.0,1768.0,1693.0,1997.0,559.0,1240.0,1817.0,1188.0,1898.0,1663.0,1995.0
1808.0,2222.0,2168.0,2162.0,873.0,2005.0,97.0,1920.0,858.0,1838.0,689.0,761.0,2348.0,2205.0,2126.0,1992.0,1288.0,1003.0,1703.0,2334.0,1584.0,1810.0,1877.0,329.0,533.0
1997.0,22.0,1031.0,2365.0,691.0,944.0,1995.0,1995.0,2169.0,220.0,544.0,1899.0,1345.0,1385.0,944.0,549.0,14.0,1240.0,2112.0,761.0,97.0,24.0,138.0,1622.0,691.0
2293.0,2173.0,2178.0,2293.0,2119.0,545.0,2293.0,15.0,2171.0,2166.0,2170.0,2075.0,1766.0,2169.0,2130.0,1766.0,1620.0,2175.0,2293.0,2173.0,2178.0,2391.0,65.0,1086.0,1603.0
2175.0,2175.0,2174.0,545.0,2126.0,2207.0,542.0,16.0,22.0,2163.0,2168.0,2076.0,1767.0,2171.0,1877.0,1767.0,542.0,2178.0,1494.0,2178.0,2175.0,19.0,2126.0,2161.0,1604.0
329.0,2163.0,2173.0,1046.0,2131.0,2206.0,2170.0,23.0,17.0,1046.0,2169.0,2110.0,1765.0,2170.0,21.0,1765.0,1692.0,2174.0,1495.0,2175.0,2173.0,13.0,2131.0,2163.0,1605.0
2170.0,545.0,2175.0,2171.0,2392.0,14.0,2178.0,24.0,20.0,2167.0,2171.0,2078.0,1778.0,2163.0,31.0,1778.0,15.0,2173.0,1449.0,1086.0,2174.0,14.0,2119.0,943.0,1767.0
2174.0,31.0,329.0,2129.0,2349.0,18.0,2175.0,13.0,2207.0,2170.0,2164.0,1103.0,1779.0,2175.0,14.0,1779.0,536.0,2161.0,536.0,943.0,2161.0,2291.0,1583.0,2178.0,1766.0
2173.0,329.0,943.0,1449.0,1824.0,2390.0,2174.0,19.0,14.0,2168.0,2165.0,1049.0,1783.0,2174.0,1315.0,1761.0,16.0,2168.0,290.0,545.0,329.0,2207.0,1897.0,2175.0,1765.0
943.0,1086.0,545.0,2130.0,21.0,2391.0,2173.0,2207.0,12.0,2293.0,2175.0,2079.0,1772.0,2173.0,22.0,1781.0,24.0,329.0,1492.0,329.0,2170.0,18.0,1899.0,2173.0,1158.0
545.0,233.0,2170.0,2128.0,1691.0,2392.0,1046.0,18.0,352.0,2171.0,2174.0,2107.0,1776.0,1086.0,2131.0,1760.0,23.0,1086.0,1512.0,2165.0,2168.0,468.0,31.0,2174.0,1606.0
1618.0,2161.0,2165.0,2131.0,1174.0,19.0,943.0,14.0,24.0,2164.0,2173.0,65.0,1781.0,329.0,545.0,1780.0,17.0,2171.0,1619.0,2164.0,2167.0,2206.0,1916.0,2165.0,1779.0
1619.0,943.0,2164.0,2124.0,22.0,13.0,2122.0,468.0,18.0,2165.0,329.0,2293.0,1761.0,2161.0,17.0,1772.0,22.0,943.0,1693.0,2167.0,2166.0,2393.0,1913.0,2169.0,1607.0
1494.0,1048.0,2163.0,1.0,17.0,2393.0,545.0,11.0,2206.0,2175.0,1086.0,951.0,1760.0,2178.0,20.0,1776.0,11.0,1970.0,1694.0,2163.0,2169.0,15.0,1990.0,2171.0,138.0
2165.0,2131.0,2233.0,,20.0,483.0,2165.0,2004.0,2392.0,2174.0,2161.0,984.0,1780.0,943.0,12.0,1783.0,547.0,2172.0,1692.0,2169.0,2171.0,23.0,2137.0,2164.0,1778.0
2164.0,2170.0,497.0,,96.0,21.0,2164.0,1028.0,2391.0,2173.0,2163.0,2077.0,1764.0,2165.0,2206.0,232.0,532.0,1025.0,1696.0,2171.0,2164.0,16.0,2073.0,2168.0,1772.0
2168.0,2168.0,1095.0,,1003.0,17.0,2167.0,1464.0,2390.0,329.0,2178.0,1244.0,1763.0,2164.0,18.0,1764.0,1694.0,1971.0,1695.0,2161.0,2165.0,11.0,2318.0,2170.0,1776.0
2169.0,2171.0,2171.0,,352.0,22.0,2168.0,536.0,19.0,1086.0,943.0,2074.0,1774.0,2167.0,2392.0,1777.0,1695.0,2164.0,1690.0,2168.0,2163.0,17.0,1829.0,2167.0,2121.0
2167.0,2165.0,377.0,,16.0,15.0,2171.0,1022.0,13.0,2178.0,2167.0,1242.0,1771.0,2166.0,2391.0,1763.0,1696.0,2121.0,1689.0,2170.0,545.0,22.0,1812.0,2166.0,1783.0
2171.0,2164.0,1046.0,,23.0,16.0,1622.0,1970.0,2393.0,2161.0,2162.0,1243.0,1777.0,2162.0,2390.0,1771.0,1619.0,2165.0,1697.0,2162.0,943.0,20.0,377.0,1046.0,1761.0
