run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
5891.0,7855.0,5442.0,3153.0,1603.0,5401.0,2876.0,3644.0,2448.0,3644.0,937.0,8687.0,5668.0,9827.0,3328.0,522.0,7518.0,5191.0,2379.0,3744.0,9278.0,2146.0,961.0,8052.0,3753.0
898.0,881.0,5687.0,6549.0,8711.0,442.0,3605.0,2539.0,8084.0,9181.0,9352.0,2634.0,8797.0,5364.0,6728.0,5925.0,4446.0,4949.0,8991.0,4993.0,7247.0,3744.0,2211.0,5184.0,491.0
6148.0,9755.0,5990.0,4706.0,7195.0,4164.0,2891.0,9223.0,8824.0,520.0,5336.0,3009.0,3205.0,4474.0,8371.0,4029.0,6111.0,9288.0,9614.0,8323.0,5430.0,3895.0,5419.0,2495.0,3399.0
5325.0,6528.0,3035.0,4369.0,7843.0,6636.0,1913.0,3111.0,8772.0,5454.0,192.0,4786.0,8728.0,145.0,6609.0,3198.0,5396.0,7010.0,958.0,673.0,2780.0,9864.0,8885.0,2765.0,2082.0
7978.0,6707.0,6808.0,231.0,2558.0,2170.0,8946.0,2301.0,770.0,2401.0,8049.0,2905.0,6794.0,7794.0,8198.0,2902.0,6154.0,9872.0,1588.0,2994.0,1053.0,8416.0,6067.0,9300.0,5773.0
4615.0,5211.0,4894.0,2674.0,7963.0,4429.0,5834.0,4910.0,3617.0,6150.0,53.0,7591.0,9397.0,6242.0,2554.0,3357.0,5963.0,7620.0,5043.0,3235.0,9254.0,9765.0,1659.0,322.0,7863.0
4252.0,7816.0,4369.0,798.0,5098.0,2052.0,7642.0,5470.0,4449.0,9850.0,3793.0,7291.0,9449.0,7499.0,1030.0,4355.0,5845.0,8702.0,5888.0,980.0,2663.0,11.0,6684.0,4164.0,7389.0
6450.0,9917.0,8610.0,7755.0,7654.0,5593.0,2985.0,1846.0,2793.0,5602.0,265.0,6557.0,8482.0,1761.0,1651.0,3105.0,9345.0,6644.0,4037.0,7903.0,4216.0,608.0,7579.0,7197.0,8080.0
2669.0,278.0,9197.0,8192.0,9038.0,6502.0,9863.0,6725.0,1334.0,9025.0,984.0,3890.0,4643.0,904.0,673.0,14.0,9092.0,3774.0,6809.0,7597.0,2435.0,9413.0,7837.0,2626.0,405.0
9524.0,913.0,6978.0,6113.0,1366.0,413.0,4198.0,7454.0,3825.0,49.0,6058.0,1691.0,1844.0,303.0,4942.0,6831.0,9299.0,5565.0,7410.0,9443.0,4824.0,6812.0,3961.0,4492.0,7600.0
7884.0,8675.0,7327.0,8234.0,4816.0,6997.0,5463.0,7502.0,1772.0,5988.0,5124.0,7087.0,8417.0,2271.0,2540.0,1989.0,9368.0,1637.0,7834.0,8734.0,9599.0,6878.0,4542.0,587.0,173.0
6478.0,7770.0,9686.0,9315.0,6789.0,9190.0,9184.0,9191.0,4134.0,5469.0,2344.0,5692.0,7123.0,1764.0,2900.0,3224.0,5799.0,1881.0,5259.0,5049.0,6781.0,8690.0,2240.0,713.0,179.0
7879.0,6320.0,2707.0,9352.0,8950.0,8251.0,9183.0,7512.0,4164.0,9002.0,2676.0,5066.0,7195.0,2480.0,4766.0,2222.0,6819.0,1843.0,7307.0,8569.0,9606.0,9957.0,3502.0,704.0,260.0
9861.0,5903.0,9704.0,6538.0,9719.0,5515.0,8562.0,9439.0,3165.0,7259.0,2652.0,7490.0,7278.0,1773.0,5715.0,4410.0,6671.0,3981.0,7757.0,9192.0,8688.0,8791.0,5264.0,721.0,764.0
5036.0,8616.0,6779.0,3983.0,5810.0,6069.0,5497.0,2722.0,6357.0,2408.0,2665.0,8056.0,6752.0,5005.0,5725.0,3248.0,7986.0,5511.0,7126.0,8666.0,5912.0,8658.0,6182.0,1909.0,414.0
5034.0,7956.0,5571.0,3995.0,7899.0,5577.0,9192.0,9945.0,4376.0,8411.0,5053.0,4660.0,6717.0,7917.0,3901.0,4429.0,3818.0,1840.0,4933.0,6080.0,5910.0,6410.0,7143.0,2658.0,687.0
2697.0,9293.0,7996.0,5522.0,9283.0,3282.0,7509.0,2193.0,8579.0,3376.0,7114.0,7509.0,9019.0,1025.0,4819.0,4366.0,7941.0,4118.0,5765.0,5130.0,7474.0,5902.0,6766.0,2711.0,815.0
7878.0,7934.0,6870.0,854.0,6674.0,3286.0,4322.0,9739.0,8713.0,9743.0,7106.0,6483.0,7213.0,5403.0,5607.0,9058.0,8524.0,4658.0,6195.0,9183.0,7939.0,7468.0,5811.0,1624.0,3702.0
6914.0,4098.0,8716.0,5131.0,8616.0,7093.0,4735.0,5038.0,5070.0,3377.0,3064.0,9408.0,6166.0,2032.0,4882.0,4342.0,9255.0,3356.0,7081.0,8076.0,7587.0,7464.0,6574.0,1623.0,810.0
5954.0,8686.0,9930.0,7642.0,6711.0,4307.0,5544.0,7940.0,5130.0,8967.0,5073.0,8291.0,2452.0,3578.0,4935.0,3578.0,3090.0,6008.0,3505.0,7002.0,3409.0,8879.0,7339.0,1657.0,1800.0
2838.0,9209.0,7944.0,994.0,9259.0,9960.0,9408.0,8292.0,3913.0,9764.0,6050.0,5225.0,7280.0,2296.0,4027.0,2264.0,6888.0,5487.0,5614.0,3376.0,4565.0,8677.0,6729.0,2719.0,914.0
2517.0,9347.0,6357.0,9316.0,6685.0,616.0,4636.0,4604.0,4687.0,3706.0,4260.0,8746.0,7670.0,2537.0,4875.0,3200.0,9302.0,4639.0,5731.0,3165.0,5426.0,9209.0,7818.0,3898.0,3732.0
1857.0,9217.0,7626.0,1007.0,9269.0,8598.0,8054.0,5998.0,4727.0,9962.0,7523.0,5463.0,1901.0,2283.0,4768.0,1549.0,9361.0,4258.0,6145.0,4164.0,8806.0,9544.0,4978.0,902.0,39.0
3598.0,9912.0,3165.0,6502.0,3813.0,3629.0,3538.0,8275.0,8550.0,7327.0,7004.0,3903.0,5310.0,4994.0,4859.0,1279.0,6666.0,4091.0,2482.0,5071.0,3096.0,9628.0,3442.0,1113.0,2069.0
3287.0,7322.0,7467.0,6997.0,3624.0,763.0,9185.0,6816.0,5056.0,8420.0,4184.0,9184.0,8988.0,2900.0,5666.0,1146.0,9338.0,3725.0,3284.0,3882.0,6394.0,4533.0,2457.0,2391.0,28.0
9854.0,8003.0,8713.0,9190.0,5392.0,2315.0,9897.0,7935.0,8532.0,9908.0,7498.0,4451.0,4807.0,2511.0,5723.0,2368.0,5877.0,5483.0,4417.0,4376.0,6967.0,7443.0,5345.0,2400.0,154.0
6419.0,8086.0,4531.0,8251.0,9332.0,3552.0,8076.0,9427.0,9185.0,6357.0,5487.0,5301.0,4459.0,3273.0,2493.0,834.0,7374.0,6898.0,7756.0,5070.0,8702.0,6360.0,1544.0,4442.0,3363.0
9784.0,5649.0,6853.0,5515.0,6698.0,7705.0,3937.0,6468.0,5071.0,5488.0,4870.0,9183.0,3435.0,6893.0,8285.0,1824.0,7388.0,4605.0,7775.0,9449.0,6376.0,8154.0,6877.0,1159.0,35.0
2408.0,9314.0,5362.0,6069.0,6821.0,749.0,6016.0,5799.0,6983.0,9947.0,8551.0,9863.0,6337.0,5398.0,4894.0,1862.0,8581.0,4260.0,4496.0,8746.0,9557.0,6372.0,5905.0,2744.0,252.0
3631.0,3601.0,5338.0,5577.0,8695.0,4671.0,6417.0,8524.0,9446.0,8397.0,7641.0,8562.0,6707.0,6371.0,6148.0,1265.0,6821.0,3052.0,1664.0,4687.0,9633.0,8537.0,7809.0,6589.0,563.0
3855.0,9556.0,6356.0,3282.0,4557.0,4626.0,5545.0,961.0,8076.0,4214.0,1495.0,5497.0,8439.0,5890.0,4456.0,5871.0,7933.0,3300.0,3993.0,3913.0,7363.0,6967.0,4965.0,4471.0,917.0
3374.0,9378.0,8579.0,3286.0,3094.0,6538.0,2561.0,3782.0,9438.0,5455.0,5219.0,9192.0,5825.0,4981.0,4929.0,7292.0,6817.0,1785.0,4881.0,2707.0,5317.0,3409.0,5383.0,3035.0,171.0
5990.0,8004.0,5352.0,7093.0,7273.0,1681.0,2609.0,4140.0,2707.0,6598.0,5994.0,4322.0,7757.0,6327.0,2355.0,4570.0,6842.0,3032.0,6158.0,3277.0,8169.0,8599.0,5306.0,8852.0,346.0
6416.0,8431.0,6359.0,4307.0,8568.0,1683.0,3290.0,7000.0,3760.0,5035.0,9194.0,4735.0,3493.0,6358.0,3147.0,2418.0,7457.0,3019.0,7831.0,8550.0,8178.0,9202.0,5364.0,503.0,849.0
3760.0,4998.0,6408.0,9960.0,9393.0,1690.0,3878.0,115.0,1689.0,7701.0,7350.0,5544.0,4440.0,6237.0,6216.0,39.0,4279.0,3790.0,7788.0,6084.0,7375.0,8859.0,7854.0,1165.0,856.0
6417.0,6393.0,8984.0,616.0,3831.0,2758.0,4754.0,3090.0,9034.0,5471.0,7493.0,4636.0,4505.0,7263.0,5598.0,7283.0,5848.0,4595.0,4946.0,5116.0,9459.0,9366.0,4985.0,4655.0,369.0
3165.0,9645.0,7407.0,8598.0,6372.0,3563.0,3882.0,7426.0,6416.0,5200.0,7664.0,8054.0,5830.0,4571.0,2675.0,4969.0,8639.0,4184.0,5244.0,3760.0,9498.0,7375.0,5327.0,1631.0,410.0
