run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
979.0,194.0,959.0,541.0,640.0,510.0,810.0,1027.0,1161.0,663.0,73.0,902.0,407.0,436.0,560.0,1187.0,963.0,585.0,211.0,488.0,510.0,1194.0,615.0,442.0,937.0
1048.0,866.0,1048.0,1398.0,1040.0,1040.0,845.0,289.0,1322.0,1500.0,1501.0,1049.0,1465.0,1049.0,1398.0,1326.0,1040.0,1274.0,1320.0,1040.0,1452.0,1048.0,289.0,512.0,272.0
1338.0,784.0,784.0,1483.0,1481.0,1349.0,1189.0,336.0,1185.0,1472.0,213.0,970.0,1489.0,787.0,159.0,1488.0,1430.0,1489.0,1423.0,1057.0,213.0,745.0,519.0,472.0,885.0
1323.0,948.0,109.0,1256.0,689.0,1012.0,747.0,457.0,918.0,1233.0,450.0,569.0,911.0,93.0,1044.0,849.0,486.0,1044.0,486.0,1165.0,1120.0,26.0,1323.0,1402.0,1022.0
719.0,1393.0,444.0,11.0,852.0,763.0,816.0,1021.0,1427.0,622.0,1078.0,181.0,55.0,954.0,737.0,1300.0,703.0,627.0,709.0,241.0,1436.0,526.0,968.0,338.0,1484.0
1454.0,575.0,539.0,132.0,368.0,41.0,792.0,651.0,601.0,1188.0,977.0,548.0,1454.0,1204.0,782.0,1240.0,977.0,1287.0,41.0,386.0,1170.0,837.0,782.0,650.0,1002.0
567.0,1080.0,571.0,875.0,793.0,1275.0,463.0,1041.0,571.0,704.0,924.0,939.0,438.0,1354.0,1345.0,923.0,1095.0,89.0,916.0,431.0,434.0,667.0,1446.0,169.0,558.0
136.0,1397.0,88.0,1150.0,645.0,1175.0,671.0,291.0,545.0,682.0,1176.0,750.0,288.0,1362.0,1495.0,898.0,1335.0,398.0,1444.0,693.0,288.0,1055.0,896.0,960.0,1309.0
673.0,1455.0,953.0,1111.0,1312.0,780.0,742.0,1418.0,1327.0,711.0,280.0,1508.0,1202.0,1389.0,1506.0,1191.0,899.0,1408.0,1360.0,1314.0,1417.0,1435.0,280.0,742.0,1505.0
1241.0,223.0,1227.0,238.0,1363.0,370.0,155.0,674.0,1227.0,1307.0,231.0,587.0,1307.0,1046.0,973.0,715.0,203.0,961.0,986.0,559.0,842.0,229.0,765.0,1257.0,203.0
799.0,1012.0,799.0,1012.0,799.0,799.0,203.0,799.0,660.0,153.0,799.0,1012.0,1012.0,799.0,799.0,1012.0,799.0,799.0,1165.0,1012.0,1048.0,799.0,799.0,1165.0,799.0
1012.0,203.0,1012.0,153.0,1012.0,696.0,1012.0,1165.0,1500.0,141.0,1012.0,1256.0,799.0,748.0,1012.0,183.0,671.0,637.0,1046.0,799.0,1326.0,1012.0,1165.0,638.0,1012.0
1460.0,153.0,1094.0,531.0,153.0,1256.0,682.0,1012.0,842.0,1259.0,1050.0,153.0,183.0,788.0,696.0,153.0,341.0,1012.0,799.0,153.0,720.0,153.0,249.0,267.0,153.0
1094.0,141.0,153.0,682.0,141.0,153.0,975.0,1094.0,1330.0,921.0,94.0,1226.0,153.0,794.0,370.0,921.0,205.0,183.0,183.0,141.0,1330.0,141.0,1348.0,1122.0,194.0
1453.0,55.0,141.0,194.0,921.0,203.0,204.0,153.0,720.0,341.0,1094.0,203.0,141.0,225.0,540.0,203.0,1256.0,1209.0,1313.0,55.0,1012.0,473.0,94.0,1274.0,682.0
696.0,975.0,55.0,341.0,203.0,201.0,201.0,141.0,1012.0,203.0,1460.0,80.0,203.0,221.0,153.0,682.0,153.0,219.0,975.0,203.0,799.0,341.0,1094.0,937.0,1256.0
921.0,204.0,921.0,203.0,194.0,141.0,1256.0,55.0,799.0,194.0,156.0,201.0,975.0,336.0,1256.0,975.0,194.0,,203.0,975.0,55.0,55.0,567.0,1135.0,696.0
341.0,189.0,203.0,974.0,341.0,194.0,153.0,1449.0,153.0,201.0,189.0,1339.0,201.0,885.0,1259.0,1226.0,974.0,,1012.0,204.0,203.0,203.0,1460.0,605.0,974.0
153.0,921.0,975.0,201.0,974.0,974.0,696.0,696.0,141.0,974.0,567.0,194.0,939.0,745.0,531.0,939.0,201.0,,153.0,1256.0,975.0,1256.0,156.0,272.0,201.0
1449.0,473.0,204.0,921.0,201.0,341.0,189.0,1256.0,1326.0,1256.0,46.0,375.0,1226.0,227.0,921.0,80.0,1012.0,,201.0,201.0,204.0,696.0,46.0,1282.0,939.0
1428.0,341.0,473.0,141.0,975.0,975.0,113.0,203.0,55.0,80.0,102.0,473.0,80.0,531.0,194.0,375.0,696.0,,1256.0,696.0,974.0,682.0,102.0,180.0,1226.0
141.0,80.0,341.0,1449.0,204.0,204.0,921.0,194.0,203.0,939.0,460.0,505.0,375.0,329.0,974.0,201.0,207.0,,696.0,939.0,201.0,201.0,1012.0,206.0,80.0
204.0,201.0,1226.0,1481.0,1256.0,1226.0,341.0,341.0,204.0,1339.0,1024.0,975.0,473.0,870.0,201.0,1339.0,975.0,,370.0,80.0,682.0,194.0,1024.0,135.0,975.0
203.0,1339.0,80.0,939.0,682.0,939.0,370.0,975.0,975.0,975.0,660.0,921.0,194.0,1460.0,203.0,505.0,204.0,,939.0,1339.0,939.0,974.0,660.0,1214.0,375.0
