targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.52,3.442324795832026,11.0,1.0,4.563139931740614
7.1,4.68,3.4839058540666676,11.0,1.0,4.809352517985611
7.2,4.92,3.9488732570190197,15.0,1.0,4.9888059701492535
7.3,4.92,3.9488732570190197,15.0,1.0,5.202334630350195
7.4,4.96,4.014772720839873,15.0,1.0,5.412955465587045
7.5,4.96,4.014772720839873,15.0,1.0,5.68936170212766
7.6,5.32,4.505285784498026,15.0,1.0,6.049773755656108
7.7,5.32,4.505285784498026,15.0,1.0,6.553921568627451
7.8,5.6,4.6303347611160905,15.0,1.0,7.074074074074074
7.9,5.64,4.714912512443894,16.0,1.0,7.683908045977011
8.0,6.16,4.888189849013641,16.0,1.0,8.152439024390244
8.1,6.88,5.609420647446579,22.0,1.0,9.34965034965035
8.2,6.88,5.609420647446579,22.0,1.0,10.4453125
8.3,6.88,5.609420647446579,22.0,1.0,11.235294117647058
8.4,7.24,5.530135622206746,22.0,1.0,12.154545454545454
8.5,7.28,5.539097399396403,22.0,1.0,13.927083333333334
8.6,7.28,5.539097399396403,22.0,1.0,15.367816091954023
8.7,7.28,5.539097399396403,22.0,1.0,16.304878048780488
8.8,7.76,5.968450385150236,22.0,1.0,17.592105263157894
8.9,7.84,5.89019524294399,22.0,1.0,18.830985915492956
9.0,7.92,6.0127863757163365,22.0,1.0,20.257575757575758
9.1,8.44,6.60956882103515,27.0,1.0,23.051724137931036
9.2,8.52,6.5429045537895485,27.0,1.0,24.30909090909091
9.3,8.52,6.5429045537895485,27.0,1.0,26.74
9.4,11.24,8.864671454712802,31.0,1.0,31.093023255813954
9.5,11.88,10.069041662442359,36.0,1.0,33.425
9.6,12.88,9.492396957565566,36.0,1.0,39.3235294117647
9.7,13.2,9.286549412995122,36.0,1.0,47.75
9.8,14.48,9.806610015698595,36.0,1.0,60.77272727272727
9.9,15.28,9.56878257669177,36.0,1.0,66.85
10.0,15.28,9.56878257669177,36.0,1.0,66.85
10.1,16.12,9.35658057198248,37.0,1.0,83.5625
10.2,16.52,10.202431082835112,42.0,1.0,89.13333333333334
10.3,16.52,10.202431082835112,42.0,1.0,102.84615384615384
10.4,16.52,10.202431082835112,42.0,1.0,102.84615384615384
10.5,16.52,10.202431082835112,42.0,1.0,121.54545454545455
10.6,17.36,11.274324813486617,54.0,1.0,267.4
10.7,17.36,11.274324813486617,54.0,1.0,267.4
10.8,17.84,10.872644572503967,54.0,1.0,445.6666666666667
10.9,24.4,12.13260071048248,66.0,14.0,668.5
11.0,24.4,12.13260071048248,66.0,14.0,668.5
11.100000000000001,24.4,12.13260071048248,66.0,14.0,668.5
11.2,24.4,12.13260071048248,66.0,14.0,668.5
11.3,24.4,12.13260071048248,66.0,14.0,668.5
11.4,24.4,12.13260071048248,66.0,14.0,668.5
11.4000078224159,24.4,12.13260071048248,66.0,14.0,668.5
