run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
319.0,271.0,289.0,978.0,1237.0,911.0,82.0,330.0,478.0,1287.0,81.0,194.0,535.0,606.0,983.0,503.0,291.0,1088.0,299.0,763.0,911.0,509.0,1221.0,611.0,234.0
349.0,1129.0,100.0,1301.0,930.0,824.0,753.0,178.0,576.0,629.0,849.0,559.0,1077.0,527.0,595.0,1129.0,832.0,1210.0,128.0,781.0,100.0,426.0,1048.0,280.0,1034.0
1326.0,1185.0,1317.0,1330.0,1185.0,1321.0,1317.0,1327.0,1322.0,1326.0,1119.0,1333.0,1335.0,1321.0,1316.0,1122.0,1122.0,1124.0,1329.0,1326.0,1334.0,1119.0,1316.0,1206.0,1068.0
1095.0,394.0,1147.0,286.0,1216.0,1152.0,1178.0,1105.0,1290.0,953.0,513.0,1181.0,1309.0,1280.0,585.0,102.0,1096.0,585.0,1126.0,1272.0,1252.0,946.0,1095.0,953.0,1216.0
442.0,932.0,146.0,2.0,336.0,32.0,759.0,1159.0,932.0,383.0,430.0,75.0,927.0,675.0,479.0,1274.0,891.0,384.0,434.0,107.0,954.0,803.0,690.0,180.0,1083.0
1306.0,720.0,617.0,325.0,1141.0,1291.0,721.0,770.0,1140.0,1166.0,974.0,703.0,49.0,1200.0,761.0,1204.0,1307.0,1248.0,129.0,659.0,1157.0,1070.0,761.0,732.0,1154.0
310.0,682.0,806.0,455.0,166.0,481.0,175.0,265.0,239.0,389.0,379.0,500.0,689.0,1047.0,1039.0,739.0,389.0,53.0,471.0,218.0,221.0,524.0,1040.0,118.0,403.0
318.0,424.0,1104.0,1066.0,883.0,802.0,669.0,886.0,901.0,904.0,717.0,960.0,1108.0,887.0,717.0,1104.0,804.0,804.0,428.0,804.0,568.0,890.0,309.0,669.0,200.0
191.0,614.0,843.0,908.0,460.0,70.0,4.0,197.0,362.0,193.0,1036.0,711.0,193.0,1116.0,486.0,740.0,25.0,533.0,740.0,520.0,614.0,800.0,122.0,54.0,711.0
998.0,851.0,852.0,1003.0,998.0,1165.0,1163.0,1145.0,1180.0,1015.0,857.0,982.0,1012.0,1059.0,985.0,1010.0,1003.0,1001.0,1045.0,1026.0,995.0,1162.0,1008.0,1008.0,863.0
1320.0,1329.0,1322.0,392.0,1321.0,1320.0,1320.0,1320.0,1321.0,1321.0,1321.0,392.0,1290.0,392.0,1320.0,1179.0,1321.0,837.0,1320.0,1320.0,392.0,1321.0,1320.0,1174.0,286.0
,392.0,1280.0,1320.0,1320.0,1328.0,1321.0,1321.0,1320.0,,1320.0,1320.0,1278.0,1320.0,1331.0,1167.0,1320.0,780.0,1321.0,,1320.0,1320.0,1321.0,1178.0,1321.0
,1320.0,1124.0,1331.0,1330.0,1331.0,1331.0,1331.0,392.0,,1314.0,1321.0,1295.0,1331.0,1321.0,1174.0,1331.0,1164.0,1333.0,,1321.0,1331.0,1328.0,972.0,1320.0
,1333.0,1324.0,1321.0,1331.0,1333.0,1333.0,1326.0,1331.0,,1328.0,1329.0,1263.0,1328.0,1328.0,1163.0,1328.0,79.0,1331.0,,1331.0,1326.0,1331.0,973.0,1331.0
,1331.0,1320.0,1328.0,1329.0,1329.0,1328.0,,1326.0,,1331.0,1328.0,1321.0,1330.0,1333.0,1166.0,1330.0,957.0,1328.0,,1328.0,,1330.0,1167.0,1329.0
,1327.0,1331.0,1333.0,1333.0,1327.0,1329.0,,,,1326.0,1331.0,1320.0,1333.0,1330.0,1165.0,1333.0,961.0,1330.0,,1333.0,,1333.0,1163.0,1328.0
,1321.0,1333.0,1327.0,1327.0,1326.0,1326.0,,,,,1326.0,1331.0,1327.0,1324.0,1070.0,1327.0,1071.0,1327.0,,1326.0,,1326.0,1173.0,1327.0
,1328.0,1328.0,1329.0,1328.0,,,,,,,,1326.0,1326.0,1327.0,1173.0,1329.0,1166.0,1326.0,,,,,1177.0,1330.0
,1326.0,1330.0,1326.0,1314.0,,,,,,,,,,1329.0,1278.0,1326.0,1165.0,,,,,,1165.0,1333.0
,,1327.0,,1326.0,,,,,,,,,,1326.0,1290.0,,1167.0,,,,,,1179.0,1325.0
,,1329.0,,,,,,,,,,,,,1263.0,,1163.0,,,,,,1321.0,1324.0
,,1326.0,,,,,,,,,,,,,1295.0,,1179.0,,,,,,1320.0,1334.0
,,,,,,,,,,,,,,,1321.0,,1076.0,,,,,,1329.0,392.0
,,,,,,,,,,,,,,,1320.0,,1178.0,,,,,,1331.0,1314.0
,,,,,,,,,,,,,,,1331.0,,966.0,,,,,,1328.0,1326.0
,,,,,,,,,,,,,,,1326.0,,1174.0,,,,,,1333.0,
,,,,,,,,,,,,,,,,,1169.0,,,,,,1315.0,
,,,,,,,,,,,,,,,,,1171.0,,,,,,1326.0,
,,,,,,,,,,,,,,,,,1172.0,,,,,,,
,,,,,,,,,,,,,,,,,1170.0,,,,,,,
,,,,,,,,,,,,,,,,,958.0,,,,,,,
,,,,,,,,,,,,,,,,,605.0,,,,,,,
,,,,,,,,,,,,,,,,,974.0,,,,,,,
,,,,,,,,,,,,,,,,,1173.0,,,,,,,
,,,,,,,,,,,,,,,,,272.0,,,,,,,
,,,,,,,,,,,,,,,,,590.0,,,,,,,
,,,,,,,,,,,,,,,,,278.0,,,,,,,
,,,,,,,,,,,,,,,,,828.0,,,,,,,
,,,,,,,,,,,,,,,,,1285.0,,,,,,,
,,,,,,,,,,,,,,,,,1177.0,,,,,,,
,,,,,,,,,,,,,,,,,1190.0,,,,,,,
,,,,,,,,,,,,,,,,,1204.0,,,,,,,
,,,,,,,,,,,,,,,,,1117.0,,,,,,,
,,,,,,,,,,,,,,,,,1214.0,,,,,,,
,,,,,,,,,,,,,,,,,1205.0,,,,,,,
,,,,,,,,,,,,,,,,,965.0,,,,,,,
,,,,,,,,,,,,,,,,,1303.0,,,,,,,
,,,,,,,,,,,,,,,,,1191.0,,,,,,,
,,,,,,,,,,,,,,,,,868.0,,,,,,,
,,,,,,,,,,,,,,,,,608.0,,,,,,,
,,,,,,,,,,,,,,,,,1175.0,,,,,,,
,,,,,,,,,,,,,,,,,1074.0,,,,,,,
,,,,,,,,,,,,,,,,,1197.0,,,,,,,
,,,,,,,,,,,,,,,,,1272.0,,,,,,,
,,,,,,,,,,,,,,,,,1216.0,,,,,,,
,,,,,,,,,,,,,,,,,1209.0,,,,,,,
,,,,,,,,,,,,,,,,,286.0,,,,,,,
,,,,,,,,,,,,,,,,,1257.0,,,,,,,
,,,,,,,,,,,,,,,,,1306.0,,,,,,,
,,,,,,,,,,,,,,,,,1258.0,,,,,,,
,,,,,,,,,,,,,,,,,1077.0,,,,,,,
,,,,,,,,,,,,,,,,,1296.0,,,,,,,
,,,,,,,,,,,,,,,,,1308.0,,,,,,,
,,,,,,,,,,,,,,,,,1269.0,,,,,,,
,,,,,,,,,,,,,,,,,1279.0,,,,,,,
,,,,,,,,,,,,,,,,,1273.0,,,,,,,
,,,,,,,,,,,,,,,,,1168.0,,,,,,,
,,,,,,,,,,,,,,,,,1075.0,,,,,,,
,,,,,,,,,,,,,,,,,1217.0,,,,,,,
,,,,,,,,,,,,,,,,,607.0,,,,,,,
,,,,,,,,,,,,,,,,,1270.0,,,,,,,
,,,,,,,,,,,,,,,,,1182.0,,,,,,,
,,,,,,,,,,,,,,,,,967.0,,,,,,,
,,,,,,,,,,,,,,,,,712.0,,,,,,,
,,,,,,,,,,,,,,,,,964.0,,,,,,,
,,,,,,,,,,,,,,,,,1070.0,,,,,,,
,,,,,,,,,,,,,,,,,1289.0,,,,,,,
,,,,,,,,,,,,,,,,,1069.0,,,,,,,
,,,,,,,,,,,,,,,,,950.0,,,,,,,
,,,,,,,,,,,,,,,,,1186.0,,,,,,,
,,,,,,,,,,,,,,,,,591.0,,,,,,,
,,,,,,,,,,,,,,,,,1187.0,,,,,,,
,,,,,,,,,,,,,,,,,1189.0,,,,,,,
,,,,,,,,,,,,,,,,,1256.0,,,,,,,
,,,,,,,,,,,,,,,,,952.0,,,,,,,
,,,,,,,,,,,,,,,,,1155.0,,,,,,,
,,,,,,,,,,,,,,,,,1320.0,,,,,,,
,,,,,,,,,,,,,,,,,1321.0,,,,,,,
,,,,,,,,,,,,,,,,,1314.0,,,,,,,
,,,,,,,,,,,,,,,,,1328.0,,,,,,,
,,,,,,,,,,,,,,,,,1331.0,,,,,,,
,,,,,,,,,,,,,,,,,1330.0,,,,,,,
,,,,,,,,,,,,,,,,,1329.0,,,,,,,
,,,,,,,,,,,,,,,,,1333.0,,,,,,,
,,,,,,,,,,,,,,,,,1327.0,,,,,,,
,,,,,,,,,,,,,,,,,1316.0,,,,,,,
,,,,,,,,,,,,,,,,,1315.0,,,,,,,
,,,,,,,,,,,,,,,,,1325.0,,,,,,,
,,,,,,,,,,,,,,,,,1323.0,,,,,,,
,,,,,,,,,,,,,,,,,1334.0,,,,,,,
,,,,,,,,,,,,,,,,,1326.0,,,,,,,
