targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,5.12,4.827587389162416,19.0,1.0,4.563139931740614
7.1,5.28,4.837520025798342,19.0,1.0,4.809352517985611
7.2,6.44,7.127860829168875,25.0,1.0,4.9888059701492535
7.3,6.44,7.127860829168875,25.0,1.0,5.202334630350195
7.4,6.92,8.034525499368334,25.0,1.0,5.412955465587045
7.5,6.92,8.034525499368334,25.0,1.0,5.68936170212766
7.6,8.12,9.860304254940617,36.0,1.0,6.049773755656108
7.7,8.12,9.860304254940617,36.0,1.0,6.553921568627451
7.8,8.44,9.85121312326558,36.0,1.0,7.074074074074074
7.9,9.0,10.917875251164945,36.0,1.0,7.683908045977011
8.0,9.4,10.8,36.0,1.0,8.152439024390244
8.1,13.72,17.254610977938622,61.0,1.0,9.34965034965035
8.2,13.88,17.256465455011345,61.0,1.0,10.4453125
8.3,13.88,17.256465455011345,61.0,1.0,11.235294117647058
8.4,15.56,18.13081355041742,61.0,1.0,12.154545454545454
8.5,15.6,18.115186998758805,61.0,1.0,13.927083333333334
8.6,17.4,20.855694665965935,61.0,1.0,15.367816091954023
8.7,18.2,22.59380446051528,71.0,1.0,16.304878048780488
8.8,18.96,23.370887873591798,75.0,1.0,17.592105263157894
8.9,19.32,23.316466284580947,75.0,1.0,18.830985915492956
9.0,19.4,23.37177785278647,75.0,1.0,20.257575757575758
9.1,23.12,25.66759825149209,75.0,1.0,23.051724137931036
9.2,23.2,25.60468707092512,75.0,1.0,24.30909090909091
9.3,25.48,29.34228348305564,97.0,1.0,26.74
9.4,38.8,35.58314207598874,97.0,1.0,31.093023255813954
9.5,38.8,35.58314207598874,97.0,1.0,33.425
9.6,74.64,76.6153405004507,273.0,1.0,39.3235294117647
9.7,83.32,84.82675049770562,305.0,1.0,47.75
9.8,108.84,107.97469333135426,354.0,1.0,60.77272727272727
9.9,118.28,114.16882937124302,434.0,1.0,66.85
10.0,118.28,114.16882937124302,434.0,1.0,66.85
10.1,119.56,113.2406570097507,434.0,1.0,83.5625
10.2,119.56,113.2406570097507,434.0,1.0,89.13333333333334
10.3,119.8,113.4883253907643,436.0,1.0,102.84615384615384
10.4,119.8,113.4883253907643,436.0,1.0,102.84615384615384
10.5,120.16,113.86577361086167,439.0,1.0,121.54545454545455
10.6,212.8,213.2048779929765,660.0,1.0,267.4
10.7,212.8,213.2048779929765,660.0,1.0,267.4
10.8,214.36,212.84677681374455,660.0,1.0,445.6666666666667
10.9,218.52,210.43481080847818,660.0,17.0,668.5
11.0,218.52,210.43481080847818,660.0,17.0,668.5
11.100000000000001,218.52,210.43481080847818,660.0,17.0,668.5
11.2,218.52,210.43481080847818,660.0,17.0,668.5
11.3,218.52,210.43481080847818,660.0,17.0,668.5
11.4,218.52,210.43481080847818,660.0,17.0,668.5
11.4000078224159,218.52,210.43481080847818,660.0,17.0,668.5
