targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.48,1.0244998779892558,5.0,1.0,2.1475501113585747
7.1,1.48,1.0244998779892558,5.0,1.0,2.226905311778291
7.2,1.52,1.0244998779892556,5.0,1.0,2.289020771513353
7.3,1.6,1.0583005244258363,5.0,1.0,2.4046134663341645
7.4,1.6,1.0583005244258363,5.0,1.0,2.512703583061889
7.5,1.6,1.0583005244258363,5.0,1.0,2.5833891493636973
7.6,1.6,1.0583005244258363,5.0,1.0,2.685933147632312
7.7,1.6,1.0583005244258363,5.0,1.0,2.836029411764706
7.8,1.72,1.149608629055993,5.0,1.0,2.9578220858895707
7.9,1.72,1.149608629055993,5.0,1.0,3.090544871794872
8.0,1.72,1.149608629055993,5.0,1.0,3.1981757877280264
8.1,1.72,1.149608629055993,5.0,1.0,3.40423654015887
8.2,1.72,1.149608629055993,5.0,1.0,3.5581180811808117
8.3,1.72,1.149608629055993,5.0,1.0,3.748299319727891
8.4,1.96,1.3410443691392167,5.0,1.0,4.0814814814814815
8.5,1.96,1.3410443691392167,5.0,1.0,4.252480705622933
8.6,2.04,1.341044369139217,5.0,1.0,4.7094017094017095
8.7,2.04,1.341044369139217,5.0,1.0,5.432394366197183
8.8,2.4,2.65329983228432,14.0,1.0,5.879573170731708
8.9,2.4,2.65329983228432,14.0,1.0,6.2920065252854815
9.0,2.4,2.65329983228432,14.0,1.0,6.63855421686747
9.1,2.56,2.684473877690003,14.0,1.0,7.9855072463768115
9.2,2.56,2.684473877690003,14.0,1.0,8.826086956521738
9.3,2.72,2.6611275805567836,14.0,1.0,10.123359580052494
9.4,4.44,5.55755341854669,27.0,1.0,11.652567975830816
9.5,5.04,5.949655452208976,27.0,1.0,13.119047619047619
9.6,5.64,6.4861699021841845,31.0,1.0,15.18503937007874
9.7,5.8,6.493073232299172,31.0,1.0,18.723300970873787
9.8,6.52,7.6687417481618185,33.0,1.0,21.07650273224044
9.9,6.68,7.582717191086584,33.0,1.0,23.095808383233532
10.0,7.12,8.87837823028508,35.0,1.0,26.06081081081081
10.1,8.88,10.080952335965089,41.0,1.0,33.833333333333336
10.2,8.96,10.065704148245171,41.0,1.0,39.357142857142854
10.3,9.4,9.891410415102591,41.0,1.0,45.37647058823529
10.4,12.44,12.630376083078446,48.0,1.0,63.22950819672131
10.5,12.76,13.173549255990201,52.0,1.0,72.77358490566037
10.6,12.76,13.173549255990201,52.0,1.0,85.71111111111111
10.7,16.44,19.382631400302696,71.0,1.0,137.75
10.8,16.92,19.241455246420422,71.0,1.0,148.34615384615384
10.9,19.24,19.759109291665958,71.0,1.0,183.66666666666666
11.0,22.92,20.87087923399491,71.0,1.0,214.27777777777777
11.100000000000001,52.76,54.11637829714771,179.0,1.0,385.7
11.2,109.56,148.09215509269896,649.0,1.0,482.125
11.3,110.44,148.5554657358658,649.0,1.0,551.0
11.39794001,153.8,206.22647744651994,668.0,1.0,964.25
