targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.44,2.099142682144308,11.0,1.0,2.426448736998514
7.1,2.44,2.099142682144308,11.0,1.0,2.504601226993865
7.2,2.44,2.099142682144308,11.0,1.0,2.5595611285266457
7.3,2.72,2.569357896440276,11.0,1.0,2.6338709677419354
7.4,2.84,2.556247249387273,11.0,1.0,2.7216666666666667
7.5,3.0,2.6229754097208002,11.0,1.0,2.8010291595197256
7.6,3.36,2.8125433329995118,11.0,1.0,2.880070546737213
7.7,3.36,2.8125433329995118,11.0,1.0,2.9744990892531877
7.8,3.44,2.801142624001855,11.0,1.0,3.128352490421456
7.9,3.64,2.9917219122104255,11.0,1.0,3.2923387096774195
8.0,3.64,2.9917219122104255,11.0,1.0,3.4597457627118646
8.1,3.92,3.018873962258113,11.0,1.0,3.8605200945626477
8.2,4.16,3.3187949620306463,13.0,1.0,4.176470588235294
8.3,4.8,3.8366652186501753,14.0,1.0,4.511049723756906
8.4,4.92,4.068611556784452,14.0,1.0,5.071428571428571
8.5,5.32,4.076469060351126,14.0,1.0,5.371710526315789
8.6,5.8,4.049691346263317,14.0,1.0,6.0036764705882355
8.7,6.2,4.489988864128729,18.0,1.0,7.595348837209302
8.8,6.92,4.57751024029439,18.0,1.0,8.732620320855615
8.9,8.96,7.00559776179021,30.0,1.0,10.467948717948717
9.0,9.24,7.123369988986953,31.0,1.0,11.748201438848922
9.1,14.64,15.030316031274925,67.0,1.0,16.663265306122447
9.2,15.84,15.127934426087391,67.0,1.0,21.486842105263158
9.3,25.24,19.190164147291704,67.0,1.0,29.69090909090909
9.4,30.68,22.867828930617787,108.0,1.0,37.97674418604651
9.5,36.0,22.953866776645715,108.0,1.0,41.87179487179487
9.6,36.44,23.205309737213163,108.0,1.0,51.03125
9.7,62.16,70.86250348385951,329.0,1.0,77.76190476190476
9.8,65.56,71.65867986503798,342.0,1.0,108.86666666666666
9.9,78.2,77.87477126772188,351.0,19.0,272.1666666666667
10.0,81.76,78.0585831283146,351.0,22.0,326.6
10.096910013008056,86.68,77.76051440159074,351.0,22.0,816.5
