run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
556.0,497.0,518.0,433.0,592.0,996.0,193.0,700.0,930.0,832.0,169.0,434.0,976.0,713.0,221.0,963.0,524.0,292.0,542.0,518.0,292.0,968.0,109.0,518.0,463.0
161.0,665.0,30.0,622.0,614.0,587.0,508.0,77.0,266.0,175.0,606.0,247.0,728.0,229.0,696.0,665.0,598.0,630.0,43.0,43.0,732.0,175.0,151.0,121.0,622.0
1031.0,647.0,981.0,521.0,925.0,206.0,981.0,1033.0,1025.0,255.0,882.0,841.0,103.0,206.0,637.0,101.0,629.0,255.0,1042.0,501.0,840.0,100.0,570.0,981.0,570.0
824.0,222.0,923.0,923.0,1002.0,927.0,978.0,883.0,126.0,835.0,285.0,987.0,102.0,372.0,409.0,47.0,835.0,773.0,895.0,953.0,222.0,590.0,991.0,967.0,1002.0
382.0,483.0,85.0,2.0,240.0,23.0,653.0,644.0,529.0,85.0,373.0,36.0,14.0,736.0,294.0,552.0,684.0,85.0,381.0,381.0,420.0,662.0,37.0,585.0,884.0
784.0,769.0,618.0,319.0,197.0,1015.0,864.0,974.0,1019.0,709.0,378.0,853.0,784.0,775.0,1019.0,690.0,793.0,418.0,157.0,722.0,328.0,491.0,675.0,563.0,1015.0
620.0,809.0,969.0,814.0,392.0,1050.0,401.0,909.0,917.0,393.0,1005.0,844.0,439.0,869.0,705.0,1020.0,753.0,413.0,827.0,270.0,421.0,913.0,1003.0,531.0,750.0
98.0,17.0,143.0,139.0,704.0,649.0,643.0,176.0,486.0,649.0,689.0,75.0,548.0,167.0,646.0,218.0,730.0,325.0,739.0,739.0,739.0,739.0,689.0,643.0,191.0
368.0,226.0,805.0,828.0,1035.0,938.0,51.0,436.0,945.0,584.0,938.0,366.0,945.0,207.0,441.0,879.0,111.0,878.0,313.0,112.0,568.0,945.0,800.0,986.0,111.0
752.0,329.0,329.0,899.0,794.0,499.0,426.0,341.0,670.0,1047.0,1047.0,862.0,702.0,362.0,794.0,794.0,362.0,329.0,298.0,168.0,770.0,422.0,194.0,303.0,482.0
96.0,96.0,96.0,96.0,96.0,754.0,96.0,96.0,96.0,96.0,550.0,96.0,96.0,96.0,96.0,294.0,96.0,96.0,96.0,774.0,96.0,96.0,96.0,96.0,96.0
465.0,801.0,118.0,798.0,453.0,682.0,754.0,208.0,754.0,927.0,43.0,751.0,798.0,751.0,514.0,682.0,801.0,927.0,236.0,465.0,754.0,774.0,906.0,754.0,800.0
26.0,453.0,380.0,221.0,556.0,553.0,465.0,803.0,682.0,801.0,130.0,909.0,226.0,550.0,908.0,129.0,556.0,400.0,774.0,130.0,994.0,451.0,220.0,378.0,400.0
380.0,556.0,801.0,517.0,981.0,220.0,801.0,434.0,129.0,682.0,546.0,219.0,797.0,807.0,1014.0,927.0,453.0,220.0,982.0,797.0,514.0,751.0,553.0,220.0,465.0
43.0,981.0,621.0,981.0,982.0,96.0,797.0,162.0,43.0,550.0,381.0,982.0,752.0,774.0,289.0,557.0,798.0,797.0,514.0,621.0,774.0,934.0,554.0,514.0,801.0
35.0,206.0,754.0,463.0,132.0,683.0,400.0,221.0,121.0,129.0,380.0,803.0,772.0,236.0,554.0,783.0,911.0,208.0,1003.0,754.0,797.0,798.0,39.0,517.0,927.0
130.0,982.0,911.0,801.0,206.0,129.0,927.0,461.0,465.0,400.0,26.0,403.0,966.0,341.0,220.0,96.0,751.0,754.0,906.0,434.0,463.0,369.0,774.0,206.0,102.0
468.0,403.0,802.0,797.0,514.0,218.0,460.0,1004.0,130.0,465.0,92.0,941.0,227.0,754.0,583.0,751.0,545.0,434.0,130.0,514.0,981.0,909.0,981.0,982.0,446.0
550.0,514.0,811.0,994.0,403.0,380.0,883.0,581.0,514.0,557.0,908.0,906.0,981.0,403.0,290.0,928.0,992.0,882.0,403.0,993.0,982.0,941.0,132.0,403.0,883.0
597.0,517.0,992.0,807.0,378.0,550.0,102.0,344.0,774.0,130.0,651.0,754.0,751.0,380.0,129.0,984.0,512.0,929.0,797.0,219.0,403.0,219.0,206.0,453.0,440.0
460.0,754.0,240.0,752.0,517.0,906.0,446.0,798.0,993.0,783.0,70.0,220.0,994.0,982.0,783.0,402.0,991.0,928.0,8.0,463.0,453.0,207.0,311.0,556.0,797.0
