targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,154.6,112.68398289020494,454.0,4.0,79.1
7.1,154.6,112.68398289020494,454.0,4.0,79.1
7.2,155.28,111.82111428527264,454.0,6.0,87.88888888888889
7.3,155.28,111.82111428527264,454.0,6.0,87.88888888888889
7.4,155.28,111.82111428527264,454.0,6.0,87.88888888888889
7.5,155.36,111.76363630447965,454.0,6.0,98.875
7.6,155.36,111.76363630447965,454.0,6.0,98.875
7.7,155.36,111.76363630447965,454.0,6.0,98.875
7.8,155.52,111.57387507835335,454.0,6.0,113.0
7.9,155.52,111.57387507835335,454.0,6.0,113.0
8.0,157.56,111.08234063072312,464.0,15.0,197.75
8.1,157.56,111.08234063072312,464.0,15.0,197.75
8.2,157.56,111.08234063072312,464.0,15.0,197.75
8.3,157.56,111.08234063072312,464.0,15.0,197.75
8.4,189.76,106.96738942313216,464.0,26.0,263.6666666666667
8.5,189.76,106.96738942313216,464.0,26.0,263.6666666666667
8.6,199.16,108.83774345327085,471.0,50.0,395.5
8.7,199.16,108.83774345327085,471.0,50.0,395.5
8.8,199.16,108.83774345327085,471.0,50.0,395.5
8.9,199.16,108.83774345327085,471.0,50.0,395.5
9.0,199.16,108.83774345327085,471.0,50.0,395.5
9.1,199.16,108.83774345327085,471.0,50.0,395.5
9.2,199.16,108.83774345327085,471.0,50.0,395.5
9.3,199.16,108.83774345327085,471.0,50.0,395.5
9.327902142064282,199.16,108.83774345327085,471.0,50.0,395.5
