targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,22.32,18.196087491546088,55.0,5.0,79.1
7.1,22.32,18.196087491546088,55.0,5.0,79.1
7.2,23.2,17.595453958338215,55.0,5.0,87.88888888888889
7.3,23.2,17.595453958338215,55.0,5.0,87.88888888888889
7.4,23.2,17.595453958338215,55.0,5.0,87.88888888888889
7.5,23.2,17.595453958338215,55.0,5.0,98.875
7.6,23.2,17.595453958338215,55.0,5.0,98.875
7.7,23.2,17.595453958338215,55.0,5.0,98.875
7.8,23.44,17.48160175727613,55.0,5.0,113.0
7.9,23.44,17.48160175727613,55.0,5.0,113.0
8.0,23.96,17.30082078977758,55.0,5.0,197.75
8.1,23.96,17.30082078977758,55.0,5.0,197.75
8.2,23.96,17.30082078977758,55.0,5.0,197.75
8.3,23.96,17.30082078977758,55.0,5.0,197.75
8.4,70.48,53.643355599738534,203.0,5.0,263.6666666666667
8.5,70.48,53.643355599738534,203.0,5.0,263.6666666666667
8.6,74.64,56.210233943651225,203.0,5.0,395.5
8.7,74.64,56.210233943651225,203.0,5.0,395.5
8.8,74.64,56.210233943651225,203.0,5.0,395.5
8.9,74.64,56.210233943651225,203.0,5.0,395.5
9.0,74.64,56.210233943651225,203.0,5.0,395.5
9.1,74.64,56.210233943651225,203.0,5.0,395.5
9.2,74.64,56.210233943651225,203.0,5.0,395.5
9.3,74.64,56.210233943651225,203.0,5.0,395.5
9.327902142064282,74.64,56.210233943651225,203.0,5.0,395.5
