run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
519.0,634.0,248.0,613.0,757.0,417.0,293.0,626.0,236.0,496.0,450.0,398.0,555.0,567.0,398.0,739.0,88.0,175.0,512.0,562.0,236.0,58.0,287.0,195.0,399.0
274.0,274.0,296.0,559.0,255.0,248.0,508.0,372.0,493.0,739.0,507.0,101.0,139.0,706.0,84.0,296.0,255.0,293.0,720.0,692.0,398.0,204.0,310.0,236.0,776.0
296.0,297.0,293.0,776.0,692.0,119.0,141.0,580.0,626.0,310.0,255.0,534.0,151.0,236.0,353.0,372.0,528.0,634.0,692.0,461.0,496.0,151.0,367.0,530.0,151.0
776.0,701.0,776.0,84.0,205.0,567.0,534.0,195.0,46.0,559.0,310.0,559.0,88.0,777.0,57.0,567.0,461.0,353.0,310.0,245.0,493.0,507.0,372.0,519.0,496.0
496.0,507.0,739.0,496.0,204.0,634.0,493.0,450.0,736.0,562.0,367.0,641.0,461.0,353.0,512.0,613.0,73.0,613.0,46.0,512.0,353.0,119.0,297.0,101.0,372.0
720.0,508.0,559.0,97.0,682.0,496.0,682.0,139.0,399.0,236.0,648.0,648.0,450.0,776.0,777.0,757.0,496.0,526.0,175.0,450.0,399.0,562.0,580.0,613.0,245.0
680.0,530.0,450.0,367.0,680.0,293.0,526.0,274.0,58.0,255.0,213.0,692.0,97.0,461.0,757.0,101.0,248.0,248.0,71.0,203.0,15.0,236.0,245.0,293.0,236.0
692.0,739.0,720.0,736.0,626.0,245.0,512.0,156.0,367.0,297.0,58.0,231.0,739.0,372.0,530.0,701.0,119.0,736.0,528.0,526.0,551.0,293.0,648.0,507.0,555.0
512.0,399.0,236.0,101.0,73.0,195.0,195.0,417.0,508.0,213.0,378.0,57.0,293.0,720.0,507.0,205.0,641.0,372.0,648.0,757.0,461.0,245.0,139.0,634.0,634.0
701.0,736.0,151.0,567.0,367.0,512.0,701.0,57.0,139.0,355.0,204.0,205.0,195.0,519.0,355.0,781.0,274.0,739.0,739.0,84.0,73.0,141.0,231.0,97.0,141.0
0.0,379.0,260.0,32.0,0.0,0.0,236.0,0.0,32.0,260.0,0.0,75.0,260.0,738.0,0.0,601.0,75.0,737.0,601.0,601.0,416.0,260.0,0.0,260.0,718.0
1.0,641.0,416.0,530.0,1.0,1.0,260.0,1.0,71.0,738.0,1.0,,601.0,601.0,1.0,236.0,,354.0,236.0,236.0,718.0,718.0,1.0,738.0,416.0
2.0,,718.0,71.0,2.0,2.0,416.0,2.0,530.0,601.0,2.0,,416.0,718.0,2.0,416.0,,789.0,416.0,416.0,237.0,416.0,2.0,235.0,237.0
3.0,,237.0,779.0,3.0,3.0,718.0,3.0,641.0,718.0,3.0,,718.0,416.0,3.0,260.0,,747.0,718.0,237.0,235.0,237.0,3.0,425.0,235.0
4.0,,235.0,398.0,4.0,4.0,237.0,4.0,,416.0,4.0,,237.0,237.0,4.0,718.0,,398.0,237.0,718.0,601.0,235.0,4.0,237.0,738.0
5.0,,425.0,737.0,5.0,5.0,235.0,5.0,,237.0,5.0,,236.0,43.0,5.0,237.0,,654.0,399.0,260.0,738.0,738.0,5.0,416.0,62.0
6.0,,184.0,601.0,6.0,6.0,713.0,6.0,,235.0,6.0,,235.0,235.0,6.0,235.0,,751.0,235.0,235.0,742.0,470.0,6.0,718.0,260.0
7.0,,738.0,681.0,7.0,7.0,738.0,7.0,,742.0,7.0,,470.0,713.0,7.0,738.0,,681.0,738.0,738.0,260.0,742.0,7.0,601.0,349.0
8.0,,329.0,654.0,8.0,8.0,184.0,8.0,,713.0,8.0,,738.0,62.0,8.0,713.0,,207.0,62.0,184.0,713.0,601.0,8.0,184.0,713.0
9.0,,713.0,760.0,9.0,9.0,349.0,9.0,,329.0,9.0,,742.0,329.0,9.0,329.0,,359.0,184.0,713.0,184.0,713.0,9.0,713.0,742.0
10.0,,742.0,650.0,10.0,10.0,105.0,10.0,,184.0,10.0,,713.0,739.0,10.0,742.0,,650.0,329.0,329.0,329.0,266.0,10.0,742.0,192.0
11.0,,526.0,260.0,11.0,11.0,739.0,11.0,,519.0,11.0,,329.0,708.0,11.0,519.0,,101.0,742.0,742.0,739.0,329.0,11.0,329.0,526.0
12.0,,349.0,381.0,12.0,12.0,708.0,12.0,,526.0,12.0,,184.0,377.0,12.0,184.0,,760.0,519.0,377.0,519.0,739.0,12.0,739.0,184.0
13.0,,470.0,747.0,13.0,13.0,329.0,13.0,,105.0,13.0,,526.0,526.0,13.0,526.0,,652.0,713.0,552.0,43.0,184.0,13.0,526.0,105.0
14.0,,105.0,349.0,14.0,14.0,372.0,14.0,,552.0,14.0,,708.0,184.0,14.0,349.0,,750.0,708.0,105.0,377.0,519.0,14.0,708.0,739.0
