targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,20.56,22.387639446801888,81.0,1.0,36.00917431192661
4.2,22.16,24.23333241632277,81.0,1.0,40.885416666666664
4.3,23.44,23.99513283980733,82.0,1.0,49.68354430379747
4.4,23.44,23.99513283980733,82.0,1.0,54.513888888888886
4.5,25.68,24.67504002023097,82.0,1.0,60.38461538461539
4.6,25.68,24.67504002023097,82.0,1.0,74.05660377358491
4.7,31.2,25.78061287091523,82.0,1.0,91.27906976744185
4.8,33.96,27.8675151385982,88.0,1.0,118.93939393939394
4.9,34.28,27.670229489471172,88.0,1.0,140.17857142857142
5.0,77.32,141.18972200553412,745.0,5.0,206.57894736842104
5.1,77.32,141.18972200553412,745.0,5.0,230.88235294117646
5.2,90.52,139.9731745728445,745.0,5.0,280.35714285714283
5.3,90.52,139.9731745728445,745.0,5.0,301.9230769230769
5.4,90.96,139.8975282126171,745.0,5.0,327.0833333333333
5.5,90.96,139.8975282126171,745.0,5.0,327.0833333333333
5.6,126.68,186.74725593700165,973.0,5.0,392.5
5.7,126.68,186.74725593700165,973.0,5.0,392.5
5.8,153.32,185.83319832581046,973.0,5.0,490.625
5.9,176.72,209.3809007526713,1122.0,5.0,560.7142857142857
6.0,176.72,209.3809007526713,1122.0,5.0,560.7142857142857
6.1,176.72,209.3809007526713,1122.0,5.0,560.7142857142857
6.2,176.72,209.3809007526713,1122.0,5.0,560.7142857142857
6.300000000000001,176.72,209.3809007526713,1122.0,5.0,560.7142857142857
6.4,176.72,209.3809007526713,1122.0,5.0,560.7142857142857
6.5,176.72,209.3809007526713,1122.0,5.0,654.1666666666666
6.6,176.72,209.3809007526713,1122.0,5.0,785.0
6.7,176.72,209.3809007526713,1122.0,5.0,785.0
6.800000000000001,176.72,209.3809007526713,1122.0,5.0,785.0
6.9,176.72,209.3809007526713,1122.0,5.0,981.25
7.0,176.72,209.3809007526713,1122.0,5.0,981.25
7.1,176.72,209.3809007526713,1122.0,5.0,981.25
7.2,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.300000000000001,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.4,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.5,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.6,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.7,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.800000000000001,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.9,176.72,209.3809007526713,1122.0,5.0,1308.3333333333333
7.980366666666666,238.48,223.82870593380107,1247.0,8.0,1962.5
