targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,79.36,76.18812505896179,314.0,4.0,69.62711864406779
4.2,81.32,76.54474247131542,314.0,4.0,76.07407407407408
4.3,92.32,81.88026380025897,314.0,4.0,89.30434782608695
4.4,95.56,87.04209556300904,314.0,4.0,108.10526315789474
4.5,96.16,86.93891188645047,314.0,4.0,120.82352941176471
4.6,106.08,84.92157323083457,314.0,12.0,128.375
4.7,132.32,105.82238704546405,384.0,12.0,146.71428571428572
4.8,148.36,136.38647440270609,519.0,12.0,164.32
4.9,192.0,203.5583454442485,880.0,12.0,195.61904761904762
5.0,193.72,203.35712822519892,880.0,12.0,205.4
5.1,198.04,201.77521750700706,880.0,12.0,241.64705882352942
5.2,199.16,201.12556873754266,880.0,12.0,273.8666666666667
5.3,199.16,201.12556873754266,880.0,12.0,293.42857142857144
5.4,199.16,201.12556873754266,880.0,12.0,293.42857142857144
5.5,201.04,200.8976814201697,880.0,12.0,342.3333333333333
5.6,203.96,201.6286646288171,880.0,12.0,373.45454545454544
5.7,204.12,201.82236149644072,880.0,12.0,456.44444444444446
5.8,204.12,201.82236149644072,880.0,12.0,456.44444444444446
5.9,204.12,201.82236149644072,880.0,12.0,456.44444444444446
6.0,204.12,201.82236149644072,880.0,12.0,456.44444444444446
6.1,209.36,198.46488455139863,880.0,12.0,513.5
6.2,209.36,198.46488455139863,880.0,12.0,513.5
6.300000000000001,228.44,208.4614266477134,880.0,12.0,586.8571428571429
6.4,228.44,208.4614266477134,880.0,12.0,586.8571428571429
6.5,228.44,208.4614266477134,880.0,12.0,586.8571428571429
6.6,228.44,208.4614266477134,880.0,12.0,586.8571428571429
6.7,228.44,208.4614266477134,880.0,12.0,586.8571428571429
6.800000000000001,228.44,208.4614266477134,880.0,12.0,586.8571428571429
6.9,233.96,210.11187115439242,907.0,12.0,684.6666666666666
7.0,257.36,209.7558351989284,959.0,12.0,821.6
7.1,257.36,209.7558351989284,959.0,12.0,821.6
7.2,257.36,209.7558351989284,959.0,12.0,821.6
7.300000000000001,285.88,230.4713986593564,959.0,12.0,1027.0
7.4,285.88,230.4713986593564,959.0,12.0,1027.0
7.5,286.04,230.44677997316435,959.0,13.0,1369.3333333333333
7.6,286.04,230.44677997316435,959.0,13.0,1369.3333333333333
7.7,286.04,230.44677997316435,959.0,13.0,1369.3333333333333
7.800000000000001,286.04,230.44677997316435,959.0,13.0,1369.3333333333333
7.9,290.36,231.46228720895337,959.0,34.0,2054.0
7.910101950316908,290.36,231.46228720895337,959.0,34.0,2054.0
