targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,43.541666666666664,34.30012046464107,119.0,2.0,52.61538461538461
4.2,43.541666666666664,34.30012046464107,119.0,2.0,53.4375
4.3,46.208333333333336,37.355253051686795,119.0,2.0,61.07142857142857
4.4,46.25,37.34997768852524,119.0,2.0,62.18181818181818
4.5,48.875,41.1575352558111,136.0,2.0,65.76923076923077
4.6,60.291666666666664,46.709634237013205,147.0,2.0,69.79591836734694
4.7,70.54166666666667,49.21634143136697,164.0,2.0,97.71428571428571
4.8,71.20833333333333,49.08494267310722,164.0,2.0,114.0
4.9,71.20833333333333,49.08494267310722,164.0,2.0,117.93103448275862
5.0,80.91666666666667,54.524395661228766,179.0,3.0,148.69565217391303
5.1,82.45833333333333,54.519858130368924,179.0,3.0,180.0
5.2,82.45833333333333,54.519858130368924,179.0,3.0,190.0
5.3,85.83333333333333,56.21437143253987,179.0,3.0,228.0
5.4,85.83333333333333,56.21437143253987,179.0,3.0,228.0
5.5,173.29166666666666,140.17533043973498,444.0,3.0,263.0769230769231
5.6,188.04166666666666,140.6047886710201,444.0,3.0,285.0
5.7,210.95833333333334,153.1979871404611,520.0,3.0,380.0
5.8,210.95833333333334,153.1979871404611,520.0,3.0,380.0
5.9,211.29166666666666,153.1979871404611,520.0,3.0,488.57142857142856
6.0,211.29166666666666,153.1979871404611,520.0,3.0,488.57142857142856
6.1,240.58333333333334,147.0620381184606,520.0,14.0,570.0
6.2,240.58333333333334,147.0620381184606,520.0,14.0,570.0
6.300000000000001,241.08333333333334,146.9115143736377,520.0,14.0,684.0
6.4,242.25,146.38369957068306,520.0,14.0,855.0
6.5,244.0,145.58559910467335,520.0,14.0,1140.0
6.6,244.0,145.58559910467335,520.0,14.0,1140.0
6.7,244.0,145.58559910467335,520.0,14.0,1140.0
6.800000000000001,244.0,145.58559910467335,520.0,14.0,1140.0
6.9,864.2083333333334,604.3912212002164,1568.0,27.0,1710.0
7.0,864.2083333333334,604.3912212002164,1568.0,27.0,1710.0
7.0137,864.2083333333334,604.3912212002164,1568.0,27.0,1710.0
