run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23
2358.0,1881.0,1664.0,1382.0,1272.0,163.0,499.0,1116.0,63.0,2959.0,1057.0,1715.0,241.0,285.0,2979.0,2151.0,2456.0,1523.0,217.0,1391.0,3354.0,251.0,2448.0,647.0
182.0,1195.0,993.0,2106.0,1741.0,1595.0,3085.0,2004.0,1330.0,2421.0,1772.0,1240.0,767.0,2775.0,1528.0,2393.0,2086.0,2388.0,2446.0,274.0,3124.0,1602.0,1097.0,2736.0
33.0,3110.0,2911.0,1369.0,2875.0,1864.0,1241.0,3157.0,1832.0,2519.0,1186.0,1885.0,2330.0,2494.0,2564.0,1436.0,2313.0,1702.0,3103.0,2224.0,2638.0,1243.0,939.0,77.0
3118.0,2614.0,994.0,2826.0,3311.0,2805.0,1475.0,1918.0,2589.0,1704.0,3043.0,2742.0,3107.0,2484.0,412.0,2243.0,1713.0,1208.0,2206.0,2136.0,1527.0,1020.0,2047.0,3016.0
499.0,2429.0,137.0,914.0,716.0,2842.0,1562.0,1703.0,380.0,871.0,1094.0,836.0,3224.0,1557.0,1655.0,289.0,2645.0,179.0,1761.0,649.0,257.0,265.0,2111.0,433.0
1449.0,1141.0,1959.0,1109.0,880.0,2491.0,2699.0,1397.0,675.0,2063.0,725.0,14.0,483.0,1112.0,1859.0,2639.0,2945.0,3360.0,958.0,1680.0,338.0,104.0,1627.0,1621.0
1032.0,2722.0,338.0,821.0,719.0,544.0,2773.0,1396.0,1712.0,1735.0,2637.0,3266.0,1280.0,2080.0,2096.0,1174.0,3020.0,2833.0,2862.0,1066.0,431.0,711.0,3216.0,2440.0
1953.0,453.0,1719.0,1228.0,2442.0,1373.0,3064.0,244.0,2597.0,1079.0,2346.0,2063.0,1790.0,1063.0,372.0,2134.0,2885.0,1476.0,2200.0,2338.0,701.0,24.0,2939.0,1762.0
548.0,1381.0,1416.0,3117.0,1858.0,3100.0,1725.0,2345.0,3171.0,1011.0,2818.0,2400.0,2561.0,1017.0,793.0,2349.0,2078.0,1725.0,1418.0,948.0,245.0,345.0,483.0,965.0
983.0,1357.0,1364.0,2785.0,111.0,1056.0,80.0,1332.0,3382.0,1480.0,1050.0,2087.0,2078.0,1393.0,892.0,350.0,778.0,574.0,873.0,557.0,1037.0,3395.0,1258.0,1430.0
2042.0,1117.0,669.0,511.0,2989.0,2800.0,993.0,284.0,18.0,1867.0,266.0,862.0,5.0,2832.0,909.0,932.0,5.0,2548.0,2784.0,1361.0,1834.0,1711.0,1838.0,2527.0
2877.0,876.0,2848.0,1448.0,1636.0,285.0,2856.0,420.0,1557.0,2687.0,1903.0,1601.0,2313.0,2827.0,78.0,2738.0,2330.0,1396.0,2939.0,330.0,1146.0,3110.0,2529.0,1893.0
2993.0,730.0,2846.0,3385.0,1838.0,1018.0,1386.0,2428.0,2825.0,587.0,699.0,870.0,2534.0,2324.0,690.0,50.0,1779.0,2003.0,1706.0,1418.0,3266.0,1117.0,361.0,1861.0
2817.0,1413.0,975.0,694.0,767.0,1165.0,414.0,2421.0,3051.0,1165.0,1294.0,535.0,3101.0,1536.0,3124.0,2909.0,1182.0,3193.0,2603.0,1283.0,1910.0,876.0,1229.0,1257.0
657.0,266.0,2248.0,356.0,1672.0,1511.0,3238.0,2433.0,643.0,3011.0,612.0,2357.0,33.0,1883.0,2982.0,571.0,1836.0,613.0,2568.0,2391.0,2386.0,730.0,53.0,1279.0
11.0,627.0,731.0,723.0,2534.0,763.0,246.0,2866.0,2144.0,2250.0,2020.0,3094.0,551.0,92.0,796.0,2683.0,1806.0,204.0,1740.0,817.0,2159.0,480.0,814.0,2400.0
861.0,3374.0,1869.0,2766.0,2494.0,1103.0,1720.0,1581.0,1181.0,2449.0,2493.0,149.0,1002.0,879.0,2779.0,480.0,3101.0,1867.0,2006.0,954.0,2470.0,375.0,258.0,785.0
1391.0,1926.0,123.0,244.0,381.0,1911.0,2671.0,3392.0,1073.0,840.0,795.0,2230.0,2903.0,1792.0,3316.0,1373.0,2065.0,666.0,878.0,1729.0,515.0,266.0,1520.0,411.0
571.0,343.0,1883.0,2284.0,366.0,702.0,1312.0,313.0,2360.0,125.0,777.0,532.0,2065.0,611.0,1940.0,1036.0,33.0,2476.0,812.0,1923.0,1768.0,1926.0,3396.0,2881.0
3272.0,2083.0,3307.0,680.0,307.0,1005.0,2740.0,1017.0,1080.0,2201.0,1268.0,1510.0,1836.0,2041.0,3326.0,1100.0,1883.0,1219.0,3242.0,222.0,2183.0,343.0,458.0,753.0
593.0,375.0,1596.0,2238.0,1463.0,112.0,879.0,2481.0,1874.0,2600.0,787.0,2632.0,1883.0,2601.0,1210.0,2726.0,2539.0,2419.0,1549.0,212.0,134.0,627.0,1618.0,2463.0
2360.0,480.0,1893.0,2820.0,436.0,2052.0,2493.0,1168.0,988.0,49.0,1603.0,2387.0,1779.0,475.0,2155.0,2324.0,844.0,762.0,1516.0,875.0,184.0,1612.0,1496.0,594.0
2052.0,1307.0,2653.0,2226.0,1023.0,2028.0,2470.0,89.0,2658.0,867.0,1436.0,2879.0,1860.0,1704.0,431.0,3183.0,1184.0,819.0,1859.0,33.0,2617.0,3374.0,308.0,1403.0
614.0,1208.0,2569.0,221.0,104.0,851.0,2105.0,2710.0,92.0,719.0,1616.0,886.0,2627.0,2722.0,889.0,2011.0,551.0,1086.0,2282.0,543.0,1217.0,1413.0,352.0,3283.0
519.0,588.0,2983.0,399.0,1211.0,1633.0,2541.0,1607.0,3356.0,3373.0,1319.0,2393.0,1182.0,2694.0,3381.0,2493.0,2530.0,1658.0,1348.0,1497.0,2260.0,2296.0,1096.0,508.0
