run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23
1426.0,328.0,1400.0,872.0,1107.0,843.0,1279.0,1439.0,1540.0,1205.0,20.0,1345.0,626.0,664.0,1581.0,1403.0,930.0,362.0,731.0,843.0,1582.0,1019.0,668.0,1360.0
496.0,2202.0,109.0,1638.0,1802.0,2037.0,1996.0,1955.0,3057.0,3109.0,1347.0,1924.0,1675.0,1807.0,2254.0,2224.0,2236.0,2387.0,1169.0,2363.0,2038.0,1375.0,2193.0,1928.0
1943.0,1215.0,1215.0,2946.0,2585.0,2496.0,2836.0,567.0,2070.0,2021.0,320.0,1313.0,2963.0,1233.0,2070.0,1976.0,2152.0,1970.0,2925.0,2793.0,3354.0,3276.0,700.0,2156.0
994.0,800.0,3223.0,1398.0,2051.0,638.0,2117.0,3050.0,758.0,3047.0,1757.0,467.0,1260.0,3192.0,2241.0,1759.0,2303.0,912.0,2024.0,1141.0,225.0,2034.0,2970.0,698.0
1209.0,186.0,627.0,402.0,1494.0,359.0,1429.0,1209.0,1479.0,791.0,475.0,1448.0,187.0,2243.0,475.0,1213.0,403.0,1123.0,569.0,272.0,490.0,2243.0,482.0,1664.0
2081.0,3218.0,2878.0,506.0,2817.0,286.0,2105.0,978.0,2087.0,234.0,3136.0,1315.0,1262.0,681.0,935.0,2310.0,1603.0,1294.0,78.0,2508.0,3234.0,3180.0,1137.0,534.0
565.0,2966.0,1793.0,2221.0,3104.0,560.0,3256.0,1909.0,2449.0,2824.0,560.0,3241.0,3241.0,2757.0,2531.0,2855.0,2769.0,2249.0,3107.0,3233.0,2774.0,1827.0,3307.0,2568.0
1899.0,1781.0,2586.0,3033.0,2843.0,1938.0,2353.0,2503.0,635.0,2901.0,998.0,1745.0,3067.0,3101.0,1070.0,2234.0,3039.0,1936.0,2414.0,2139.0,1879.0,2837.0,514.0,53.0
491.0,489.0,142.0,1911.0,1135.0,3411.0,553.0,3321.0,2277.0,2620.0,0.0,1498.0,493.0,3002.0,2445.0,2832.0,493.0,2907.0,3065.0,1498.0,1535.0,2910.0,1843.0,1720.0
371.0,982.0,1405.0,1441.0,988.0,1374.0,32.0,1255.0,824.0,620.0,3401.0,796.0,445.0,1124.0,1564.0,1385.0,355.0,1183.0,623.0,1405.0,1021.0,133.0,1369.0,1244.0
2657.0,2971.0,435.0,2454.0,2163.0,2681.0,3156.0,2591.0,831.0,1562.0,42.0,2678.0,1312.0,1991.0,2866.0,1339.0,1312.0,612.0,1469.0,3049.0,448.0,765.0,3087.0,1512.0
3153.0,2524.0,2664.0,337.0,2865.0,1684.0,3416.0,345.0,115.0,437.0,2559.0,1635.0,164.0,2998.0,2522.0,402.0,164.0,2064.0,163.0,3200.0,1456.0,2527.0,1922.0,1915.0
2659.0,2964.0,2644.0,1504.0,1698.0,2865.0,1725.0,367.0,459.0,2627.0,2428.0,689.0,824.0,1466.0,3392.0,1657.0,824.0,2154.0,268.0,553.0,832.0,1021.0,1554.0,914.0
2372.0,253.0,2784.0,2721.0,534.0,2163.0,26.0,2613.0,670.0,1325.0,2421.0,1263.0,1597.0,2285.0,313.0,2216.0,1241.0,795.0,2399.0,1499.0,3337.0,1121.0,49.0,2291.0
709.0,672.0,1075.0,837.0,2681.0,534.0,2553.0,2790.0,622.0,2297.0,2433.0,2698.0,780.0,1871.0,1330.0,3151.0,572.0,2493.0,309.0,475.0,234.0,937.0,2518.0,1065.0
2611.0,2456.0,2893.0,2317.0,1684.0,2204.0,3246.0,907.0,270.0,1660.0,2866.0,903.0,2493.0,845.0,1684.0,419.0,738.0,2020.0,2424.0,1826.0,1798.0,1320.0,1222.0,1696.0
2146.0,566.0,3375.0,3404.0,1130.0,99.0,2681.0,3254.0,1940.0,2405.0,1698.0,2607.0,1183.0,2830.0,927.0,2045.0,2493.0,777.0,1199.0,2824.0,2182.0,2999.0,3099.0,3010.0
2234.0,2641.0,2791.0,644.0,2204.0,2279.0,1684.0,2032.0,1094.0,2794.0,2424.0,140.0,755.0,3249.0,1698.0,1749.0,2740.0,1436.0,2290.0,983.0,2365.0,3095.0,536.0,1450.0
2914.0,3305.0,2461.0,863.0,296.0,2493.0,534.0,1097.0,2206.0,3053.0,399.0,1879.0,702.0,2976.0,445.0,607.0,780.0,787.0,331.0,1817.0,3326.0,2740.0,1594.0,2850.0
1709.0,3066.0,125.0,2936.0,1486.0,296.0,2865.0,1465.0,1383.0,960.0,2430.0,3127.0,587.0,2206.0,1106.0,205.0,702.0,1598.0,2841.0,2829.0,2931.0,1163.0,3388.0,1957.0
540.0,759.0,2869.0,625.0,2279.0,1486.0,2163.0,1930.0,3407.0,239.0,2410.0,1536.0,1598.0,1432.0,666.0,1129.0,1704.0,1616.0,2263.0,2805.0,1003.0,2600.0,1626.0,3081.0
2912.0,1537.0,2741.0,1645.0,3203.0,1362.0,2204.0,393.0,272.0,3280.0,2272.0,1260.0,1268.0,3231.0,468.0,2864.0,2427.0,1268.0,203.0,3283.0,2659.0,2658.0,1895.0,1182.0
2133.0,1900.0,1226.0,2478.0,3351.0,3351.0,2956.0,3007.0,3195.0,2533.0,2594.0,3174.0,492.0,1016.0,1437.0,800.0,1183.0,1640.0,781.0,1174.0,3409.0,675.0,3149.0,1622.0
2845.0,1119.0,1132.0,1655.0,1202.0,2081.0,296.0,1106.0,352.0,957.0,2435.0,1120.0,456.0,75.0,1660.0,1144.0,617.0,1319.0,2921.0,620.0,2724.0,2604.0,404.0,2349.0
1952.0,2204.0,2839.0,3247.0,1362.0,1293.0,1486.0,2891.0,2509.0,835.0,2108.0,409.0,2232.0,1.0,89.0,752.0,25.0,1785.0,2939.0,779.0,2954.0,2788.0,1451.0,2108.0
2179.0,2039.0,943.0,2574.0,2845.0,1759.0,1571.0,2314.0,786.0,2295.0,2232.0,2571.0,1319.0,2722.0,513.0,8.0,484.0,405.0,998.0,487.0,1215.0,3176.0,2253.0,2321.0
982.0,1040.0,880.0,835.0,2081.0,2065.0,1130.0,3102.0,568.0,2962.0,5.0,660.0,1622.0,1312.0,2272.0,3067.0,488.0,2318.0,2918.0,1289.0,685.0,1312.0,2619.0,2430.0
