run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
2358,1881,1664,1382,1272,163,499,1116,63,2959,1057,1715,241,285,2979,2151,2456,1523,217,1391,3354,1384,251,2448,647
182,1195,993,2106,1741,1595,3085,2004,1330,2421,1772,1240,767,2775,1528,2393,2086,2388,2446,274,3124,2151,1602,1097,2736
33,3110,2911,1369,2875,1864,1241,3157,1832,2519,1186,1885,2330,2494,2564,1436,2313,1702,3103,2224,2638,3039,1243,939,77
3118,2614,994,2826,3311,2805,1475,1918,2589,1704,3043,2742,3107,2484,412,2243,1713,1208,2206,2136,1527,362,1020,2047,3016
499,2429,137,914,716,2842,1562,1703,380,871,1094,836,3224,1557,1655,289,2645,179,1761,649,257,3203,265,2111,433
1449,1141,1959,1109,880,2491,2699,1397,675,2063,725,14,483,1112,1859,2639,2945,3360,958,1680,338,3283,104,1627,1621
1032,2722,338,821,719,544,2773,1396,1712,1735,2637,3266,1280,2080,2096,1174,3020,2833,2862,1066,431,657,711,3216,2440
1953,453,1719,1228,2442,1373,3064,244,2597,1079,2346,2063,1790,1063,372,2134,2885,1476,2200,2338,701,1412,24,2939,1762
548,1381,1416,3117,1858,3100,1725,2345,3171,1011,2818,2400,2561,1017,793,2349,2078,1725,1418,948,245,2479,345,483,965
983,1357,1364,2785,111,1056,80,1332,3382,1480,1050,2087,2078,1393,892,350,778,574,873,557,1037,452,3395,1258,1430
2042,1117,669,511,2989,2800,993,284,18,1867,266,862,5,2832,909,932,5,2548,2784,1361,1834,1693,1711,1838,2527
2877,876,2848,1448,1636,285,2856,420,1557,2687,1903,1601,2313,2827,78,2738,2330,1396,2939,330,1146,3270,3110,2529,1893
2993,730,2846,3385,1838,1018,1386,2428,2825,587,699,870,2534,2324,690,50,1779,2003,1706,1418,3266,3251,1117,361,1861
2817,1413,975,694,767,1165,414,2421,3051,1165,1294,535,3101,1536,3124,2909,1182,3193,2603,1283,1910,556,876,1229,1257
657,266,2248,356,1672,1511,3238,2433,643,3011,612,2357,33,1883,2982,571,1836,613,2568,2391,2386,2488,730,53,1279
11,627,731,723,2534,763,246,2866,2144,2250,2020,3094,551,92,796,2683,1806,204,1740,817,2159,2553,480,814,2400
861,3374,1869,2766,2494,1103,1720,1581,1181,2449,2493,149,1002,879,2779,480,3101,1867,2006,954,2470,830,375,258,785
1391,1926,123,244,381,1911,2671,3392,1073,840,795,2230,2903,1792,3316,1373,2065,666,878,1729,515,2308,266,1520,411
571,343,1883,2284,366,702,1312,313,2360,125,777,532,2065,611,1940,1036,33,2476,812,1923,1768,2790,1926,3396,2881
3272,2083,3307,680,307,1005,2740,1017,1080,2201,1268,1510,1836,2041,3326,1100,1883,1219,3242,222,2183,2468,343,458,753
593,375,1596,2238,1463,112,879,2481,1874,2600,787,2632,1883,2601,1210,2726,2539,2419,1549,212,134,313,627,1618,2463
2360,480,1893,2820,436,2052,2493,1168,988,49,1603,2387,1779,475,2155,2324,844,762,1516,875,184,1017,1612,1496,594
2052,1307,2653,2226,1023,2028,2470,89,2658,867,1436,2879,1860,1704,431,3183,1184,819,1859,33,2617,1672,3374,308,1403
614,1208,2569,221,104,851,2105,2710,92,719,1616,886,2627,2722,889,2011,551,1086,2282,543,1217,1926,1413,352,3283
519,588,2983,399,1211,1633,2541,1607,3356,3373,1319,2393,1182,2694,3381,2493,2530,1658,1348,1497,2260,1330,2296,1096,508
507,423,2025,978,604,1611,2521,2522,1184,1484,2318,276,2539,3266,353,1800,842,745,2746,2899,165,1208,313,833,1080
1168,1442,1813,1465,587,2645,1330,2424,1757,1110,1640,2174,1415,3024,2176,1981,1610,2650,1486,1967,1223,572,2083,559,598
2135,346,860,168,1749,1417,3314,2272,2913,1170,1785,228,1184,45,2247,161,2627,2988,1989,1940,1051,337,346,1244,2363
1581,2296,2352,2232,611,936,1157,2994,1107,1024,313,2558,3296,1241,76,2273,2415,122,1812,28,718,2477,287,2183,1378
2522,1472,1322,91,1234,1465,1292,445,3180,2110,1108,3122,1826,4,1472,1964,2534,1423,3072,745,3397,3374,423,186,2710
313,1118,943,2064,1439,88,2545,2410,2231,661,89,1095,844,2406,990,2448,313,958,585,205,475,2520,3256,1252,1250
1017,982,1056,1636,1017,2305,1117,1192,96,1442,1942,679,2415,1555,102,2006,2354,1412,2981,2306,3210,2475,3368,2199,1809
3392,3368,2255,3392,3016,3155,5,927,710,1451,634,2524,1023,89,2315,343,3296,1913,2706,839,2250,411,1304,2752,325
1124,569,1805,2038,748,1541,2427,2569,2185,1268,492,1674,1033,1033,1446,2148,3001,2052,3411,1078,1595,1241,1026,489,1630
1684,709,2705,725,2230,3178,2098,728,1914,607,412,388,1610,2142,2369,701,3109,2595,1115,908,2113,1442,759,1489,1317
2480,3235,3059,2121,1409,109,1852,1110,299,1841,1154,283,1200,313,268,1863,2796,740,1529,2490,1140,1227,166,3347,2086
1437,1111,1948,2087,312,371,1057,2435,659,1900,1598,2145,2875,579,1204,2541,1860,3173,172,3178,1611,430,1442,71,2065
2866,287,1979,2197,1577,1623,1581,2935,2976,458,2064,2039,3109,5,144,1492,1826,1293,640,1466,1416,1140,1227,1226,2223
1698,703,2343,1855,77,3174,2522,1698,2443,817,1622,93,291,2477,114,786,3416,1369,558,777,3241,129,588,209,1839
1660,791,3063,456,1656,2769,3392,1106,1216,2990,456,1648,3221,20,2125,1717,1170,1126,2426,2591,352,1463,1806,123,475
1452,1304,2180,1598,2477,573,1684,2521,41,1441,1597,822,2036,726,1724,1603,2903,2496,1403,613,1459,1026,403,3079,1748
89,1612,467,1597,560,2776,1017,842,550,1811,2232,2615,2530,3073,279,590,2658,2793,1619,128,2781,257,1800,1640,1135
2710,566,297,553,284,264,1437,1684,53,2358,765,1206,3073,1122,1196,2501,987,2599,1552,2930,2554,842,430,1288,430
1607,2548,3066,1154,183,2960,20,2534,3111,2122,78,2870,1636,1915,3103,483,1425,658,2466,3056,1286,12,703,527,1017
857,1463,572,1704,313,1937,2272,1437,560,2182,630,1090,159,1450,2826,1456,2036,1699,404,2764,3012,2511,709,2640,2771
2033,403,2863,1294,754,2382,313,167,2405,3289,99,1424,2204,2407,1135,3059,2066,1448,376,2727,2656,2534,1118,923,1577
2821,238,587,2493,405,1688,2481,1221,2534,3211,1104,915,468,572,2000,3111,175,3359,709,213,631,1307,982,1750,211
444,186,1679,612,1926,165,3374,113,1477,246,1103,2867,2018,471,3258,1157,957,1015,824,3043,588,1430,241,1018,313
1239,1535,1806,795,742,2463,721,2516,3221,1616,553,2490,2354,107,264,2156,2018,1018,2175,2156,1548,1409,1017,2869,1307
445,1592,2407,2020,1503,1073,945,721,1284,1201,1290,1422,3416,2690,215,412,62,2763,2857,1518,367,414,2548,1246,324
113,1811,185,1319,595,2332,337,1691,2040,3281,1039,704,2658,3334,3309,2153,2204,2848,2092,1756,1379,927,566,1286,1805
1106,2646,1330,777,641,364,1577,1671,3001,1976,320,1631,2477,72,535,3116,2039,2179,1903,1975,1806,585,1461,1103,1463
2534,474,693,1268,1491,2558,405,292,1457,267,440,2216,2176,1524,1047,2628,2077,3259,1800,2458,979,2473,569,2971,722
2432,2156,2739,492,1098,909,1463,461,2493,538,493,2045,218,405,1624,2535,3115,1849,846,1987,554,2517,1429,415,581
1666,1800,1879,1616,211,2580,1691,1487,3056,84,1704,1428,579,1829,2029,2466,2037,2295,3028,1268,1506,1456,3235,2696,3113
2569,1477,3037,1622,1237,1991,94,2432,2268,1036,164,551,1864,1826,3185,1888,2013,2488,396,1330,1858,423,238,2174,672
1604,1369,2242,1942,20,2404,2866,24,375,2550,780,2470,1037,3113,783,941,1442,244,1504,2532,1357,1642,405,2198,1191
994,3375,1117,1104,1004,2189,2410,2260,1688,63,702,2814,3001,2534,854,1202,2321,2468,1497,952,1476,1258,1463,2225,742
1110,1429,2618,630,412,572,521,337,798,377,669,2973,2086,1287,490,1918,3073,1926,876,588,578,1582,1283,2980,440
