run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
2527.0,1895.0,2988.0,1383.0,4060.0,2882.0,101.0,1784.0,2979.0,284.0,760.0,1061.0,3242.0,13.0,1680.0,1763.0,1677.0,1859.0,1678.0,1920.0,80.0,1188.0,3020.0,1550.0,416.0
649.0,270.0,4075.0,3817.0,54.0,3037.0,1745.0,3899.0,482.0,26.0,1831.0,3073.0,1400.0,273.0,2741.0,164.0,1584.0,1745.0,1515.0,3330.0,2023.0,1920.0,500.0,1745.0,2988.0
3038.0,1570.0,1424.0,2663.0,433.0,1252.0,3029.0,755.0,1747.0,1966.0,14.0,1516.0,3026.0,3269.0,1396.0,2037.0,242.0,3172.0,1126.0,533.0,1386.0,1506.0,1171.0,640.0,270.0
3157.0,2184.0,1930.0,948.0,1516.0,3330.0,1814.0,273.0,1506.0,1515.0,1510.0,1768.0,54.0,1551.0,1754.0,584.0,4033.0,1782.0,2882.0,3037.0,1650.0,469.0,3817.0,2078.0,2996.0
2626.0,1905.0,1515.0,1600.0,545.0,1905.0,3007.0,3669.0,2975.0,1420.0,3047.0,1548.0,14.0,1955.0,928.0,1188.0,273.0,3062.0,3043.0,1121.0,433.0,1697.0,1801.0,3490.0,1405.0
1379.0,1622.0,1520.0,129.0,1814.0,1851.0,1324.0,3866.0,1067.0,29.0,1948.0,1281.0,3479.0,2026.0,1950.0,2553.0,3155.0,1133.0,3330.0,2184.0,1797.0,1061.0,3645.0,2348.0,151.0
893.0,2527.0,654.0,1875.0,1548.0,1820.0,2979.0,4074.0,1402.0,146.0,3483.0,1688.0,2984.0,1090.0,1083.0,2620.0,2856.0,2184.0,3413.0,764.0,1545.0,1696.0,521.0,1503.0,654.0
80.0,1720.0,4056.0,2697.0,1688.0,1133.0,1852.0,1966.0,1601.0,1893.0,580.0,1383.0,1121.0,533.0,110.0,2593.0,2078.0,1550.0,545.0,2626.0,3775.0,73.0,1858.0,3221.0,278.0
2657.0,1801.0,612.0,134.0,3043.0,1590.0,3632.0,1077.0,254.0,980.0,3678.0,945.0,3477.0,1909.0,14.0,3461.0,1875.0,1679.0,1621.0,643.0,3678.0,1858.0,1879.0,1858.0,1788.0
3027.0,1680.0,1678.0,3029.0,490.0,2992.0,1950.0,1888.0,2184.0,4074.0,1388.0,3269.0,3172.0,3043.0,3644.0,3477.0,1856.0,474.0,1966.0,1560.0,2981.0,4042.0,945.0,2026.0,3228.0
853.0,2209.0,768.0,63.0,2400.0,2905.0,2189.0,1570.0,68.0,428.0,2189.0,2189.0,2189.0,2189.0,732.0,607.0,374.0,2189.0,1776.0,2179.0,2189.0,180.0,316.0,2690.0,4046.0
1405.0,2189.0,1381.0,2189.0,576.0,2932.0,3313.0,3447.0,3078.0,2794.0,,2434.0,2434.0,1492.0,478.0,101.0,3897.0,2187.0,4070.0,3145.0,2805.0,3407.0,2494.0,4055.0,981.0
936.0,478.0,2757.0,2305.0,1179.0,2504.0,2869.0,1589.0,530.0,3106.0,,1490.0,2075.0,3713.0,3181.0,388.0,2860.0,749.0,2088.0,1538.0,3016.0,64.0,2189.0,863.0,931.0
3806.0,3451.0,1758.0,39.0,1075.0,2280.0,2392.0,3449.0,2704.0,1331.0,,3312.0,2860.0,2519.0,2528.0,3130.0,899.0,3424.0,535.0,2027.0,965.0,2705.0,39.0,3787.0,2973.0
3233.0,1634.0,1767.0,3781.0,1058.0,1122.0,2308.0,234.0,1389.0,2948.0,,2803.0,1729.0,4011.0,1443.0,995.0,3479.0,2127.0,3851.0,3337.0,2519.0,3259.0,3498.0,3740.0,3098.0
3972.0,3424.0,1274.0,1634.0,16.0,3555.0,3304.0,3231.0,373.0,2230.0,,527.0,2519.0,2179.0,2289.0,4012.0,2189.0,917.0,241.0,3539.0,527.0,706.0,3424.0,3308.0,834.0
3068.0,2408.0,2549.0,3424.0,1519.0,2845.0,2936.0,2727.0,1003.0,1620.0,,3054.0,1740.0,840.0,2028.0,3066.0,2209.0,1336.0,788.0,149.0,3883.0,143.0,3085.0,3043.0,1107.0
3346.0,1780.0,2455.0,721.0,373.0,1530.0,3278.0,114.0,1192.0,2061.0,,1329.0,2180.0,3067.0,3253.0,4064.0,2434.0,148.0,1939.0,2381.0,707.0,2695.0,896.0,2646.0,3045.0
127.0,2581.0,3816.0,3103.0,1016.0,2807.0,1757.0,1864.0,3.0,869.0,,707.0,1634.0,902.0,720.0,1959.0,3970.0,1961.0,2448.0,1420.0,1100.0,1185.0,2581.0,1791.0,1995.0
1842.0,1661.0,2846.0,584.0,2296.0,1342.0,2803.0,2221.0,2522.0,15.0,,2428.0,3743.0,3065.0,701.0,1380.0,3059.0,2654.0,2358.0,1816.0,2276.0,3703.0,2696.0,2346.0,1128.0
579.0,896.0,3428.0,2048.0,0.0,1211.0,3592.0,84.0,3541.0,290.0,,2974.0,1735.0,1621.0,2277.0,170.0,3085.0,670.0,739.0,3527.0,3278.0,2782.0,2209.0,1642.0,3387.0
1565.0,2587.0,1635.0,749.0,2432.0,3381.0,1949.0,1109.0,3371.0,435.0,,126.0,1687.0,707.0,3424.0,3218.0,3645.0,1873.0,786.0,3200.0,3017.0,1298.0,2736.0,2354.0,2108.0
808.0,475.0,1052.0,724.0,88.0,4043.0,584.0,3494.0,1859.0,3716.0,,968.0,3970.0,2209.0,1634.0,2417.0,2615.0,1768.0,3442.0,3121.0,124.0,3174.0,472.0,3217.0,3323.0
1356.0,2936.0,100.0,1312.0,548.0,2154.0,2844.0,405.0,1354.0,216.0,,2723.0,2803.0,1100.0,1661.0,2569.0,1634.0,1787.0,636.0,1859.0,584.0,1594.0,1661.0,1815.0,2758.0
3042.0,112.0,1202.0,1757.0,2303.0,1285.0,2615.0,3485.0,2226.0,1130.0,,2874.0,735.0,2920.0,3085.0,2082.0,2332.0,585.0,278.0,659.0,3051.0,3351.0,3875.0,3724.0,1223.0
113.0,485.0,2779.0,1246.0,3169.0,1742.0,2987.0,2062.0,897.0,2528.0,,121.0,1217.0,2782.0,3805.0,922.0,375.0,1312.0,2904.0,739.0,3498.0,2591.0,1740.0,3633.0,3407.0
1981.0,1800.0,2356.0,4089.0,1367.0,474.0,3758.0,2961.0,655.0,3847.0,,2920.0,2532.0,397.0,936.0,2342.0,3166.0,1134.0,1213.0,829.0,961.0,2628.0,1904.0,1414.0,197.0
655.0,3203.0,1968.0,1504.0,1169.0,3173.0,587.0,2290.0,3004.0,555.0,,2904.0,3645.0,1634.0,1949.0,2202.0,1100.0,39.0,2695.0,1033.0,1848.0,688.0,163.0,1476.0,1186.0
240.0,1607.0,868.0,3001.0,3204.0,1172.0,1217.0,3772.0,1460.0,997.0,,2348.0,2350.0,2805.0,2936.0,2255.0,3051.0,4059.0,2288.0,4092.0,2077.0,1319.0,2038.0,2975.0,1537.0
1397.0,2610.0,3060.0,1861.0,2687.0,2993.0,3824.0,1151.0,205.0,1947.0,,1621.0,1483.0,3886.0,3163.0,620.0,44.0,1083.0,2252.0,3860.0,3054.0,2860.0,2443.0,3127.0,344.0
1001.0,965.0,707.0,3634.0,3634.0,160.0,1174.0,1150.0,1563.0,2546.0,,3059.0,1748.0,3059.0,1709.0,3686.0,2803.0,1884.0,234.0,3095.0,1446.0,896.0,375.0,819.0,2953.0
