targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,60.16,46.630187647059714,206.0,4.0,52.61538461538461
4.2,61.88,45.60378931623994,206.0,4.0,53.4375
4.3,63.56,45.790025114646966,206.0,4.0,61.07142857142857
4.4,63.56,45.790025114646966,206.0,4.0,62.18181818181818
4.5,64.44,46.33536878023094,206.0,4.0,65.76923076923077
4.6,65.6,45.41189271545505,206.0,4.0,69.79591836734694
4.7,71.8,50.07114937766058,216.0,4.0,97.71428571428571
4.8,72.2,50.10309371685545,216.0,4.0,114.0
4.9,73.4,48.82212613149902,216.0,4.0,117.93103448275862
5.0,76.6,50.109480140987294,216.0,4.0,148.69565217391303
5.1,102.56,80.23718838543633,317.0,4.0,180.0
5.2,102.56,80.23718838543633,317.0,4.0,190.0
5.3,102.56,80.23718838543633,317.0,4.0,228.0
5.4,102.56,80.23718838543633,317.0,4.0,228.0
5.5,200.88,114.93522349567169,342.0,28.0,263.0769230769231
5.6,212.84,119.49014352656874,401.0,28.0,285.0
5.7,219.92,114.10238209608069,401.0,28.0,380.0
5.8,219.92,114.10238209608069,401.0,28.0,380.0
5.9,219.92,114.10238209608069,401.0,28.0,488.57142857142856
6.0,219.92,114.10238209608069,401.0,28.0,488.57142857142856
6.1,219.92,114.10238209608069,401.0,28.0,570.0
6.2,219.92,114.10238209608069,401.0,28.0,570.0
6.300000000000001,219.92,114.10238209608069,401.0,28.0,684.0
6.4,230.6,109.62444982758178,401.0,28.0,855.0
6.5,230.6,109.62444982758178,401.0,28.0,1140.0
6.6,230.6,109.62444982758178,401.0,28.0,1140.0
6.7,230.6,109.62444982758178,401.0,28.0,1140.0
6.800000000000001,230.6,109.62444982758178,401.0,28.0,1140.0
6.9,230.6,109.62444982758178,401.0,28.0,1710.0
7.0,230.6,109.62444982758178,401.0,28.0,1710.0
7.0137,230.6,109.62444982758178,401.0,28.0,1710.0
