targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,16.0,0.0,16.0,16.0,93.85106382978724
4.2,16.0,0.0,16.0,16.0,105.02380952380952
4.3,16.0,0.0,16.0,16.0,122.52777777777777
4.4,16.0,0.0,16.0,16.0,137.84375
4.5,16.0,0.0,16.0,16.0,163.37037037037038
4.6,16.0,0.0,16.0,16.0,176.44
4.7,16.0,0.0,16.0,16.0,245.05555555555554
4.8,46.0,0.0,46.0,46.0,367.5833333333333
4.9,46.0,0.0,46.0,46.0,401.0
5.0,46.0,0.0,46.0,46.0,490.1111111111111
5.1,46.0,0.0,46.0,46.0,551.375
5.2,46.0,0.0,46.0,46.0,630.1428571428571
5.3,46.0,0.0,46.0,46.0,882.2
5.4,348.0,0.0,348.0,348.0,1102.75
5.5,348.0,0.0,348.0,348.0,1102.75
5.6,348.0,0.0,348.0,348.0,1102.75
5.7,348.0,0.0,348.0,348.0,1102.75
5.8,348.0,0.0,348.0,348.0,1102.75
5.9,348.0,0.0,348.0,348.0,1102.75
6.0,798.0,0.0,798.0,798.0,1470.3333333333333
6.1,798.0,0.0,798.0,798.0,1470.3333333333333
6.2,798.0,0.0,798.0,798.0,1470.3333333333333
6.300000000000001,798.0,0.0,798.0,798.0,1470.3333333333333
6.4,798.0,0.0,798.0,798.0,2205.5
6.5,798.0,0.0,798.0,798.0,2205.5
6.6,798.0,0.0,798.0,798.0,2205.5
6.7,798.0,0.0,798.0,798.0,2205.5
6.800000000000001,798.0,0.0,798.0,798.0,2205.5
6.9,798.0,0.0,798.0,798.0,2205.5
7.0,798.0,0.0,798.0,798.0,2205.5
7.1,798.0,0.0,798.0,798.0,2205.5
7.2,798.0,0.0,798.0,798.0,2205.5
7.300000000000001,798.0,0.0,798.0,798.0,2205.5
7.4,798.0,0.0,798.0,798.0,2205.5
7.5,798.0,0.0,798.0,798.0,2205.5
7.6,798.0,0.0,798.0,798.0,2205.5
7.7,798.0,0.0,798.0,798.0,2205.5
7.800000000000001,798.0,0.0,798.0,798.0,2205.5
7.9,798.0,0.0,798.0,798.0,2205.5
8.0,798.0,0.0,798.0,798.0,2205.5
8.100000000000001,798.0,0.0,798.0,798.0,2205.5
8.2,798.0,0.0,798.0,798.0,2205.5
8.3,798.0,0.0,798.0,798.0,2205.5
8.4,798.0,0.0,798.0,798.0,2205.5
8.5,798.0,0.0,798.0,798.0,2205.5
8.505133333333333,798.0,0.0,798.0,798.0,2205.5
