targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,42.44,40.37135618232313,143.0,1.0,69.55932203389831
4.2,44.88,45.531808661637854,165.0,1.0,76.0
4.3,58.08,70.34993674481876,311.0,1.0,89.21739130434783
4.4,60.52,70.9439891745594,311.0,1.0,108.0
4.5,72.8,92.6645563308863,368.0,1.0,120.70588235294117
4.6,76.52,94.59265087732769,368.0,1.0,128.25
4.7,101.48,115.80988558840734,437.0,1.0,146.57142857142858
4.8,121.96,138.3825075650821,437.0,1.0,164.16
4.9,175.72,169.21572503759808,558.0,3.0,195.42857142857142
5.0,175.72,169.21572503759808,558.0,3.0,205.2
5.1,177.6,168.44678684973488,558.0,3.0,241.41176470588235
5.2,185.6,163.5515820773373,558.0,5.0,273.6
5.3,185.6,163.5515820773373,558.0,5.0,293.14285714285717
5.4,185.6,163.5515820773373,558.0,5.0,293.14285714285717
5.5,185.72,163.43818892780232,558.0,5.0,342.0
5.6,187.88,166.50797458380185,571.0,5.0,373.09090909090907
5.7,189.48,166.63447902520053,571.0,5.0,456.0
5.8,189.48,166.63447902520053,571.0,5.0,456.0
5.9,189.48,166.63447902520053,571.0,5.0,456.0
6.0,189.48,166.63447902520053,571.0,5.0,456.0
6.1,204.4,165.75162140986734,571.0,5.0,513.0
6.2,204.4,165.75162140986734,571.0,5.0,513.0
6.300000000000001,204.4,165.75162140986734,571.0,5.0,586.2857142857143
6.4,204.4,165.75162140986734,571.0,5.0,586.2857142857143
6.5,204.4,165.75162140986734,571.0,5.0,586.2857142857143
6.6,204.4,165.75162140986734,571.0,5.0,586.2857142857143
6.7,204.4,165.75162140986734,571.0,5.0,586.2857142857143
6.800000000000001,204.4,165.75162140986734,571.0,5.0,586.2857142857143
6.9,208.0,163.679687194227,571.0,5.0,684.0
7.0,218.64,168.21744974882955,571.0,5.0,820.8
7.1,218.64,168.21744974882955,571.0,5.0,820.8
7.2,218.64,168.21744974882955,571.0,5.0,820.8
7.300000000000001,218.64,168.21744974882955,571.0,5.0,1026.0
7.4,218.64,168.21744974882955,571.0,5.0,1026.0
7.5,219.04,167.93009974391134,571.0,5.0,1368.0
7.6,219.04,167.93009974391134,571.0,5.0,1368.0
7.7,219.04,167.93009974391134,571.0,5.0,1368.0
7.800000000000001,219.04,167.93009974391134,571.0,5.0,1368.0
7.9,223.88,169.3890952806585,571.0,5.0,2052.0
7.910101950316908,223.88,169.3890952806585,571.0,5.0,2052.0
