run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1214.0,658.0,428.0,3107.0,1946.0,1585.0,3358.0,1730.0,2845.0,2417.0,1735.0,1730.0,1214.0,364.0,1852.0,498.0,1939.0,1666.0,873.0,1556.0,91.0,1510.0,1946.0,1016.0,3886.0
1946.0,1318.0,521.0,142.0,512.0,1441.0,1181.0,1889.0,1409.0,1944.0,3442.0,3851.0,1730.0,853.0,406.0,2903.0,1541.0,310.0,1627.0,710.0,2720.0,428.0,443.0,2920.0,1432.0
512.0,3093.0,2893.0,2417.0,2843.0,2851.0,109.0,1585.0,75.0,860.0,2849.0,3857.0,658.0,314.0,1486.0,2947.0,715.0,1773.0,163.0,1696.0,984.0,1944.0,378.0,854.0,2753.0
3562.0,1046.0,1432.0,1947.0,672.0,2854.0,1579.0,3183.0,1314.0,31.0,3019.0,1696.0,7.0,235.0,7.0,1931.0,3458.0,624.0,1337.0,2383.0,2851.0,3080.0,1663.0,1930.0,1581.0
2942.0,3680.0,2870.0,1543.0,3458.0,1854.0,2850.0,443.0,1832.0,2904.0,1854.0,1658.0,3019.0,875.0,768.0,2312.0,1584.0,490.0,7.0,579.0,155.0,1506.0,2855.0,2893.0,171.0
1834.0,1716.0,2916.0,1214.0,3837.0,3127.0,3779.0,3848.0,1730.0,1303.0,1851.0,1303.0,1543.0,1898.0,428.0,1857.0,865.0,173.0,3093.0,1941.0,3664.0,1111.0,557.0,3302.0,3019.0
2879.0,610.0,3779.0,1952.0,865.0,2893.0,435.0,263.0,314.0,847.0,1584.0,1684.0,1411.0,1459.0,3588.0,3900.0,443.0,1530.0,395.0,235.0,3054.0,1409.0,849.0,1898.0,2849.0
2920.0,769.0,871.0,2947.0,3159.0,3358.0,1768.0,467.0,1574.0,1192.0,355.0,173.0,1869.0,1762.0,2753.0,3857.0,1721.0,1580.0,1435.0,3445.0,849.0,346.0,1804.0,1293.0,212.0
1095.0,624.0,1531.0,1832.0,3670.0,1294.0,986.0,854.0,6.0,1527.0,2916.0,2755.0,3067.0,1527.0,173.0,2404.0,2892.0,1663.0,3160.0,2854.0,2916.0,743.0,1832.0,3183.0,1808.0
870.0,2974.0,31.0,1290.0,395.0,395.0,1524.0,1233.0,873.0,443.0,435.0,3916.0,1111.0,1721.0,521.0,3837.0,584.0,1476.0,2903.0,1090.0,1462.0,142.0,2989.0,1411.0,3093.0
1409.0,3161.0,1537.0,2920.0,1462.0,2399.0,1495.0,870.0,1807.0,374.0,3781.0,1356.0,2870.0,1139.0,3358.0,1654.0,870.0,944.0,3864.0,3034.0,433.0,2861.0,374.0,1537.0,2404.0
3892.0,1682.0,3142.0,2916.0,2854.0,3589.0,1931.0,3093.0,1537.0,870.0,960.0,1401.0,2916.0,1753.0,954.0,1869.0,2404.0,1380.0,857.0,2529.0,2379.0,2831.0,3093.0,3142.0,1392.0
2140.0,3793.0,1757.0,2870.0,770.0,1007.0,1654.0,1564.0,878.0,3093.0,42.0,3678.0,2920.0,2568.0,3287.0,3864.0,3093.0,606.0,849.0,3748.0,2258.0,2719.0,3344.0,2897.0,443.0
2039.0,3447.0,3834.0,857.0,1412.0,3230.0,1152.0,1409.0,196.0,3344.0,2385.0,2879.0,2919.0,2370.0,2755.0,986.0,374.0,2662.0,2862.0,634.0,943.0,23.0,1564.0,2813.0,870.0
3207.0,126.0,2897.0,2872.0,875.0,3414.0,3673.0,2404.0,1660.0,1564.0,2225.0,3752.0,2872.0,3737.0,2491.0,3673.0,1409.0,3826.0,1664.0,1405.0,2004.0,2921.0,2404.0,196.0,1564.0
2410.0,2650.0,1986.0,3857.0,1451.0,3616.0,2106.0,374.0,549.0,2404.0,113.0,2914.0,2879.0,1168.0,2528.0,1412.0,1392.0,3339.0,3287.0,1792.0,3220.0,1437.0,1850.0,149.0,1202.0
2470.0,1470.0,3699.0,1661.0,450.0,858.0,1727.0,3344.0,1023.0,1762.0,764.0,2171.0,2878.0,996.0,1355.0,2106.0,3344.0,735.0,3358.0,499.0,3156.0,1101.0,719.0,1986.0,1409.0
2398.0,2372.0,2813.0,2879.0,636.0,3641.0,1869.0,1921.0,2847.0,719.0,1926.0,656.0,2918.0,1339.0,1417.0,1301.0,1762.0,2393.0,2904.0,1272.0,644.0,182.0,1193.0,3834.0,3183.0
611.0,3236.0,2469.0,3103.0,3864.0,3636.0,1712.0,1392.0,573.0,1409.0,768.0,1984.0,2926.0,85.0,857.0,1238.0,1921.0,1754.0,2897.0,354.0,1990.0,610.0,870.0,1777.0,3892.0
3890.0,1745.0,2188.0,2918.0,543.0,1551.0,690.0,1850.0,448.0,1921.0,287.0,667.0,1356.0,910.0,3457.0,690.0,719.0,3875.0,2898.0,200.0,1654.0,1617.0,1762.0,2469.0,2140.0
3358.0,,2733.0,1866.0,3054.0,3380.0,1499.0,2862.0,1301.0,181.0,1326.0,2843.0,2617.0,748.0,2500.0,1495.0,2862.0,2352.0,1392.0,250.0,1931.0,662.0,1409.0,336.0,3629.0
857.0,,857.0,954.0,1318.0,1879.0,627.0,3358.0,1203.0,3629.0,980.0,408.0,1451.0,1332.0,1941.0,1152.0,403.0,2515.0,933.0,2496.0,1869.0,58.0,1392.0,1851.0,3358.0
443.0,,2904.0,1806.0,2879.0,1136.0,3430.0,3629.0,1432.0,2862.0,1933.0,297.0,1660.0,1929.0,447.0,1727.0,3358.0,1416.0,2404.0,2682.0,986.0,3560.0,3122.0,3093.0,2862.0
403.0,,111.0,3664.0,839.0,371.0,1799.0,2987.0,289.0,1392.0,2553.0,3468.0,2985.0,1511.0,2758.0,1499.0,3629.0,277.0,1656.0,1755.0,1409.0,3274.0,1216.0,1409.0,3457.0
954.0,,1047.0,3417.0,3680.0,2428.0,3355.0,3457.0,1690.0,3122.0,683.0,769.0,2499.0,296.0,2618.0,1712.0,3122.0,870.0,3141.0,2214.0,3673.0,1972.0,2039.0,2404.0,403.0
1866.0,,3864.0,3358.0,2870.0,3133.0,2064.0,1661.0,1333.0,190.0,1872.0,7.0,3287.0,626.0,2088.0,2244.0,1474.0,3801.0,361.0,3028.0,1495.0,3364.0,1671.0,142.0,719.0
1564.0,,1417.0,1410.0,2947.0,1302.0,3207.0,3287.0,502.0,3488.0,3584.0,1093.0,857.0,36.0,2752.0,2164.0,2850.0,3329.0,912.0,242.0,3864.0,2303.0,3892.0,870.0,3159.0
1762.0,,1524.0,3671.0,2849.0,1183.0,2140.0,403.0,666.0,2987.0,1003.0,235.0,3143.0,1499.0,199.0,3593.0,1850.0,1316.0,2566.0,523.0,3207.0,2876.0,2539.0,857.0,1762.0
3629.0,,2859.0,2862.0,186.0,729.0,2074.0,1664.0,1868.0,3476.0,2689.0,1866.0,1295.0,936.0,3313.0,1887.0,1564.0,2440.0,76.0,282.0,870.0,3180.0,2140.0,1392.0,3287.0
