run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1214,658,428,3107,1946,1585,3358,1730,2845,2417,1735,1730,1214,364,1852,498,1939,1666,873,1556,91,1510,1946,1016,3886
1946,1318,521,142,512,1441,1181,1889,1409,1944,3442,3851,1730,853,406,2903,1541,310,1627,710,2720,428,443,2920,1432
512,3093,2893,2417,2843,2851,109,1585,75,860,2849,3857,658,314,1486,2947,715,1773,163,1696,984,1944,378,854,2753
3562,1046,1432,1947,672,2854,1579,3183,1314,31,3019,1696,7,235,7,1931,3458,624,1337,2383,2851,3080,1663,1930,1581
2942,3680,2870,1543,3458,1854,2850,443,1832,2904,1854,1658,3019,875,768,2312,1584,490,7,579,155,1506,2855,2893,171
1834,1716,2916,1214,3837,3127,3779,3848,1730,1303,1851,1303,1543,1898,428,1857,865,173,3093,1941,3664,1111,557,3302,3019
2879,610,3779,1952,865,2893,435,263,314,847,1584,1684,1411,1459,3588,3900,443,1530,395,235,3054,1409,849,1898,2849
2920,769,871,2947,3159,3358,1768,467,1574,1192,355,173,1869,1762,2753,3857,1721,1580,1435,3445,849,346,1804,1293,212
1095,624,1531,1832,3670,1294,986,854,6,1527,2916,2755,3067,1527,173,2404,2892,1663,3160,2854,2916,743,1832,3183,1808
870,2974,31,1290,395,395,1524,1233,873,443,435,3916,1111,1721,521,3837,584,1476,2903,1090,1462,142,2989,1411,3093
1409,3161,1537,2920,1462,1303,1495,870,1807,374,1034,1356,2870,3356,3358,1654,870,454,3864,1930,1130,2776,374,1537,2404
3892,1309,3864,857,1451,2702,1931,1409,3005,870,2531,3678,3358,2130,2088,1869,1409,2418,2862,1933,760,452,3093,1851,1564
3358,1682,1409,3103,3054,3113,1654,1564,2862,1409,3892,2843,3126,3353,447,3673,374,3135,1656,3232,1660,1393,2404,336,870
443,2210,553,3664,737,762,1869,3093,770,3358,2733,408,2920,2455,2859,1366,3093,2720,2566,3902,1084,2978,1564,3093,3892
719,2160,3142,870,2854,2873,2064,2404,878,3093,2086,3468,2926,3664,1941,986,2404,2570,2404,3813,2014,3473,870,2404,443
3093,416,870,1409,1107,3548,1499,3629,1660,2404,2539,1181,2985,3454,1788,1495,1564,1812,1355,2429,1653,563,1409,1564,3629
2404,1567,2897,3629,186,3292,2897,2862,1203,1564,3542,416,2617,3078,2758,1499,3629,1517,849,1373,1051,3343,3629,870,1409
2987,2888,611,611,2849,381,2588,1392,1510,1392,2274,3080,3054,2507,954,627,1392,1332,443,506,1679,3569,1392,1409,1392
1564,715,374,3358,2985,2911,1152,3122,2230,2862,3335,7,2986,2366,2721,2897,2862,422,719,1870,896,3174,2862,3287,403
2849,1392,443,1200,2441,2938,1727,2987,609,3122,3893,511,2080,308,2783,1564,2230,3777,1392,3503,756,1054,2987,1392,3358
3457,1564,1193,443,673,2506,1712,2893,666,3629,1189,1689,3143,1266,3287,1058,1200,2238,1664,2172,2883,1522,2893,403,3122
2893,1454,1921,3093,2898,2282,1292,2849,661,3344,834,1506,1580,387,374,68,3122,2101,1174,3706,3616,2899,3159,443,3159
1392,2847,1850,2404,1412,1125,627,3159,3689,1921,3207,1066,1200,433,2491,1621,3303,3156,2849,3109,1901,624,2849,2862,1921
3122,109,181,1564,770,3563,1887,1921,2847,181,2379,1762,408,3040,1733,870,1921,2484,859,3541,3561,1488,3122,2987,1850
1921,2862,3358,1392,875,2848,1799,1850,1622,456,6,3054,1660,2024,1661,3854,181,1672,1684,1201,1985,2993,1921,3629,181
403,1951,3093,2862,1327,1534,6,3479,403,1200,2256,2171,1307,1470,1564,3445,456,3079,2969,1157,1251,1636,1850,2849,456
181,2224,2404,2987,1110,2810,1564,181,2898,403,1340,2439,3108,2564,1866,1524,3358,790,1564,2104,3419,180,181,3122,2987
3629,1762,1564,2893,1318,1345,2931,3358,3864,2987,463,2077,2795,146,1355,3093,403,2252,1889,1920,3363,3422,1200,3159,2893
3159,2892,1392,3122,1295,1213,1139,3344,549,2849,2669,2881,2893,460,2528,1409,3344,2984,3457,3911,2956,64,456,1524,3479
3344,2846,2862,2849,1417,3388,748,1417,416,2893,1047,297,2485,348,1294,2574,719,2674,1894,502,2650,2713,2230,1202,2969
3476,528,3122,3159,1453,2156,1929,3851,2851,3479,3557,2244,2987,3409,857,1586,2987,1692,847,485,1301,3273,2969,3054,3344
1869,1850,2987,1921,3127,1286,1494,2566,2597,2852,2576,2520,870,73,3633,3635,2849,1563,1646,1301,2718,710,3344,2444,849
3054,2860,1524,181,403,1746,756,1200,624,190,2064,3528,1409,1321,3457,3864,3476,95,1524,401,289,143,2904,3344,719
2862,1240,3159,456,1976,476,1017,190,1451,719,3898,2456,1564,3464,2210,112,2904,1341,1818,1217,1745,2703,2417,1921,3085
456,2942,2849,2969,839,3179,1786,3104,1837,849,2262,1401,3159,351,1410,2969,3159,956,2901,3019,893,1191,403,181,3828
2444,3157,3629,3344,1848,1174,1787,3128,1798,1852,2411,1373,3419,3793,1233,1392,1524,3668,519,1242,829,3720,2993,3479,871
2566,3442,3344,403,450,2998,2842,3457,1432,3159,1219,3320,1845,3709,3671,3303,2893,2804,1921,3697,1748,2791,190,3358,857
2852,3901,403,3479,3680,160,2806,2941,1986,372,3245,2985,109,949,502,3241,1364,1163,181,3845,2151,1303,2850,2904,2038
1417,733,2969,3054,2920,2482,1016,2969,1537,1524,2806,89,3468,3585,2500,770,1869,2164,857,3434,738,3188,719,142,1417
3067,743,1364,2852,2892,3454,1332,1364,1131,2566,111,3395,2499,2269,3587,1076,2850,1716,3122,1527,229,1604,3476,3067,2993
2926,245,1202,3085,1564,2892,1531,2850,1237,3851,784,1616,1441,349,3458,2244,3067,2270,870,3666,1236,3366,2444,2926,2444
109,114,1678,3828,135,2522,553,849,853,2850,3894,2412,3107,1936,2870,3104,2926,935,1409,1734,1868,2599,3358,2759,2566
3916,2404,849,2753,6,1003,1414,719,3142,2969,3522,2619,3047,3702,1417,2444,2920,3050,3358,1464,211,2636,519,1660,395
1298,1891,1499,871,1471,2886,2188,1627,196,1761,2488,2680,1355,691,557,2588,3419,2315,2987,2628,666,692,1524,2861,2083
3419,857,986,2038,1815,592,954,1671,1690,1174,374,2920,3664,1897,2851,1152,3054,1388,1678,3069,568,1119,3241,2985,1524
1200,2842,1495,2993,3864,2018,2862,1798,1301,1364,2832,2870,3479,946,49,1727,109,2637,2893,3790,321,2435,3109,1298,1454
2985,153,1869,395,1359,1144,2903,1762,3413,3067,2924,2872,3916,3713,2919,1712,1298,556,3067,2581,564,2629,3067,3107,109
3137,3635,1152,1417,2893,2107,770,2417,994,2926,2470,1340,2126,716,202,1292,1214,1720,2926,3137,1333,2634,2926,2898,2942
3107,455,1727,1454,2857,2020,305,1761,1454,2919,722,3310,2843,578,2755,3458,408,1821,2919,1561,1470,594,2920,3419,1927
3857,118,1712,1927,190,598,1475,1869,1927,109,2140,3903,1921,2904,2850,2931,1580,3227,3107,1214,1702,15,2861,109,2946
408,428,1292,3442,636,425,2859,3085,2956,3419,2756,3458,181,1577,3344,1475,1527,1483,3419,1881,836,650,408,1200,3442
1804,337,1931,2942,2879,2116,1558,2038,1732,3054,2790,3831,443,2230,1850,1799,1660,1305,3054,3473,1118,3058,3054,2566,1846
3468,2901,1654,109,313,2563,1409,395,3358,1298,2600,1369,3093,1547,1690,2589,3107,1577,1298,1862,2106,3637,1580,3857,3851
3085,1540,690,3851,296,3228,142,2993,2770,1214,2613,3623,2404,655,124,2188,3857,565,2985,2417,1574,1728,3376,1214,843
2083,1689,1671,2931,2082,3794,811,1454,109,2985,2232,2160,1392,913,2614,1293,2985,3349,3137,1019,571,117,2985,408,2230
2993,8,1475,1846,1853,1162,1045,1927,1347,1580,2675,2093,2862,1851,2756,1703,3047,1968,2843,1190,574,2119,3107,3047,2931
2753,984,2417,3837,268,921,1058,2942,3161,3107,2680,3241,3629,475,1506,2683,3468,2979,2998,3391,966,257,2080,2126,1732
395,1298,2188,843,2148,1573,68,109,528,1660,2346,807,1298,6,1576,2909,2080,103,1580,1416,792,3383,1214,1845,482
2038,3432,2931,2946,2488,621,3673,2753,1527,408,969,3636,1417,710,3629,2941,1804,803,1804,3372,1238,1718,1527,2499,1671
1894,534,201,1524,2806,3108,1621,2946,502,3857,3888,219,2690,374,1575,3128,2499,3452,1200,574,731,1187,2499,1678,2609
