run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1432,2871,2878,532,2713,378,2142,898,15,1839,3883,235,3169,2516,1616,1236,2068,1345,597,2219,3203,3101,1059,1028,2026
982,3354,866,1879,2776,3789,2099,500,2385,1605,64,3843,1343,1739,494,3810,3370,3329,3555,2398,3583,292,3860,4093,3538
3618,796,2080,828,1709,1748,631,2544,186,2630,1832,1848,110,1973,33,3736,4026,1488,2832,1962,2264,3746,1697,46,2171
2629,3305,208,692,4006,342,2299,737,2748,3864,3984,3230,2794,3074,2088,265,1402,4058,1858,451,1531,2773,2247,47,3321
951,3771,2408,1842,3133,802,3060,2376,748,554,3129,80,2532,3568,1343,3252,2938,3051,1164,1408,2040,2064,4044,2690,1945
2381,3597,334,1659,3221,1774,524,3807,3090,3797,1464,2352,128,3423,2477,3109,2123,2488,1709,2451,1679,3224,2548,1489,2474
3120,2323,3443,1821,3377,2412,197,3259,3753,2120,1940,3028,2484,3909,939,194,1639,1768,1945,3356,894,3186,3444,596,389
3715,745,683,1109,2935,1004,3761,584,1649,3086,1838,1903,3990,2317,4023,3232,1502,3988,3127,3121,272,2820,3580,2834,1860
3771,2032,3221,1598,1163,3337,3493,841,3419,2390,2318,3592,526,1997,1187,2821,686,1624,4024,2450,1336,2896,1389,3366,3907
1581,3512,2728,2740,1802,4081,1700,1128,1836,2892,3024,2396,2891,3137,744,695,2184,3280,2472,2910,2378,3392,3529,1397,1964
2083,3899,2114,1990,2163,277,2536,1518,693,1896,3229,596,3325,2243,1674,2248,2607,1023,871,1977,3867,3306,2972,1400,1746
4003,2430,3561,1959,2173,1948,1075,59,1356,845,3959,1832,310,163,1135,226,1024,3161,1741,2446,2532,2461,1738,1184,2028
1243,3524,3281,1998,2741,308,1575,137,2580,1007,3865,707,3973,4096,69,2506,1538,633,1439,2317,2535,3473,484,1107,1589
38,3822,2104,514,2092,2109,3110,1143,2119,4079,3989,2263,2777,1248,1993,2409,2064,1247,1956,2467,2612,3781,1565,3175,1863
1518,3408,2535,214,2348,1694,3423,1223,3359,1949,3919,214,1316,2397,1544,2384,2249,1622,664,3512,3920,1327,1813,1338,1338
1143,2527,2612,904,2304,558,2677,1243,2373,707,1446,598,876,2306,1791,3665,3551,1178,1026,2223,3933,1918,1443,1953,3175
1347,3139,3289,550,3492,2260,3414,38,2272,2263,2050,3058,2222,578,2448,1231,2758,1435,374,2218,3367,2360,775,1919,513
2725,3979,3936,710,2442,816,1325,4003,2456,2457,3387,590,3452,2132,352,1520,4036,1437,1553,281,3887,2297,915,662,1028
699,1490,2532,3363,2761,325,1315,2421,4100,869,3957,1836,3717,1168,1540,1207,1221,823,2514,2221,3947,2533,1178,984,1047
1079,3291,1462,1823,3498,554,3183,1347,1461,705,3976,786,2887,2447,620,3780,3160,2588,1040,2228,3376,3520,3967,318,1107
3446,3058,3578,1597,2374,527,3567,404,1100,1181,2257,890,2533,2126,1523,3469,3227,683,2782,3719,3389,2810,655,1651,2591
3635,3191,3762,1974,2283,46,3576,3319,3616,1601,1353,978,2919,1171,2980,3361,2995,203,2463,2665,1868,3236,1257,1684,1385
96,3630,2110,0,2180,1708,3902,3836,2836,1531,1045,601,3963,3764,1850,266,2201,3683,2964,3539,3006,2507,541,85,2765
4000,2197,3555,1517,2292,695,2798,3332,1475,355,617,893,457,3492,588,2542,2176,210,3728,899,3713,50,1819,364,1184
3609,3287,1104,1745,2668,1702,4018,2034,8,1539,1230,291,1021,3209,4062,738,2162,1350,2059,1770,3826,319,23,197,197
2625,3722,1453,893,4021,2589,3505,96,2105,1448,466,1979,2360,2204,925,3835,2715,658,2332,430,3864,2899,354,3415,1687
3420,2436,3006,1096,2788,2620,2851,888,2451,2470,3990,1803,2605,3743,923,1153,3252,1102,879,1019,3906,323,664,2046,120
4086,3285,2659,348,2621,2336,3568,3232,1401,1836,2605,1277,337,2081,1759,2327,2924,1258,1556,2309,3928,3234,882,120,30
3589,231,3001,426,2294,1999,3542,4086,1145,236,3136,1749,3050,950,1503,1449,2194,1443,1153,3093,4046,2184,1602,49,1801
3553,2048,2199,1552,2912,1922,2295,801,2281,1035,2951,1940,3839,3946,1756,867,2692,2957,1527,2935,2323,722,1521,464,1129
3870,2963,3597,801,2638,2041,2712,1432,2542,1974,3568,1517,3650,536,4097,2481,2959,1301,1848,4067,2476,2546,3807,1860,3191
3232,682,35,2878,3305,440,3975,111,3464,890,3411,360,3833,2220,3690,2286,3949,2627,3493,2224,3790,1268,119,1863,1583
1371,2127,2619,1749,2575,1184,3746,3162,2407,1966,3650,1181,3876,2630,3851,2310,2855,1222,608,738,3988,1995,203,190,3556
98,2836,2672,967,3760,419,3570,1571,2841,590,3341,1990,3053,900,1841,2002,2318,1566,2123,1030,2737,3995,621,3707,1815
3777,2929,3190,360,2494,1660,2587,98,212,786,2834,1422,3054,2916,3939,1061,1968,665,1814,2909,2767,757,1585,3556,432
1885,2089,4011,1619,4092,1727,3389,1371,2159,214,3423,495,3428,1700,4041,3868,2960,1174,693,3440,3388,502,1967,2026,1750
1804,2411,2737,1979,2489,2089,3887,2203,2667,550,1393,1635,3969,1701,1378,693,4002,776,3881,3717,3619,2147,1057,440,2134
3162,3196,3388,1506,2071,2832,3947,2783,2279,1958,2395,1297,2425,795,91,718,1666,3807,775,4057,2449,2774,3599,642,1087
898,3828,3619,1657,877,1028,3713,2792,2312,1444,2631,1958,3950,1341,199,630,1617,1112,915,876,2659,1786,818,1355,1742
1256,1478,2449,1009,2561,1495,3826,3404,2393,1331,3717,550,1019,3094,3345,745,207,1230,1923,3543,3289,3833,717,2506,1588
407,2943,2906,3927,2692,3519,3864,1150,2053,978,794,1619,2309,329,391,3714,2405,1349,1957,3772,3866,2425,1103,388,1714
436,4087,3282,4065,2312,3968,3906,485,2186,601,2309,1839,3440,3279,2021,3431,3108,3787,2077,737,3936,4045,334,2497,1947
2249,2429,3929,1803,2393,2069,3928,2521,3358,689,3832,1193,2774,3283,149,2493,3894,818,2874,2186,2906,3593,307,2901,1861
3404,3321,3716,978,2479,2655,4046,2628,3646,849,3837,1867,3539,2635,652,2845,2638,354,3838,2567,3451,2704,1912,3835,115
182,3519,3393,1949,3173,991,2809,3870,584,1517,3969,1949,857,2575,4048,3151,1682,1656,3985,1021,2587,51,1452,1125,2937
3076,3800,2966,601,3783,1919,3053,608,1679,2016,3180,3844,984,473,1399,2001,2710,2211,106,1072,3383,3568,773,2281,2492
3600,304,1868,1896,2530,651,3054,3268,826,1951,3963,1531,2909,2738,361,3981,2354,2803,942,2441,3567,4037,517,3094,1079
2849,988,2087,712,749,1138,3790,1885,2616,5,2677,421,4067,3118,3133,702,874,313,1346,2605,3929,2706,74,1750,2734
3610,2038,636,291,2907,139,3988,1953,2715,1979,1021,1199,3832,281,3591,3434,2437,934,1486,2777,3943,2980,765,1238,2306
3821,244,2214,3911,2571,3112,3866,2876,3724,1803,3224,1035,2441,1147,3467,3358,2854,1874,1827,3053,2295,148,456,3533,2617
2583,3237,3988,590,731,1726,3451,2444,3758,850,3601,1331,1554,1050,229,4047,3926,338,2754,3054,2225,2010,1598,2000,3194
1310,153,2767,1958,2326,3538,3573,58,1242,596,3745,321,1524,3180,2669,768,3291,929,3716,3650,2966,2415,243,3112,821
1317,3330,3363,437,2892,2827,2291,687,2424,235,1362,1833,4061,1045,254,2465,1111,3669,3198,3833,3672,916,366,679,836
3654,999,1680,1065,2941,1860,2540,72,3811,1414,2339,689,1471,2223,3474,2616,3090,1205,3605,1200,2870,3059,1494,1247,1535
963,2118,3139,1940,2399,1684,3383,1008,3330,893,89,1329,1433,4038,1089,1363,3271,2141,1970,1356,2809,1335,880,3625,2019
3219,2280,3672,2755,2488,782,3929,2913,1057,1832,1050,849,311,2842,1825,2999,2599,848,2870,1524,3576,1936,1144,3889,161
3702,2556,1611,752,2779,635,3943,3,1153,1619,3053,845,701,280,510,2771,1831,3387,2213,2367,3902,966,1232,1174,2898
886,2811,3927,1304,2337,634,2764,219,3080,3363,3054,1896,3093,1217,3926,438,853,1154,3732,2787,2114,803,3396,2493,3241
1486,2815,1041,482,3187,2042,2462,1797,768,1990,3560,2691,4049,3258,1688,3747,3256,2354,264,3418,2645,627,3986,1411,3020
2203,2965,3790,321,2193,3785,2660,1323,3121,1489,3833,4058,1263,2834,3191,3791,3634,1362,859,3452,3561,356,111,2617,289
2676,3603,752,598,2929,1955,3226,13,2975,3521,3996,333,3599,1209,1111,316,1926,2810,1157,3770,3839,2023,443,2771,3415
2783,3971,2956,717,828,1238,3565,1665,2479,1833,1457,602,3770,911,3550,3132,2325,1027,1210,310,2745,3246,135,3910,425
