run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1695,296,1621,3369,1152,3320,3818,1727,3141,3593,2422,1876,3015,3132,1029,2264,1629,1072,2771,925,3320,2035,3482,845,3667
335,1778,103,1074,1275,1512,1478,1443,3371,3230,842,502,1097,1281,3159,3787,1783,1795,2291,723,2176,2795,879,1733,1372
769,3651,465,1704,1314,1234,1513,190,872,807,130,579,3523,478,1857,872,786,990,781,1692,1491,1810,2197,308,2884
2606,1225,660,2100,1387,2030,1750,1204,2127,977,3698,3876,3209,390,3750,2286,1213,3660,3736,603,2835,932,1366,706,2209
1923,1492,1785,2997,3167,2593,2239,1187,2033,1463,2260,2996,1391,1336,1461,849,1918,1390,1064,1825,2520,2259,2512,1370,713
3652,3179,3732,3685,1903,2352,2420,3311,2726,3308,3037,702,3123,2645,2707,3683,3037,3418,3460,2374,3278,3000,3763,3702,2686
2438,953,498,1706,2776,72,2460,2379,302,844,1043,2226,1719,1020,1452,575,3261,1838,1189,3142,1106,3033,3529,2373,836
382,2359,3780,3250,1432,3005,3616,2676,3840,1565,2980,2557,3589,3041,1487,2276,3152,939,3069,810,2276,2694,2483,1138,2779
2335,928,2600,1993,2543,2467,3093,3898,1133,236,3602,928,2706,2524,3577,2397,2809,3169,825,2075,438,1295,182,1224,67
3753,3072,1666,2455,1294,1307,3784,406,1357,701,146,3776,584,1455,1641,325,1655,508,3648,1155,3788,3158,3301,1630,2978
1301,2563,434,2929,1495,2726,1564,2733,459,1325,1101,2676,3735,1992,1050,751,3458,468,3746,266,2817,202,3638,2145,2906
1354,3472,2664,3073,1712,3803,2404,2601,669,3845,2310,1632,473,2999,471,932,1340,1972,2792,2400,980,841,2526,2086,3477
1751,3363,2644,1708,1727,3602,870,2708,622,2297,2546,690,418,1468,3071,1053,402,1549,915,307,1812,1650,1020,1723,1511
666,1205,2784,3735,1494,205,1409,2235,269,3851,40,3849,460,2285,2547,417,1658,2955,645,2424,2822,448,1120,662,1912
2399,1305,1076,2973,2500,3196,3287,755,1937,1648,2560,3499,1660,3672,2601,2377,2217,1781,1883,1198,3828,1457,937,2920,914
1875,1283,2892,1144,1887,1465,1392,2195,1091,1328,3505,3900,1103,1872,260,2839,3149,3101,3194,3870,2798,831,1319,3276,2287
8,358,3373,3508,1292,3164,443,831,2203,1561,2428,1265,2441,845,3224,143,3887,3126,3790,2290,3274,3341,2996,3018,3415
700,2974,2791,2536,986,2082,2987,2531,1382,1881,1558,2696,3459,3909,3738,197,3189,1727,2289,3896,1171,234,3092,2659,1816
2151,3358,2461,1686,1931,1070,1417,3892,3443,289,359,904,1134,1853,1543,881,1115,2838,3738,329,618,1798,2739,2028,2949
936,743,125,1970,1654,207,2893,3335,3404,353,242,2605,3291,2426,472,1074,3594,483,3330,2841,777,3849,1162,51,2449
2289,3161,3718,2664,1869,3807,3629,3894,3621,2350,2456,140,3357,884,3172,1841,3629,1675,587,2263,486,2182,3455,2142,2468
1610,1682,2869,1449,1799,3152,2849,2274,271,1734,2111,1875,82,2788,2192,19,2800,3353,1798,201,1286,2366,2599,1564,3768
1593,984,2741,2457,627,3522,2230,2346,3191,3861,3435,3126,90,673,3641,819,731,3257,956,778,3059,3330,2657,2876,3071
1895,1309,1226,3597,2588,3635,3479,3893,352,1146,3455,1533,1324,679,1666,723,2758,1846,164,2921,1035,2933,675,444,3830
1626,557,1133,3632,3355,857,3457,2256,2504,1106,3213,1262,3189,3046,2161,3026,348,700,2127,2938,2343,1004,2603,154,2600
1884,1567,2839,337,1499,2230,3122,2669,784,1530,579,3561,422,2267,2101,1196,2551,2094,3454,997,3748,2660,2787,3358,385
2106,2160,944,1502,2897,3093,1921,3542,568,174,3642,3173,3512,1904,1779,1375,2783,3369,968,2918,1989,3412,3173,2392,1283
1633,297,881,2726,1058,2404,181,3557,3032,927,1233,1122,1707,2776,231,103,3557,1012,1485,3466,3633,2726,3388,3632,2586
748,3633,51,835,68,443,1658,6,959,883,981,409,3212,441,583,1054,2528,237,846,194,1934,2956,3732,776,996
251,2846,308,2319,870,1564,673,1993,1878,2753,1725,2569,451,3561,1756,834,49,229,3106,53,1748,3816,918,1340,290
893,2210,1230,3413,1621,1392,1678,969,2897,893,3793,661,3449,2678,1355,1220,3466,435,1875,1329,2266,1215,2854,1127,2708
1738,2942,1127,642,3854,2862,2609,2370,2238,1833,3149,3678,148,2961,978,1,2222,2101,2921,2382,1865,684,1740,2538,2120
1693,654,1340,861,1435,3457,403,2583,414,1294,78,1362,1508,3523,3273,943,3457,2900,1672,1091,2012,1681,3057,3180,1086
1813,2891,1826,3684,3864,2609,2444,3888,2392,3652,3554,688,3014,1592,3480,2168,2728,2459,3625,1914,1888,489,3103,2076,3427
1614,416,2083,2942,2862,870,3109,1997,1911,1210,13,1408,211,2324,1280,2675,3598,2042,910,3291,1474,1779,1701,2303,2938
2541,6,2533,623,3457,1409,3067,2841,3109,2586,2826,243,3051,1591,3892,1978,494,3826,1696,2947,479,2342,873,2916,3310
1448,502,1723,1642,112,3122,2870,2790,1781,3464,416,3809,1171,1995,3870,337,2685,2733,2645,331,2359,1490,2601,2587,2920
62,2753,1441,2481,857,3479,2926,2232,3488,2317,1420,3226,2704,1261,1020,3413,3758,2610,2675,3523,2855,50,1271,1366,3458
1842,3603,1834,1652,849,1921,3159,834,2568,899,662,3180,2690,3565,1940,3557,3625,2439,394,2893,2046,961,2040,2487,1340
1470,3190,444,3255,2566,181,109,1247,3185,1618,1381,3714,595,3728,3262,3855,631,2463,2790,716,3885,1790,280,2780,2870
95,209,561,2578,1355,719,3419,2600,3895,1381,3910,3122,1730,831,782,3417,1341,1941,1174,1577,3381,2556,653,3364,2619
499,1048,1564,833,1524,456,3054,2576,1516,968,2745,870,419,3028,1221,984,2381,1294,2838,534,2330,2635,1516,1064,2651
1238,126,599,2592,1162,3629,1214,2783,350,997,92,1409,764,1905,27,2634,3505,985,2772,557,1545,3421,399,47,2337
705,25,1539,3097,2244,2417,2080,2731,498,401,2728,3629,684,2580,1022,2499,3445,2203,2532,578,3054,1818,1086,2217,2858
1103,1384,272,3279,2931,1528,2985,2717,584,1286,3428,443,3218,2321,219,2244,2538,3084,529,374,3512,3190,3051,2045,510
1908,1432,1094,3659,2683,558,2632,2160,608,1305,2619,3093,549,3384,1860,542,707,6,3684,1547,1798,3404,1669,2747,2246
1856,1120,1674,2447,671,1202,1298,2179,3139,502,2920,2404,1749,958,3875,2181,3020,2881,907,1893,43,2443,2429,3275,6
2806,3671,395,1367,1894,3303,2759,3672,3128,2230,1340,1564,1000,2013,2061,3064,2243,304,3546,1758,145,2321,1600,1231,2175
436,8,1371,176,1714,3358,1359,2411,2766,876,2870,2862,713,697,261,1875,3176,2772,156,1850,793,2552,2846,2862,2237
1424,3779,1863,1847,859,190,3358,3896,2613,1303,3458,1392,2037,1624,332,1976,231,2185,2461,2379,80,938,3745,2983,1321
289,1262,1935,3130,667,2140,2499,2756,2795,1941,3310,3344,2413,1423,2184,2441,3313,447,3011,1488,2035,786,1684,2568,511
794,1540,1681,2944,3372,1364,3107,2538,3074,3069,2337,3892,3136,1023,2788,2344,2626,3458,1318,16,2781,2315,434,2163,557
1,1762,2575,2639,1076,1658,3376,2832,2102,2086,2246,2849,774,2509,1959,3381,3488,1127,526,901,976,1898,2810,1109,584
203,715,898,1439,1293,406,1580,3594,748,2344,2175,1364,1271,2687,2125,68,1377,1396,3038,1193,593,2350,3199,1294,2680
2082,1089,146,385,1409,403,2862,2613,2642,2751,6,3159,2909,2943,3876,3032,3050,2732,2430,3851,120,3592,2912,1356,3916
296,1730,373,1762,1202,395,1200,2193,1439,510,1369,403,3635,3536,2110,3088,2731,409,3008,655,1454,867,1808,2741,2879
2711,2372,3084,3623,2906,3067,408,3891,3030,3886,3623,2574,839,2952,925,235,2727,2164,3403,116,2230,1066,3178,1664,2974
1187,1294,1294,1578,1531,2870,2690,1047,1043,3408,1752,719,3104,1124,1624,400,3428,2681,798,2733,1927,3258,3686,2872,502
690,3793,1064,1605,553,2926,116,2680,428,1716,2093,3358,2941,2959,3175,1808,1661,3358,2683,2230,403,468,3733,2925,2160
943,412,793,1032,3673,2985,2483,997,199,439,557,1762,3128,3651,596,287,1271,2160,845,913,857,2971,965,3530,3161
2230,1301,129,709,1586,2987,528,249,2046,3386,1866,2904,1656,631,2293,1539,3051,412,617,121,109,2469,1000,2502,3358
1871,1866,1594,3095,611,3054,3143,3392,3679,574,2733,1921,2404,1308,2426,979,3073,1850,1236,2325,1203,1173,323,374,1682
489,1203,370,275,1851,3159,3047,2772,3249,896,2916,181,1392,695,2447,3689,3554,1730,2965,475,2956,1368,3737,2313,2210
2689,3636,625,1410,1412,1580,3365,111,1424,1348,2858,2850,3093,3748,2876,1910,317,374,2362,1391,528,238,667,561,654
1118,2851,147,2013,1671,2080,1896,1219,1263,2341,832,558,1564,630,3048,3565,3802,662,2895,6,1690,3054,625,2850,2891
3360,132,324,3814,2444,3419,2144,2442,3749,887,1175,1658,443,2318,1379,2332,2210,2826,1341,111,2854,3765,2131,1270,743
1868,491,1921,2264,3183,1660,3072,3312,3738,430,3241,1202,2862,1606,1733,1415,3420,557,2584,2904,2862,3618,3523,320,1762
