targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,17.68,22.27953320875462,81.0,1.0,36.9622641509434
4.2,18.56,22.471457451620708,81.0,1.0,41.680851063829785
4.3,23.32,26.9350626507532,83.0,1.0,50.23076923076923
4.4,28.92,43.50440897196513,200.0,1.0,55.183098591549296
4.5,35.16,54.47177617812733,200.0,1.0,61.21875
4.6,40.92,62.819691180393434,200.0,2.0,73.9245283018868
4.7,45.52,61.39519199416189,200.0,3.0,91.11627906976744
4.8,47.84,60.80636808756136,200.0,3.0,118.72727272727273
4.9,47.84,60.80636808756136,200.0,3.0,139.92857142857142
5.0,65.36,69.3794667030527,200.0,8.0,206.21052631578948
5.1,70.24,74.21874695789465,200.0,8.0,230.47058823529412
5.2,80.68,69.68484483731021,200.0,8.0,279.85714285714283
5.3,86.56,73.21370363531679,200.0,8.0,301.38461538461536
5.4,87.0,72.84943376581592,200.0,8.0,326.5
5.5,87.0,72.84943376581592,200.0,8.0,326.5
5.6,105.24,78.26124455948806,200.0,10.0,391.8
5.7,105.24,78.26124455948806,200.0,10.0,391.8
5.8,136.48,73.03759032169667,200.0,10.0,489.75
5.9,146.08,72.84938983958617,200.0,10.0,559.7142857142857
6.0,146.08,72.84938983958617,200.0,10.0,559.7142857142857
6.1,146.08,72.84938983958617,200.0,10.0,559.7142857142857
6.2,146.08,72.84938983958617,200.0,10.0,559.7142857142857
6.300000000000001,146.08,72.84938983958617,200.0,10.0,559.7142857142857
6.4,146.08,72.84938983958617,200.0,10.0,559.7142857142857
6.5,146.08,72.84938983958617,200.0,10.0,653.0
6.6,146.08,72.84938983958617,200.0,10.0,783.6
6.7,146.08,72.84938983958617,200.0,10.0,783.6
6.800000000000001,146.08,72.84938983958617,200.0,10.0,783.6
6.9,151.2,71.95554182966035,200.0,10.0,979.5
7.0,151.2,71.95554182966035,200.0,10.0,979.5
7.1,151.2,71.95554182966035,200.0,10.0,979.5
7.2,151.96,70.96561420857289,200.0,10.0,1306.0
7.300000000000001,151.96,70.96561420857289,200.0,10.0,1306.0
7.4,151.96,70.96561420857289,200.0,10.0,1306.0
7.5,151.96,70.96561420857289,200.0,10.0,1306.0
7.6,151.96,70.96561420857289,200.0,10.0,1306.0
7.7,151.96,70.96561420857289,200.0,10.0,1306.0
7.800000000000001,151.96,70.96561420857289,200.0,10.0,1306.0
7.9,151.96,70.96561420857289,200.0,10.0,1306.0
7.980366666666666,187.12,44.441710138112356,200.0,10.0,1959.0
