targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
4.0,1.0,0.0,1.0,1.0,1.0
4.1,78.52,71.55703738976342,200.0,8.0,69.55932203389831
4.2,90.28,77.50433278210967,200.0,8.0,76.0
4.3,97.6,78.86748379401995,200.0,8.0,89.21739130434783
4.4,102.36,81.27625975646271,200.0,8.0,108.0
4.5,106.6,83.46496270891159,200.0,8.0,120.70588235294117
4.6,113.72,83.53658839095598,200.0,8.0,128.25
4.7,113.72,83.53658839095598,200.0,8.0,146.57142857142858
4.8,136.84,78.44217233095983,200.0,13.0,164.16
4.9,146.96,72.59723410709253,200.0,13.0,195.42857142857142
5.0,153.16,70.20409104888404,200.0,13.0,205.2
5.1,160.0,65.97696567742412,200.0,13.0,241.41176470588235
5.2,160.0,65.97696567742412,200.0,13.0,273.6
5.3,160.0,65.97696567742412,200.0,13.0,293.14285714285717
5.4,160.0,65.97696567742412,200.0,13.0,293.14285714285717
5.5,165.96,62.499587198636775,200.0,13.0,342.0
5.6,165.96,62.499587198636775,200.0,13.0,373.09090909090907
5.7,181.28,52.028084723541376,200.0,13.0,456.0
5.8,181.28,52.028084723541376,200.0,13.0,456.0
5.9,181.28,52.028084723541376,200.0,13.0,456.0
6.0,181.28,52.028084723541376,200.0,13.0,456.0
6.1,181.28,52.028084723541376,200.0,13.0,513.0
6.2,181.28,52.028084723541376,200.0,13.0,513.0
6.300000000000001,181.28,52.028084723541376,200.0,13.0,586.2857142857143
6.4,181.28,52.028084723541376,200.0,13.0,586.2857142857143
6.5,181.28,52.028084723541376,200.0,13.0,586.2857142857143
6.6,181.28,52.028084723541376,200.0,13.0,586.2857142857143
6.7,181.28,52.028084723541376,200.0,13.0,586.2857142857143
6.800000000000001,181.28,52.028084723541376,200.0,13.0,586.2857142857143
6.9,181.28,52.028084723541376,200.0,13.0,684.0
7.0,181.28,52.028084723541376,200.0,13.0,820.8
7.1,181.28,52.028084723541376,200.0,13.0,820.8
7.2,181.28,52.028084723541376,200.0,13.0,820.8
7.300000000000001,181.28,52.028084723541376,200.0,13.0,1026.0
7.4,181.28,52.028084723541376,200.0,13.0,1026.0
7.5,200.0,0.0,200.0,200.0,1368.0
7.6,200.0,0.0,200.0,200.0,1368.0
7.7,200.0,0.0,200.0,200.0,1368.0
7.800000000000001,200.0,0.0,200.0,200.0,1368.0
7.9,200.0,0.0,200.0,200.0,2052.0
7.910101950316908,200.0,0.0,200.0,200.0,2052.0
